sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,0,50,0,0,50,25,0,0,0,0,1,0,8,0,1,0,1,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.376707706595141, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 7.73144126275852e-05, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 6.757893571805788e-05, 0.0009518482845918373, 0.0009518482845918373, 0.0021267147574956426, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 0.0255895732173379, 7.73144126275852e-05, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 0.0255895732173379, 0.4526860742791256, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 0.30692708144882463, 0.0009518482845918373, 0.021456219306085593, 0.0009518482845918373, 0.0009518482845918373, 7.73144126275852e-05, 7.73144126275852e-05, 0.0024472102968524467, 0.0009518482845918373, 0.0009518482845918373, 7.73144126275852e-05, 0.021456219306085593, 0.0009518482845918373, 0.376707706595141, 0.0009518482845918373, 0.0255895732173379, 0.0255895732173379, 0.0009518482845918373, 0.0009518482845918373, 0.0009518482845918373, 7.73144126275852e-05]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.9999081870593779, 0.9993487845074427, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9995725202323972, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999652944515299, 0.9999081870593779, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9995725202323972, 0.9989062692936965, 0.9999652944515299, 0.9999652944515299, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9999652944515299, 0.9999081870593779, 0.9999081870593779, 0.9999652944515299, 0.9999652944515299, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9988698399671555, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9998328401409188, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779]",1,train,9
1.0,50,0,0,0,50,33,1,1,1,0,0,0,33,1,1,1,0,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999643405867288, 0.9999081870593779, 0.9995578777886824, 0.9999081870593779, 0.9048543695643942, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9999081870593779, 0.9988698399671555, 0.9999081870593779, 0.9995578777886824, 0.9999081870593779, 0.9999081870593779]",2,train,9
1.0,50,0,0,0,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.9710240188001487, 0.9999081870593779, 0.9988698399671555, 0.9978877308857852, 0.9995578777886824, 0.5590806081586492, 0.9999081870593779, 0.9948012996517983, 0.9607650361165638, 0.9995578777886824, 0.994579229211997, 0.9999081870593779, 0.9669078786877241, 0.9998282464603095, 0.5590806081586492, 0.9893009894278174, 0.9607650361165638, 0.9984540088687452, 0.8401939859985248, 0.9975841473256929, 0.9721840776455063, 0.9995578777886824, 0.9999081870593779, 0.9974754394385104, 0.9995578777886824, 0.9948012996517983, 0.9999652944515299, 0.6745449489627477, 0.9721840776455063, 0.9999350734527608, 0.9998328401409188, 0.9989163302750629, 0.9971115874878163, 0.9999081870593779, 0.9989163302750629, 0.994579229211997, 0.9999350734527608, 0.882409408531784, 0.9989163302750629, 0.5590806081586492, 0.9979745393504391, 0.9999081870593779, 0.9995578777886824, 0.9999652944515299, 0.9998328401409188, 0.9721840776455063, 0.999560775904504, 0.9669078786877241, 0.9999081870593779, 0.9995578777886824]",3,train,9
0.82,34,7,8,1,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.9286468940918846, 0.9995578777886824, 0.9971886359971553, 0.9812777450874427, 0.23680076495821226, 0.02456166052409066, 0.919013009469253, 0.9106483087165824, 0.9618380122559547, 0.9617744614513625, 0.9925964119071755, 0.9984540088687452, 0.9938030878160191, 0.9106483087165824, 0.0018593974443182322, 0.9607650361165638, 0.9948012996517983, 0.44596625776977833, 0.4886581538570099, 0.9979441184291731, 0.9938030878160191, 0.9948012996517983, 0.9998328401409188, 0.9158274515916257, 0.9607650361165638, 0.9607650361165638, 0.8395417772338025, 0.9998328401409188, 0.9999081870593779, 0.9847989407491942, 0.9831039873129708, 0.03847580509893459, 0.9925964119071755, 0.4886581538570099, 0.9395016853144551, 0.829466987952216, 0.9925964119071755, 0.9048543695643942, 0.9998328401409188, 0.9048543695643942, 0.9048543695643942, 0.9999081870593779, 0.6505320722353589, 0.9984540088687452, 0.0018593974443182322, 0.9938030878160191, 0.919013009469253, 0.524166170976719, 0.9999081870593779, 0.9998328401409188]",4,train,6
0.86,41,2,4,3,50,32,1,1,1,0,0,0,32,1,1,1,0,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.919013009469253, 0.9998282464603095, 0.9989163302750629, 0.9989163302750629, 0.376707706595141, 0.9948012996517983, 0.524166170976719, 0.22603566296409888, 0.9989163302750629, 0.6745449489627477, 0.9989163302750629, 0.998028614098625, 0.9989163302750629, 0.22603566296409888, 0.9989163302750629, 0.9949726807271112, 0.9948012996517983, 0.0255895732173379, 0.9979745393504391, 0.9989163302750629, 0.9968707726844174, 0.9989163302750629, 0.9906356895717107, 0.9995901169183351, 0.9395016853144551, 0.9721840776455063, 0.9106483087165824, 0.9948352160819574, 0.9756014477976649, 0.9989163302750629, 0.9989163302750629, 0.799369733504958, 0.9998328401409188, 0.9992334481722104, 0.9989163302750629, 0.9995788558277637, 0.9995788558277637, 0.9677645653919824, 0.9948012996517983, 0.09941479801875298, 0.9906356895717107, 0.9948012996517983, 0.9948012996517983, 0.9975841473256929, 0.9989163302750629, 0.9721840776455063, 0.9992334481722104, 0.9948012996517983, 0.882409408531784, 0.9995788558277637]",5,train,8
1.0,50,0,0,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.9999652944515299, 0.9998328401409188, 0.9992005515906581, 0.9999081870593779, 0.9999652944515299, 0.9999081870593779, 0.9999350734527608, 0.9999865211128246, 0.9988698399671555, 0.9866877134298866, 0.9999350734527608, 0.9971886359971553, 0.9999652944515299, 0.9999350734527608, 0.9999652944515299, 0.9999350734527608, 0.9999350734527608, 0.9999652944515299, 0.9999652944515299, 0.9999652944515299, 0.9999652944515299, 0.9999652944515299, 0.9999652944515299, 0.9990854788249631, 0.9999652944515299, 0.9999652944515299, 0.9995725202323972, 0.9999865211128246, 0.9999350734527608, 0.9999652944515299, 0.9999652944515299, 0.9999652944515299, 0.9990854788249631, 0.9999865211128246, 0.9999350734527608, 0.9999652944515299, 0.9999081870593779, 0.9999652944515299, 0.9999081870593779, 0.9999081870593779, 0.9995725202323972, 0.9999652944515299, 0.9999652944515299, 0.9999350734527608, 0.9999652944515299, 0.9990854788249631, 0.9995725202323972, 0.9999652944515299, 0.9999652944515299, 0.9999652944515299]",6,train,9
0.94,42,5,3,0,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.9999350734527608, 0.9995578777886824, 0.9992005515906581, 0.9998282464603095, 0.4508123044609408, 0.9999652944515299, 0.5395138746009696, 0.9979745393504391, 0.9998328401409188, 0.023152376115190974, 0.919013009469253, 0.9998328401409188, 0.919013009469253, 0.9995725202323972, 0.9998328401409188, 0.9048543695643942, 0.9999350734527608, 0.9995578777886824, 0.6152333984442152, 0.9995578777886824, 0.9968707726844174, 0.9998282464603095, 0.6745449489627477, 0.5395138746009696, 0.9917636230886888, 0.9948012996517983, 0.9999350734527608, 0.9995578777886824, 0.9998328401409188, 0.9999350734527608, 0.05502435560541969, 0.9313836423677094, 0.9992334481722104, 0.8341802903987219, 0.9998328401409188, 0.9999350734527608, 0.004773714462202253, 0.9872289210370062, 0.998782370882966, 0.23680076495821226, 0.9998328401409188, 0.9971886359971553, 0.9978877308857852, 0.8771594519468706, 0.9938030878160191, 0.9998282464603095, 0.9967850408686164, 0.9995578777886824, 0.9992005515906581, 0.9721840776455063]",7,train,8
1.0,50,0,0,0,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.9999652944515299, 0.9999643405867288, 0.9999865211128246, 0.9972070211229682, 0.9999865211128246, 0.9999652944515299, 0.9998339361750247, 0.9999081870593779, 0.999560775904504, 0.9999865211128246, 0.9999643405867288, 0.9995725202323972, 0.9999643405867288, 0.9994150819224088, 0.9999643405867288, 0.9999652944515299, 0.9999350734527608, 0.9998339361750247, 0.9999643405867288, 0.999560775904504, 0.9999865211128246, 0.9999865211128246, 0.9999081870593779, 0.9988698399671555, 0.9998339361750247, 0.9999643405867288, 0.9999865211128246, 0.9999643405867288, 0.9999865211128246, 0.9999865211128246, 0.9999081870593779, 0.9999865211128246, 0.9999652944515299, 0.9999643405867288, 0.9999643405867288, 0.9999350734527608, 0.999560775904504, 0.9999865211128246, 0.9999865211128246, 0.9999643405867288, 0.9999865211128246, 0.9999865211128246, 0.9999643405867288, 0.9999865211128246, 0.9999350734527608, 0.9999865211128246, 0.9999643405867288, 0.9993990148275114, 0.9999865211128246, 0.999560775904504]",8,train,9
0.96,40,8,0,2,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.89986998, 0.88474596, 0.89613587, 0.95933217, 0.39367586,
       0.84608144, 0.55793959, 0.78372931, 0.40376318, 0.93908554]), array([0.69014686, 0.62665385, 0.63293904, 0.5808081 , 0.79942489,
       0.76034385, 0.7903648 , 0.76820153, 0.78866053, 0.62602794]), array([0.30109712, 0.36356497, 0.35724744, 0.40748462, 0.19315927,
       0.23288536, 0.20227061, 0.22489963, 0.20407477, 0.36343816]), array([0.10985531, 0.12375907, 0.11262274, 0.04960788, 0.61584461,
       0.16381168, 0.45257586, 0.2265836 , 0.60600108, 0.07028728]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)']","[0.9607650361165638, 0.8312187642330156, 0.9999350734527608, 0.9893009894278174, 0.9990854788249631, 0.9721840776455063, 0.9998282464603095, 0.0009518482845918373, 0.9989062692936965, 0.9999643405867288, 0.9990854788249631, 0.9998282464603095, 0.9992005515906581, 0.9998282464603095, 0.9998282464603095, 0.9998282464603095, 0.9989062692936965, 0.9990854788249631, 0.6745449489627477, 0.00017398797055707607, 0.9952873132661276, 0.03045670214630082, 0.9847989407491942, 0.9998282464603095, 0.0009518482845918373, 0.0255895732173379, 0.9999865211128246, 0.9999865211128246, 0.0018593974443182322, 0.09941479801875298, 0.9998282464603095, 0.004773714462202253, 0.9998282464603095, 0.9998282464603095, 0.0003249062151846764, 0.0018593974443182322, 0.9999643405867288, 0.999560775904504, 0.9655355774005655, 0.9721840776455063, 0.9998339361750247, 0.9975841473256929, 0.9975841473256929, 0.6745449489627477, 0.9999350734527608, 0.9998328401409188, 0.9992005515906581, 0.9721840776455063, 0.9999350734527608, 0.9710240188001487]",9,train,8
