sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.14,0,7,43,0,50,0,0,0,0,0,1,0,0,1,0,0,0,1,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.9383804737562361, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.1531932218853593, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.15082605336776536, 0.6170255938435799, 0.6170255938435799, 0.6309889617561194, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.9383804737562361, 0.1531932218853593, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.9383804737562361, 0.6309889617561194, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.9383804737562361, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.1531932218853593, 0.1531932218853593, 0.8298997106532272, 0.6170255938435799, 0.6170255938435799, 0.1531932218853593, 0.6170255938435799, 0.6170255938435799, 0.9383804737562361, 0.6170255938435799, 0.9383804737562361, 0.9383804737562361, 0.6170255938435799, 0.6170255938435799, 0.6170255938435799, 0.1531932218853593]",0,train,0
1.0,50,0,0,0,50,21,1,1,1,0,0,0,21,1,1,1,0,0,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9975959112139764, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101]",1,train,9
1.0,50,0,0,0,50,33,1,1,1,0,0,0,33,1,1,1,0,0,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9975959112139764, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9379131908014866, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101]",2,train,9
0.92,46,0,0,4,50,13,1,1,1,0,0,0,13,1,1,1,0,0,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.8370422103153916, 0.9927552207760101, 0.9389740210200893, 0.9789887568255113, 0.9927552207760101, 0.3497444895849851, 0.9927552207760101, 0.9383804737562361, 0.9786076656907106, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9787756013594603, 0.9975959112139764, 0.3497444895849851, 0.8356308069197049, 0.9786076656907106, 0.9927552207760101, 0.8370422103153916, 0.9786076656907106, 0.8356308069197049, 0.9927552207760101, 0.9927552207760101, 0.9354730085203791, 0.9927552207760101, 0.9383804737562361, 0.9927552207760101, 0.8356308069197049, 0.8356308069197049, 0.9975959112139764, 0.9927552207760101, 0.9383804737562361, 0.9975959112139764, 0.9927552207760101, 0.9383804737562361, 0.9389740210200893, 0.9975959112139764, 0.36339868324678504, 0.9383804737562361, 0.3497444895849851, 0.9787756013594603, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.8356308069197049, 0.9789887568255113, 0.9787756013594603, 0.9927552207760101, 0.9927552207760101]",3,train,9
0.72,35,1,14,0,50,1,0,1,0,0,0,1,1,1,0,0,0,1,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.6291119532747725, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9389740210200893, 0.9383804737562361, 0.9383804737562361, 0.9927552207760101, 0.9379131908014866, 0.9927552207760101, 0.9927552207760101, 0.9379131908014866, 0.9383804737562361, 0.6267027909907446, 0.9786076656907106, 0.9383804737562361, 0.6267027909907446, 0.9786076656907106, 0.9389740210200893, 0.9379131908014866, 0.9383804737562361, 0.9927552207760101, 0.9389740210200893, 0.9786076656907106, 0.9786076656907106, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9786076656907106, 0.9786076656907106, 0.6309889617561194, 0.9927552207760101, 0.9786076656907106, 0.6309889617561194, 0.9354730085203791, 0.9927552207760101, 0.9379131908014866, 0.9927552207760101, 0.9379131908014866, 0.9379131908014866, 0.9927552207760101, 0.8356308069197049, 0.9927552207760101, 0.6267027909907446, 0.9379131908014866, 0.9383804737562361, 0.15860860620110487, 0.9927552207760101, 0.9927552207760101]",4,train,6
0.84,42,0,6,2,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.9383804737562361, 0.9975959112139764, 0.9383804737562361, 0.9383804737562361, 0.9383804737562361, 0.9383804737562361, 0.15860860620110487, 0.8356308069197049, 0.9383804737562361, 0.8356308069197049, 0.9383804737562361, 0.9383804737562361, 0.9383804737562361, 0.8356308069197049, 0.9383804737562361, 0.6309889617561194, 0.9383804737562361, 0.9383804737562361, 0.9787756013594603, 0.9383804737562361, 0.9927552207760101, 0.9383804737562361, 0.8381376591974248, 0.9383804737562361, 0.6309889617561194, 0.8356308069197049, 0.9383804737562361, 0.8381376591974248, 0.8381376591974248, 0.9383804737562361, 0.9383804737562361, 0.6309889617561194, 0.9927552207760101, 0.9787756013594603, 0.9383804737562361, 0.9787756013594603, 0.9787756013594603, 0.9383804737562361, 0.9383804737562361, 0.8356308069197049, 0.8381376591974248, 0.9383804737562361, 0.9383804737562361, 0.9786076656907106, 0.9383804737562361, 0.8356308069197049, 0.9787756013594603, 0.9383804737562361, 0.36339868324678504, 0.9787756013594603]",5,train,8
1.0,50,0,0,0,50,6,1,1,1,0,0,0,6,1,1,1,0,0,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.9927552207760101, 0.9927552207760101, 0.9789887568255113, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9975959112139764, 0.9975959112139764, 0.9389740210200893, 0.9789887568255113, 0.9975959112139764, 0.9927552207760101, 0.9927552207760101, 0.9975959112139764, 0.9927552207760101, 0.9975959112139764, 0.9975959112139764, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9786076656907106, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9975959112139764, 0.9975959112139764, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9786076656907106, 0.9975959112139764, 0.9975959112139764, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9975959112139764, 0.9927552207760101, 0.9786076656907106, 0.9389740210200893, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101]",6,train,9
0.86,42,1,7,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.9975959112139764, 0.9927552207760101, 0.9789887568255113, 0.9975959112139764, 0.9927552207760101, 0.9927552207760101, 0.9383804737562361, 0.9787756013594603, 0.9927552207760101, 0.36339868324678504, 0.9383804737562361, 0.9927552207760101, 0.9383804737562361, 0.9389740210200893, 0.9927552207760101, 0.9379131908014866, 0.9975959112139764, 0.9927552207760101, 0.9383804737562361, 0.9927552207760101, 0.9927552207760101, 0.9975959112139764, 0.8356308069197049, 0.9383804737562361, 0.9927552207760101, 0.9383804737562361, 0.9975959112139764, 0.9927552207760101, 0.9927552207760101, 0.9975959112139764, 0.9379131908014866, 0.6267027909907446, 0.9787756013594603, 0.6194592874196494, 0.9927552207760101, 0.9975959112139764, 0.8356308069197049, 0.9787756013594603, 0.9975959112139764, 0.9927552207760101, 0.9927552207760101, 0.9927552207760101, 0.9789887568255113, 0.9927552207760101, 0.9379131908014866, 0.9975959112139764, 0.9975959112139764, 0.9927552207760101, 0.9789887568255113, 0.8356308069197049]",7,train,8
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.9927552207760101, 0.9975959112139764, 0.9975959112139764, 0.9789887568255113, 0.9975959112139764, 0.9927552207760101, 0.9789887568255113, 0.9927552207760101, 0.9789887568255113, 0.9975959112139764, 0.9975959112139764, 0.9389740210200893, 0.9975959112139764, 0.9927552207760101, 0.9975959112139764, 0.9927552207760101, 0.9975959112139764, 0.9789887568255113, 0.9975959112139764, 0.9789887568255113, 0.9975959112139764, 0.9975959112139764, 0.9927552207760101, 0.9389740210200893, 0.9789887568255113, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9927552207760101, 0.9975959112139764, 0.9927552207760101, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9789887568255113, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9789887568255113]",8,train,9
0.84,41,1,7,1,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.74123096, 0.45437539, 0.83575082, 0.83868545, 0.87417895]), array([0.7612316 , 0.78130329, 0.64264572, 0.6422134 , 0.58522779]), array([0.23145807, 0.21019849, 0.34702194, 0.3474431 , 0.40246552]), array([0.27092034, 0.55772191, 0.1737854 , 0.17089961, 0.13448364]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)']","[0.9786076656907106, 0.8356308069197049, 0.9975959112139764, 0.8356308069197049, 0.9786076656907106, 0.8356308069197049, 0.9975959112139764, 0.6170255938435799, 0.9975959112139764, 0.9975959112139764, 0.9786076656907106, 0.9975959112139764, 0.9789887568255113, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9975959112139764, 0.9786076656907106, 0.8356308069197049, 0.3497444895849851, 0.9777289096958882, 0.6267027909907446, 0.9786076656907106, 0.9975959112139764, 0.6170255938435799, 0.9383804737562361, 0.9975959112139764, 0.9975959112139764, 0.6267027909907446, 0.8356308069197049, 0.9975959112139764, 0.8356308069197049, 0.9975959112139764, 0.9975959112139764, 0.0569536640039809, 0.6267027909907446, 0.9975959112139764, 0.9789887568255113, 0.9789887568255113, 0.8356308069197049, 0.9789887568255113, 0.9786076656907106, 0.9786076656907106, 0.8356308069197049, 0.9975959112139764, 0.9927552207760101, 0.9789887568255113, 0.8356308069197049, 0.9975959112139764, 0.8370422103153916]",9,train,8
