sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,50,0,0,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9977966902522257, 0.9998134982191581, 0.9982370323688525, 0.9997668230896204, 0.9997668230896204, 0.9998134982191581, 0.9971006892928808, 0.9999369708161614, 0.9997668230896204, 0.9999369708161614, 0.9971006892928808, 0.9994035739143352, 0.9977966902522257, 0.9581430856623391, 0.9997668230896204, 0.9997668230896204, 0.9732078227274874, 0.9997668230896204, 0.9977966902522257, 0.9998134982191581, 0.9997668230896204, 0.9997668230896204, 0.9976717596928963, 0.9999369708161614, 0.9997668230896204, 0.9982370323688525, 0.9971006892928808, 0.9999369708161614, 0.9997668230896204, 0.9997668230896204, 0.9994035739143352, 0.9997668230896204, 0.9997668230896204, 0.9997668230896204, 0.9976717596928963, 0.9977966902522257, 0.9997668230896204, 0.9640242006381922, 0.9997668230896204, 0.9997668230896204, 0.9972053355056487, 0.9997668230896204, 0.9998134982191581, 0.9997668230896204, 0.9997668230896204, 0.9999369708161614, 0.9997668230896204, 0.9997668230896204, 0.9999369708161614, 0.9997668230896204]",0,train,9
0.94,47,0,0,3,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9912195177226654, 0.4879878046106827, 0.9998134982191581, 0.9778362337868708, 0.9991916775538985, 0.9999369708161614, 0.9976116812607744, 0.9994035739143352, 0.9998134982191581, 0.9912195177226654, 0.6763607500937298, 0.9912195177226654, 0.9075531243310675, 0.9998134982191581, 0.9976116812607744, 0.9998134982191581, 0.9999369708161614, 0.3609432223201876, 0.9982370323688525, 0.9998134982191581, 0.9976116812607744, 0.9778362337868708, 0.9998134982191581, 0.9998134982191581, 0.9999369708161614, 0.9976116812607744, 0.9993102652592442, 0.9691336438553035, 0.9976116812607744, 0.9976116812607744, 0.9991916775538985, 0.9971006892928808, 0.8786705198230993, 0.9993102652592442, 0.9976116812607744, 0.9912195177226654, 0.9652811229290067, 0.9778362337868708, 0.9999369708161614, 0.9994035739143352, 0.8825462001539672, 0.9652811229290067, 0.9709202637803249, 0.44247460935704624, 0.9912195177226654, 0.9993102652592442, 0.9991916775538985, 0.9976116812607744, 0.9778362337868708, 0.9912195177226654]",1,train,9
1.0,50,0,0,0,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9997668230896204, 0.9997668230896204, 0.9997668230896204, 0.9997668230896204, 0.9997668230896204, 0.9977966902522257, 0.9977966902522257, 0.9997668230896204, 0.9999369708161614, 0.9997668230896204, 0.9997668230896204, 0.9977966902522257, 0.9999369708161614, 0.9997668230896204, 0.9997668230896204, 0.9977966902522257, 0.9997668230896204, 0.9997668230896204, 0.9977966902522257, 0.9997668230896204, 0.9999369708161614, 0.9997668230896204, 0.9997668230896204, 0.9997668230896204, 0.9997668230896204, 0.9977966902522257, 0.9997668230896204, 0.9997668230896204, 0.9997668230896204, 0.9977966902522257, 0.9977966902522257, 0.9997668230896204, 0.9977966902522257, 0.9997668230896204, 0.9977966902522257, 0.9977966902522257, 0.9997668230896204, 0.9997668230896204, 0.9994035739143352, 0.9977966902522257, 0.9997668230896204, 0.9977966902522257, 0.9971006892928808, 0.9977966902522257, 0.9977966902522257, 0.9977966902522257, 0.9997668230896204, 0.9997668230896204, 0.9997668230896204, 0.9997668230896204]",2,train,9
0.86,20,23,0,7,50,4,1,1,1,0,0,0,16,0,1,0,1,0,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.004745813288640409, 0.9993102652592442, 0.9909012224239467, 0.40414931570338375, 0.9998134982191581, 0.3666369893415184, 0.3752390983681433, 0.0028331541275890973, 0.9002345141003654, 0.0028331541275890973, 0.04319626252821189, 0.03642170816013022, 0.04319626252821189, 0.0027308891961594813, 0.9914390118977207, 0.8786705198230993, 0.00018223486295477557, 0.9993102652592442, 0.9002345141003654, 0.0028331541275890973, 0.05965344180507652, 0.0028331541275890973, 0.0028331541275890973, 0.0028331541275890973, 0.00018223486295477557, 0.0028331541275890973, 0.9914390118977207, 0.0028331541275890973, 0.0003000028550091027, 0.0003000028550091027, 0.9783829866644889, 0.9909012224239467, 0.9909012224239467, 0.0028331541275890973, 0.9993102652592442, 0.9993102652592442, 0.4879878046106827, 0.0028331541275890973, 0.0027308891961594813, 0.0028331541275890973, 0.8825462001539672, 0.9912195177226654, 0.9935076838976105, 0.0028331541275890973, 0.9993102652592442, 0.04093831907457872, 0.04093831907457872, 0.3752390983681433, 0.9993102652592442, 0.9893554851052185]",3,train,5
0.9,44,1,5,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9993102652592442, 0.9971006892928808, 0.9998134982191581, 0.9993102652592442, 0.9971006892928808, 0.9971006892928808, 0.9998134982191581, 0.9998134982191581, 0.9893554851052185, 0.8813667790146443, 0.9893554851052185, 0.9971006892928808, 0.9999369708161614, 0.9998134982191581, 0.9993102652592442, 0.9627571071033303, 0.9971006892928808, 0.9893554851052185, 0.9893554851052185, 0.854000154743274, 0.9982370323688525, 0.9971006892928808, 0.997524525247261, 0.9971006892928808, 0.9971006892928808, 0.9971006892928808, 0.9640242006381922, 0.9893554851052185, 0.6738759793715281, 0.9971006892928808, 0.9971006892928808, 0.9909012224239467, 0.9993102652592442, 0.9969067693863073, 0.9075531243310675, 0.9893554851052185, 0.9998134982191581, 0.9971006892928808, 0.9998134982191581, 0.9997668230896204, 0.9935076838976105, 0.9971006892928808, 0.9893554851052185, 0.9971006892928808, 0.9971006892928808, 0.9993102652592442, 0.9569641523015595, 0.0358383637754268, 0.9993102652592442, 0.9977966902522257]",4,train,8
0.92,17,29,4,0,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.016408516506764653, 0.04093831907457872, 0.14313715632159593, 0.00018223486295477557, 0.34811910463134726, 0.033123694193065656, 0.010403471913587821, 0.9993102652592442, 0.0028331541275890973, 0.9998134982191581, 0.9998134982191581, 0.04169798337586551, 0.04093831907457872, 0.0028331541275890973, 0.10060481998943484, 0.9993102652592442, 0.0028331541275890973, 0.0027308891961594813, 0.8786705198230993, 0.7150755314053231, 0.9998134982191581, 0.35248393844328557, 0.6256719836300427, 0.9912195177226654, 0.03642170816013022, 0.9982370323688525, 0.9999369708161614, 0.00833798251178807, 0.9998134982191581, 0.9993102652592442, 0.033123694193065656, 0.9998134982191581, 0.9558368103353605, 0.40414931570338375, 0.9998134982191581, 0.03432491988517101, 0.04169798337586551, 0.05629734927636259, 0.10060481998943484, 0.9998134982191581, 0.00018223486295477557, 0.6256719836300427, 0.9971006892928808, 0.002887856166801758, 0.3752390983681433, 0.00028914750184970943, 0.0028331541275890973, 0.03514977474966004, 0.9893554851052185, 0.9998134982191581]",5,train,3
1.0,50,0,0,0,50,48,1,1,1,0,0,0,48,1,1,1,0,0,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9997668230896204, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9998134982191581, 0.9993102652592442, 0.9993102652592442, 0.9935076838976105, 0.9998134982191581, 0.9998134982191581, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9997668230896204, 0.9977966902522257, 0.9993102652592442, 0.9993102652592442, 0.9935076838976105, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9998134982191581, 0.9993102652592442, 0.8825462001539672, 0.9993102652592442, 0.9993102652592442, 0.9997668230896204, 0.9993102652592442, 0.9993102652592442, 0.9969067693863073, 0.9935076838976105, 0.9993102652592442, 0.9997668230896204, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9935076838976105, 0.9998134982191581, 0.9935076838976105, 0.9993102652592442, 0.9993102652592442, 0.9999369708161614, 0.9893554851052185]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999369708161614, 0.9998134982191581, 0.9999369708161614, 0.9998134982191581, 0.9999369708161614, 0.9999369708161614, 0.9971006892928808, 0.9998134982191581, 0.9998134982191581, 0.9994035739143352, 0.9999369708161614, 0.9999369708161614, 0.9971006892928808, 0.9971006892928808, 0.9994035739143352, 0.9998134982191581, 0.9998134982191581, 0.9999369708161614, 0.9971006892928808, 0.9976717596928963, 0.9998134982191581, 0.9994035739143352, 0.9999369708161614, 0.9732078227274874, 0.9998134982191581, 0.9998134982191581, 0.9971006892928808, 0.9998134982191581, 0.9994035739143352, 0.9999369708161614, 0.9998134982191581, 0.9999369708161614, 0.9971006892928808, 0.9998134982191581, 0.9999369708161614, 0.9999369708161614, 0.9999369708161614, 0.9998134982191581, 0.9998134982191581, 0.9971006892928808, 0.9998134982191581, 0.9998134982191581, 0.9998134982191581, 0.9998134982191581, 0.9999369708161614, 0.9998134982191581, 0.9998134982191581, 0.9999369708161614, 0.9971006892928808, 0.9732078227274874]",7,train,9
0.52,8,18,24,0,50,22,0,1,0,0,0,1,22,1,0,0,0,1,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.0003000028550091027, 0.3539365497008527, 0.9778362337868708, 0.9698884679996747, 0.997524525247261, 0.04093831907457872, 0.3609432223201876, 0.8726718089655149, 0.9200174200130184, 0.0028331541275890973, 0.7728337495510661, 0.7150755314053231, 0.997524525247261, 0.7728337495510661, 0.20953559695881993, 0.9976116812607744, 0.9778362337868708, 0.3539365497008527, 0.997524525247261, 0.9698884679996747, 0.9976717596928963, 0.05469832101911314, 0.9998134982191581, 0.001109153095713249, 0.9998134982191581, 0.3539365497008527, 0.04093831907457872, 0.47901535090996017, 0.05658612867280346, 0.9914390118977207, 0.9909012224239467, 0.9935076838976105, 0.0028331541275890973, 0.17634617739764002, 0.04319626252821189, 0.010403471913587821, 0.9998134982191581, 0.9698884679996747, 0.9993102652592442, 0.6696471697386935, 0.9914390118977207, 0.9909012224239467, 0.6696471697386935, 0.7728337495510661, 0.17634617739764002, 0.9935076838976105, 0.9652811229290067, 0.7401478925841984, 0.9727031873928352, 0.9914390118977207]",8,train,1
1.0,45,5,0,0,50,21,1,1,1,0,0,0,21,1,1,1,0,0,0,"(array([0.86335981, 0.93767655, 0.85735732, 0.81861627, 0.85873044,
       0.41375893, 0.49219483, 0.91459554, 0.90847999]), array([0.69046307, 0.54169118, 0.62344521, 0.74694353, 0.6849134 ,
       0.80395186, 0.79021925, 0.62175554, 0.62438929]), array([0.30043623, 0.44561794, 0.36639035, 0.2454119 , 0.30596876,
       0.18783331, 0.20187116, 0.36734539, 0.36482421]), array([0.14914511, 0.0731224 , 0.15408823, 0.19413584, 0.15365238,
       0.59842521, 0.52070606, 0.09742115, 0.10349182]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.0028331541275890973, 0.9993102652592442, 0.9935076838976105, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9912195177226654, 0.9993102652592442, 0.3621949298317294, 0.9993102652592442, 0.9993102652592442, 0.9909012224239467, 0.0028331541275890973, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9912195177226654, 0.997524525247261, 0.9998134982191581, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9998134982191581, 0.04093831907457872, 0.9935076838976105, 0.9935076838976105, 0.9993102652592442, 0.9935076838976105, 0.9993102652592442, 0.9935076838976105, 0.04093831907457872, 0.9935076838976105, 0.9935076838976105, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9935076838976105, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9993102652592442, 0.9912195177226654, 0.9935076838976105, 0.9982370323688525]",9,train,9
