sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.9671028956862949, 0.9995411907920931, 0.9957972174164605, 0.9963140735316316, 0.9963140735316316, 0.9995411907920931, 0.9913351745281694, 0.9990238838375143, 0.9963140735316316, 0.9990238838375143, 0.9935825491184933, 0.9910961871218779, 0.9671028956862949, 0.9913351745281694, 0.9963140735316316, 0.9963140735316316, 0.9439418909146378, 0.9963140735316316, 0.9671028956862949, 0.9993792132389664, 0.9963140735316316, 0.9963140735316316, 0.993410089502512, 0.9990238838375143, 0.9963140735316316, 0.9957972174164605, 0.9935825491184933, 0.9990238838375143, 0.9963140735316316, 0.9963140735316316, 0.9910961871218779, 0.9963140735316316, 0.9963140735316316, 0.9963140735316316, 0.9951219466170971, 0.9671028956862949, 0.9963140735316316, 0.9362231539617325, 0.9963140735316316, 0.9963140735316316, 0.9995411907920931, 0.9963140735316316, 0.9995411907920931, 0.9963140735316316, 0.9963140735316316, 0.9990238838375143, 0.9963140735316316, 0.9963140735316316, 0.9990238838375143, 0.9963140735316316]",0,train,9
0.98,49,0,0,1,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.9757941587696435, 0.35715228985427755, 0.9993792132389664, 0.9431843019218787, 0.9977994019761945, 0.9997909348658278, 0.9934911956115839, 0.9910961871218779, 0.9993792132389664, 0.9757941587696435, 0.9336055813504659, 0.9757941587696435, 0.7666961352628465, 0.9995411907920931, 0.9934911956115839, 0.9993792132389664, 0.9990238838375143, 0.5182022844857032, 0.9943209809670119, 0.9993792132389664, 0.9934911956115839, 0.9431843019218787, 0.9993792132389664, 0.9995411907920931, 0.9997909348658278, 0.9934911956115839, 0.9891296546398284, 0.9336055813504659, 0.9934911956115839, 0.9934911956115839, 0.9898000471222249, 0.9913351745281694, 0.741261710524778, 0.9976535211527529, 0.9934911956115839, 0.9757941587696435, 0.9934911956115839, 0.9431843019218787, 0.9997909348658278, 0.9980810096295939, 0.9757941587696435, 0.9934911956115839, 0.9508409820130124, 0.8142759448199083, 0.9757941587696435, 0.9976535211527529, 0.9977994019761945, 0.9934911956115839, 0.9431843019218787, 0.9757941587696435]",1,train,9
1.0,50,0,0,0,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.9963140735316316, 0.9963140735316316, 0.9963140735316316, 0.9963140735316316, 0.9963140735316316, 0.9671028956862949, 0.9671028956862949, 0.9963140735316316, 0.9990238838375143, 0.9963140735316316, 0.9963140735316316, 0.9671028956862949, 0.9990238838375143, 0.9963140735316316, 0.9963140735316316, 0.9671028956862949, 0.9963140735316316, 0.9963140735316316, 0.9671028956862949, 0.9963140735316316, 0.9990238838375143, 0.9963140735316316, 0.9963140735316316, 0.9963140735316316, 0.9963140735316316, 0.9671028956862949, 0.9963140735316316, 0.9963140735316316, 0.9963140735316316, 0.9671028956862949, 0.9671028956862949, 0.9963140735316316, 0.9671028956862949, 0.9963140735316316, 0.9671028956862949, 0.9671028956862949, 0.9963140735316316, 0.9963140735316316, 0.9910961871218779, 0.9671028956862949, 0.9963140735316316, 0.9671028956862949, 0.9607618720447625, 0.9671028956862949, 0.9671028956862949, 0.9671028956862949, 0.9963140735316316, 0.9963140735316316, 0.9963140735316316, 0.9963140735316316]",2,train,9
0.84,19,23,0,8,50,4,1,1,1,0,0,0,4,1,1,1,0,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.008029330076398576, 0.9891296546398284, 0.8934197784735514, 0.25802313450575143, 0.9971059458259466, 0.05429673583075235, 0.4468654563040904, 0.06926904865452879, 0.5222781248878273, 0.06926904865452879, 0.06926904865452879, 0.4468654563040904, 0.06926904865452879, 0.024117844476644654, 0.8949647951374853, 0.4534721681016565, 0.03236195532123156, 0.9891296546398284, 0.4468654563040904, 0.06926904865452879, 0.08076752509442504, 0.06926904865452879, 0.25802313450575143, 0.06926904865452879, 0.005261346346574245, 0.06926904865452879, 0.8949647951374853, 0.06926904865452879, 0.008029330076398576, 0.036442756300904884, 0.778212544294833, 0.8934197784735514, 0.8934197784735514, 0.06926904865452879, 0.9891296546398284, 0.9891296546398284, 0.08076752509442504, 0.06926904865452879, 0.005261346346574245, 0.06926904865452879, 0.8961308429012093, 0.8961308429012093, 0.9082261966462623, 0.25802313450575143, 0.9891296546398284, 0.06926904865452879, 0.06926904865452879, 0.790569154156211, 0.9891296546398284, 0.866072025789232]",3,train,5
0.9,44,1,5,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.9891296546398284, 0.9935825491184933, 0.9971059458259466, 0.9891296546398284, 0.9913351745281694, 0.9935825491184933, 0.9971059458259466, 0.9995411907920931, 0.9761279285155782, 0.7929149342331746, 0.9679650714963699, 0.9935825491184933, 0.9990238838375143, 0.9995411907920931, 0.9891296546398284, 0.7532394164765713, 0.9935825491184933, 0.9761279285155782, 0.9761279285155782, 0.9679650714963699, 0.9740066730797711, 0.9707046347334854, 0.9772479594199379, 0.9913351745281694, 0.9913351745281694, 0.9935825491184933, 0.9155950704536892, 0.9761279285155782, 0.571841810514485, 0.9913351745281694, 0.9913351745281694, 0.8934197784735514, 0.9891296546398284, 0.961391612185961, 0.8164178522598018, 0.9761279285155782, 0.9995411907920931, 0.9935825491184933, 0.9995411907920931, 0.9963140735316316, 0.9082261966462623, 0.9935825491184933, 0.9679650714963699, 0.9913351745281694, 0.9935825491184933, 0.9891296546398284, 0.962446363312128, 0.2607561683140474, 0.9891296546398284, 0.9671028956862949]",4,train,8
0.9,17,28,5,0,50,26,1,1,1,0,0,0,45,0,1,0,1,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.03982328876528677, 0.06926904865452879, 0.21984663469076357, 0.005261346346574245, 0.5182022844857032, 0.05346427975556963, 0.21984663469076357, 0.9891296546398284, 0.06926904865452879, 0.9971059458259466, 0.9971059458259466, 0.024117844476644654, 0.06926904865452879, 0.25802313450575143, 0.7058701524364104, 0.9891296546398284, 0.06926904865452879, 0.007106751996518308, 0.38008991717666124, 0.21984663469076357, 0.9971059458259466, 0.20881358523620414, 0.702468353974273, 0.8961308429012093, 0.4468654563040904, 0.9740066730797711, 0.9990238838375143, 0.18105465760829367, 0.9971059458259466, 0.9891296546398284, 0.05346427975556963, 0.9971059458259466, 0.9935825491184933, 0.06926904865452879, 0.9971059458259466, 0.4428325969003744, 0.005261346346574245, 0.07956337322352415, 0.7058701524364104, 0.9971059458259466, 0.024117844476644654, 0.702468353974273, 0.9607618720447625, 0.005261346346574245, 0.4468654563040904, 0.0007778503814597722, 0.06926904865452879, 0.05429673583075235, 0.8974476306329182, 0.9971059458259466]",5,train,3
1.0,50,0,0,0,50,48,1,1,1,0,0,0,48,1,1,1,0,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.9963140735316316, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9971059458259466, 0.9891296546398284, 0.9891296546398284, 0.9082261966462623, 0.9971059458259466, 0.9971059458259466, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9963140735316316, 0.9671028956862949, 0.9891296546398284, 0.9891296546398284, 0.9082261966462623, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9971059458259466, 0.9891296546398284, 0.8961308429012093, 0.9891296546398284, 0.9891296546398284, 0.9963140735316316, 0.9891296546398284, 0.9891296546398284, 0.961391612185961, 0.9082261966462623, 0.9891296546398284, 0.9963140735316316, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9891296546398284, 0.9082261966462623, 0.9971059458259466, 0.9082261966462623, 0.9891296546398284, 0.9891296546398284, 0.9990238838375143, 0.9761279285155782]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.9997909348658278, 0.9995411907920931, 0.9997909348658278, 0.9995411907920931, 0.9997909348658278, 0.9997909348658278, 0.9935825491184933, 0.9993792132389664, 0.9995411907920931, 0.9910961871218779, 0.9997909348658278, 0.9997909348658278, 0.9935825491184933, 0.9913351745281694, 0.9910961871218779, 0.9993792132389664, 0.9995411907920931, 0.9997909348658278, 0.9935825491184933, 0.9951219466170971, 0.9995411907920931, 0.9980810096295939, 0.9997909348658278, 0.9439418909146378, 0.9995411907920931, 0.9995411907920931, 0.9913351745281694, 0.9995411907920931, 0.9980810096295939, 0.9997909348658278, 0.9993792132389664, 0.9997909348658278, 0.9913351745281694, 0.9995411907920931, 0.9997909348658278, 0.9997909348658278, 0.9997909348658278, 0.9995411907920931, 0.9995411907920931, 0.9935825491184933, 0.9995411907920931, 0.9995411907920931, 0.9995411907920931, 0.9995411907920931, 0.9997909348658278, 0.9995411907920931, 0.9995411907920931, 0.9997909348658278, 0.9913351745281694, 0.9439418909146378]",7,train,9
0.62,8,23,19,0,50,24,1,1,1,0,0,0,24,1,1,1,0,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.008029330076398576, 0.43975915947641714, 0.9431843019218787, 0.7482446441106655, 0.9694561037424908, 0.06926904865452879, 0.4428325969003744, 0.8934197784735514, 0.4769010083460062, 0.06926904865452879, 0.2442814098234227, 0.21984663469076357, 0.9694561037424908, 0.2442814098234227, 0.02973683836563589, 0.9702973459888029, 0.9431843019218787, 0.43975915947641714, 0.9694561037424908, 0.7482446441106655, 0.969935967662751, 0.07865524874540179, 0.9971059458259466, 0.02973683836563589, 0.9993792132389664, 0.43975915947641714, 0.06926904865452879, 0.07865524874540179, 0.08076752509442504, 0.8949647951374853, 0.8934197784735514, 0.9788320084883497, 0.06926904865452879, 0.2442814098234227, 0.06926904865452879, 0.21984663469076357, 0.9993792132389664, 0.7482446441106655, 0.9891296546398284, 0.7482446441106655, 0.8949647951374853, 0.8934197784735514, 0.7482446441106655, 0.2442814098234227, 0.2442814098234227, 0.9082261966462623, 0.9934911956115839, 0.778212544294833, 0.9943209809670119, 0.8949647951374853]",8,train,1
0.98,45,4,1,0,50,3,1,1,1,0,0,0,3,1,1,1,0,0,0,"(array([0.79986292, 0.58834702, 0.85811186, 0.93469822, 0.49255934,
       0.84534085, 0.41642591, 0.84520525, 0.21178584]), array([0.73299772, 0.7674638 , 0.61626858, 0.52698916, 0.79567665,
       0.67317563, 0.8049112 , 0.67697966, 0.83089447]), array([0.26219648, 0.22780967, 0.37628457, 0.46302944, 0.19914731,
       0.32049388, 0.1895985 , 0.31673294, 0.16322699]), array([0.21201482, 0.42419553, 0.15284912, 0.0756027 , 0.51975173,
       0.16626534, 0.59512895, 0.16642313, 0.7966547 ]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'EurusPRMStage1_avg_scores (7.62B)']","[0.06926904865452879, 0.9891296546398284, 0.9788320084883497, 0.9976535211527529, 0.9976535211527529, 0.9976535211527529, 0.9757941587696435, 0.9891296546398284, 0.790569154156211, 0.9976535211527529, 0.9976535211527529, 0.97510460354122, 0.06926904865452879, 0.9976535211527529, 0.9976535211527529, 0.9976535211527529, 0.9891296546398284, 0.9976535211527529, 0.9976535211527529, 0.9757941587696435, 0.9933023180630524, 0.9971059458259466, 0.9976535211527529, 0.9976535211527529, 0.9976535211527529, 0.9976535211527529, 0.9971059458259466, 0.06926904865452879, 0.9082261966462623, 0.9788320084883497, 0.9976535211527529, 0.9788320084883497, 0.9976535211527529, 0.9082261966462623, 0.06926904865452879, 0.9788320084883497, 0.9788320084883497, 0.9891296546398284, 0.9976535211527529, 0.9976535211527529, 0.9976535211527529, 0.9788320084883497, 0.9976535211527529, 0.9976535211527529, 0.9976535211527529, 0.9976535211527529, 0.9976535211527529, 0.9757941587696435, 0.9082261966462623, 0.9943209809670119]",9,train,9
