sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,50,0,0,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[0.9998137847470971, 0.9993718827316402, 0.993674280852492, 0.9998357079927708, 0.9999816119407214, 0.9999663192818946, 0.9822271536248153, 0.999994641621245, 0.9999816119407214, 0.9999521194806761, 0.999031261650465, 0.999945729425959, 0.9998137847470971, 0.7343335317086319, 0.9999816119407214, 0.9999816119407214, 0.8451138694895107, 0.9999816119407214, 0.9998137847470971, 0.9999663192818946, 0.9999816119407214, 0.9999816119407214, 0.9995013145492316, 0.999994641621245, 0.9998357079927708, 0.993674280852492, 0.9822271536248153, 0.9999521194806761, 0.9999816119407214, 0.9999816119407214, 0.999945729425959, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9995013145492316, 0.9998137847470971, 0.9999816119407214, 0.9862437743810241, 0.9998357079927708, 0.9999816119407214, 0.999327020349824, 0.9998357079927708, 0.9993718827316402, 0.9999816119407214, 0.9999816119407214, 0.9999521194806761, 0.9999816119407214, 0.9999816119407214, 0.9999521194806761, 0.9999816119407214]",0,train,9
0.94,47,0,0,3,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[0.9998139768436167, 0.8003492789707514, 0.9999962307892455, 0.999451150235912, 0.9996402981159528, 0.999998660433867, 0.9999457854179502, 0.999945729425959, 0.9999962307892455, 0.9998139768436167, 0.01862170186660635, 0.9998139768436167, 0.6138982108137022, 0.9999663192818946, 0.9999457854179502, 0.9999962307892455, 0.9998999449772665, 0.001380396554151363, 0.9999618242367534, 0.9999962307892455, 0.9999457854179502, 0.9898490313334788, 0.9999962307892455, 0.9993718827316402, 0.999998660433867, 0.9999457854179502, 0.999537859150173, 0.9844386998785175, 0.9999457854179502, 0.9999457854179502, 0.9993117151235856, 0.9822271536248153, 0.056562146774523085, 0.9999870653528262, 0.9999457854179502, 0.9998139768436167, 0.9989171520920492, 0.999451150235912, 0.999998660433867, 0.9999864321479763, 0.9962937599282051, 0.9989171520920492, 0.8818956805018648, 0.9636892353273151, 0.9998139768436167, 0.9999870653528262, 0.9999807316745136, 0.9910403193221388, 0.999451150235912, 0.9998139768436167]",1,train,9
1.0,50,0,0,0,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9998137847470971, 0.9999816119407214, 0.999994641621245, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.999994641621245, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9999816119407214, 0.999994641621245, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9998137847470971, 0.9999816119407214, 0.9998137847470971, 0.9999816119407214, 0.9998137847470971, 0.9998137847470971, 0.9999816119407214, 0.9999816119407214, 0.999945729425959, 0.9998137847470971, 0.9999816119407214, 0.9998137847470971, 0.9325056357888647, 0.9998137847470971, 0.9998137847470971, 0.9998137847470971, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214]",2,train,9
0.88,21,23,0,6,50,4,1,1,1,0,0,0,24,0,1,0,1,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[9.212980885533256e-06, 0.9999482621081529, 0.9991928552164313, 0.12232274201043256, 0.9999849229454848, 0.2606725576024735, 0.026466462703840846, 8.234209985489747e-05, 0.028304524232472573, 8.234209985489747e-05, 0.015321886971716986, 0.02344614464370197, 0.0017382749748132914, 1.2259496142033531e-05, 0.999234146285173, 0.8393013969356312, 1.1441745448802812e-05, 0.9999482621081529, 0.9890955340941768, 8.234209985489747e-05, 0.30934564927124003, 8.234209985489747e-05, 0.00032929539696039203, 0.000735329762835209, 1.5328813938914543e-07, 8.234209985489747e-05, 0.999234146285173, 8.234209985489747e-05, 8.130212919580448e-06, 0.0006069590354088642, 0.9977429492284675, 0.9851390600813521, 0.9991928552164313, 0.0015354545417289192, 0.9999482621081529, 0.9999482621081529, 0.8995512952297186, 8.234209985489747e-05, 5.718732085940482e-05, 8.234209985489747e-05, 0.7825435621310091, 0.9992563035703511, 0.9994762115584573, 0.00032929539696039203, 0.9990347087030377, 0.014499623913219776, 0.21553590570487852, 0.6700517890799905, 0.999537859150173, 0.9868639784760322]",3,train,5
0.9,42,3,3,2,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[0.9999482621081529, 0.9822271536248153, 0.9999849229454848, 0.9999482621081529, 0.9822271536248153, 0.999031261650465, 0.9998652873263439, 0.9999663192818946, 0.99668340237148, 0.5208834841294857, 0.9415357970785861, 0.9822271536248153, 0.999994641621245, 0.9993718827316402, 0.9999482621081529, 0.46947867743051513, 0.9822271536248153, 0.9415357970785861, 0.4630535189127993, 0.43233622526554477, 0.9986372162026996, 0.9325056357888647, 0.9979009377363807, 0.9822271536248153, 0.9822271536248153, 0.9822271536248153, 0.9862437743810241, 0.99668340237148, 0.19287554687119293, 0.9822271536248153, 0.9822271536248153, 0.9991928552164313, 0.9999482621081529, 0.9974411431159866, 0.9673944593840401, 0.9415357970785861, 0.9993718827316402, 0.9822271536248153, 0.9993718827316402, 0.9999816119407214, 0.9994762115584573, 0.9822271536248153, 0.99668340237148, 0.9822271536248153, 0.9822271536248153, 0.9999482621081529, 0.9947393535699864, 0.06102421708302328, 0.9999482621081529, 0.9998137847470971]",4,train,8
0.92,17,29,4,0,50,26,1,1,1,0,0,0,43,0,1,0,1,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[0.010309977902353532, 0.029829815726226058, 0.49929352719911535, 5.341333233737279e-05, 0.001305324494417044, 0.0008470964835980023, 0.005249604452592811, 0.9999482621081529, 0.0015354545417289192, 0.9999849229454848, 0.9998652873263439, 0.08285112202412646, 0.029829815726226058, 0.000329544850664469, 0.06328080270513856, 0.999537859150173, 0.0015354545417289192, 0.001066860470689575, 0.218683180345853, 0.10672490153139919, 0.9999849229454848, 0.5723120711313405, 0.9237312910071341, 0.9992563035703511, 0.02344614464370197, 0.9998473105658109, 0.999994641621245, 0.03722711616603418, 0.9999849229454848, 0.9999482621081529, 0.0008470964835980023, 0.9999849229454848, 0.9799077322670195, 0.39399747494073023, 0.9999849229454848, 0.16913259320647023, 0.0012087727003243292, 0.29823152417431154, 0.3764340296364103, 0.9999849229454848, 1.14504157612626e-05, 0.9237312910071341, 0.9325056357888647, 3.2413323929607094e-06, 0.8193854486037287, 5.650655908452374e-06, 8.240449252746516e-05, 4.7847262617428e-05, 0.800914611790016, 0.9999849229454848]",5,train,3
1.0,50,0,0,0,50,48,1,1,1,0,0,0,48,1,1,1,0,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[0.9998357079927708, 0.999537859150173, 0.999537859150173, 0.9999482621081529, 0.9999849229454848, 0.999537859150173, 0.999537859150173, 0.9994762115584573, 0.9999849229454848, 0.9999849229454848, 0.999537859150173, 0.999537859150173, 0.9999482621081529, 0.9999816119407214, 0.9998137847470971, 0.9999482621081529, 0.9914397186513778, 0.995338794056854, 0.999537859150173, 0.999537859150173, 0.999537859150173, 0.9990347087030377, 0.9999482621081529, 0.9999849229454848, 0.999537859150173, 0.8826341448737167, 0.9999482621081529, 0.999537859150173, 0.9998357079927708, 0.9999482621081529, 0.999537859150173, 0.9974411431159866, 0.9994762115584573, 0.9999482621081529, 0.9999816119407214, 0.999537859150173, 0.9999482621081529, 0.999537859150173, 0.9999482621081529, 0.9999482621081529, 0.9914397186513778, 0.9999482621081529, 0.9999482621081529, 0.9994762115584573, 0.9998652873263439, 0.9994762115584573, 0.9999482621081529, 0.9999482621081529, 0.999994641621245, 0.9415357970785861]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[0.999998660433867, 0.9993718827316402, 0.999998660433867, 0.9993718827316402, 0.999998660433867, 0.999998660433867, 0.9822271536248153, 0.9999962307892455, 0.9999663192818946, 0.999945729425959, 0.999998660433867, 0.999998660433867, 0.999031261650465, 0.9822271536248153, 0.999945729425959, 0.9999962307892455, 0.9993718827316402, 0.999998660433867, 0.999031261650465, 0.9907687135555706, 0.9993718827316402, 0.9999864321479763, 0.999998660433867, 0.9902739828014324, 0.9993718827316402, 0.9999663192818946, 0.9822271536248153, 0.9993718827316402, 0.9999864321479763, 0.999998660433867, 0.9999962307892455, 0.999998660433867, 0.9822271536248153, 0.9993718827316402, 0.9999749850008786, 0.999998660433867, 0.999998660433867, 0.9999962307892455, 0.9999663192818946, 0.9822271536248153, 0.9999663192818946, 0.9883990767649519, 0.9999663192818946, 0.9999663192818946, 0.999998660433867, 0.9999663192818946, 0.9999663192818946, 0.999998660433867, 0.9822271536248153, 0.8451138694895107]",7,train,9
0.42,8,13,29,0,50,24,1,1,1,0,0,0,23,0,1,0,1,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[8.136373843218124e-06, 0.7980677807376227, 0.999451150235912, 0.996525201518456, 0.9997646621612003, 0.0016437719433281582, 0.8114770246000482, 0.8675751478637063, 0.991884496368392, 0.000735329762835209, 0.9658870005008628, 0.9522388438289913, 0.9997646621612003, 0.7601092442456471, 0.011667036170565841, 0.9997831714444554, 0.999451150235912, 0.30664990163096206, 0.9997646621612003, 0.996525201518456, 0.9980081876221647, 0.041838556210555, 0.9999849229454848, 1.4951863024126126e-06, 0.9999962307892455, 0.7980677807376227, 0.014499623913219776, 0.8919017310812714, 0.2975118348290112, 0.9931976627912841, 0.9991928552164313, 0.998830640032419, 0.01355566445389787, 0.06690654208039826, 0.00173958992640718, 0.00028251605506752136, 0.9999962307892455, 0.996525201518456, 0.999537859150173, 0.9313308482291287, 0.886603760532697, 0.9991928552164313, 0.9313308482291287, 0.7601092442456471, 0.5724722077822083, 0.995338794056854, 0.9989171520920492, 0.9543494066538648, 0.9991933777206027, 0.9931976627912841]",8,train,1
0.98,45,4,1,0,50,3,1,1,1,0,0,0,3,1,1,1,0,0,0,"(array([0.83334804, 0.86969346, 0.96923089, 0.46898565, 0.88091117,
       0.39052615, 0.56335717, 0.87746644, 0.72420985, 0.93491906,
       0.93117279, 0.93598735, 0.92958218]), array([0.74709779, 0.61229044, 0.53572875, 0.79195279, 0.68944186,
       0.81011313, 0.75449634, 0.68456727, 0.77315819, 0.59151059,
       0.62139267, 0.61859179, 0.6100412 ]), array([0.24470514, 0.37712452, 0.45122546, 0.20003366, 0.30094337,
       0.18162723, 0.23786281, 0.30580178, 0.21894377, 0.39677253,
       0.36736342, 0.37006059, 0.37858403]), array([0.17687772, 0.13940766, 0.0399712 , 0.54106271, 0.12926297,
       0.61905253, 0.44672823, 0.13260482, 0.2861912 , 0.07469255,
       0.0787775 , 0.07399203, 0.08021177]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'QwenPRM_avg_scores (7.63B)', 'DeepSeekLlama (70B)', 'SkyT1 (32B)']","[0.0015354545417289192, 0.9999482621081529, 0.9998690047464356, 0.9999870653528262, 0.9999870653528262, 0.9998844276563171, 0.9983401446140637, 0.9999482621081529, 0.6575567173575788, 0.9999870653528262, 0.9998844276563171, 0.9981986751904531, 0.01355566445389787, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9999482621081529, 0.9999870653528262, 0.9999870653528262, 0.9983401446140637, 0.9999411566447597, 0.9999849229454848, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9999849229454848, 8.822670847525571e-05, 0.9994762115584573, 0.9998690047464356, 0.9998844276563171, 0.9998690047464356, 0.9999870653528262, 0.9994762115584573, 0.0016437719433281582, 0.9998690047464356, 0.9998690047464356, 0.9999482621081529, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9998690047464356, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9998844276563171, 0.9998139768436167, 0.9994762115584573, 0.9999618242367534]",9,train,9
