sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.9880544256524951, 0.999776954707364, 0.9979268082879621, 0.9987033825730098, 0.9987033825730098, 0.999776954707364, 0.9968008236998518, 0.9996480390542689, 0.9987033825730098, 0.9996480390542689, 0.9968008236998518, 0.9967320409098932, 0.9880544256524951, 0.9968008236998518, 0.9987033825730098, 0.9987033825730098, 0.9709804219663078, 0.9987033825730098, 0.9880544256524951, 0.999776954707364, 0.9987033825730098, 0.9987033825730098, 0.9974904288877561, 0.9996480390542689, 0.9987033825730098, 0.9979268082879621, 0.9968008236998518, 0.9996480390542689, 0.9987033825730098, 0.9987033825730098, 0.9967320409098932, 0.9987033825730098, 0.9987033825730098, 0.9987033825730098, 0.9974904288877561, 0.9880544256524951, 0.9987033825730098, 0.9650433361304528, 0.9987033825730098, 0.9987033825730098, 0.999776954707364, 0.9987033825730098, 0.999776954707364, 0.9987033825730098, 0.9987033825730098, 0.9996480390542689, 0.9987033825730098, 0.9987033825730098, 0.9996480390542689, 0.9987033825730098]",0,train,9
0.96,48,0,0,2,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.9908006409093176, 0.5063185579261555, 0.999776954707364, 0.9770898128746728, 0.9891178184289832, 0.9999228728292544, 0.9974883959834283, 0.9967320409098932, 0.999776954707364, 0.9908006409093176, 0.729587504887781, 0.9908006409093176, 0.9007330467214826, 0.999776954707364, 0.9974883959834283, 0.999776954707364, 0.9955701106836374, 0.13814917558389303, 0.9979268082879621, 0.999776954707364, 0.9974883959834283, 0.7714116826236173, 0.999776954707364, 0.999776954707364, 0.9999228728292544, 0.9974883959834283, 0.996258923402678, 0.729587504887781, 0.9974883959834283, 0.9974883959834283, 0.9960419764335529, 0.9968008236998518, 0.3720171584853567, 0.9991780208752169, 0.9974883959834283, 0.9908006409093176, 0.9974883959834283, 0.9770898128746728, 0.9999228728292544, 0.9992822389283422, 0.9908006409093176, 0.9974883959834283, 0.9723888734283898, 0.9204192850257737, 0.9908006409093176, 0.9991780208752169, 0.9991302060885338, 0.9974883959834283, 0.9770898128746728, 0.9908006409093176]",1,train,9
1.0,50,0,0,0,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.9987033825730098, 0.9987033825730098, 0.9987033825730098, 0.9987033825730098, 0.9987033825730098, 0.9880544256524951, 0.9880544256524951, 0.9987033825730098, 0.9996480390542689, 0.9987033825730098, 0.9987033825730098, 0.9880544256524951, 0.9996480390542689, 0.9987033825730098, 0.9987033825730098, 0.9880544256524951, 0.9987033825730098, 0.9987033825730098, 0.9880544256524951, 0.9987033825730098, 0.9996480390542689, 0.9987033825730098, 0.9987033825730098, 0.9987033825730098, 0.9987033825730098, 0.9880544256524951, 0.9987033825730098, 0.9987033825730098, 0.9987033825730098, 0.9880544256524951, 0.9880544256524951, 0.9987033825730098, 0.9880544256524951, 0.9987033825730098, 0.9880544256524951, 0.9880544256524951, 0.9987033825730098, 0.9987033825730098, 0.9967320409098932, 0.9880544256524951, 0.9987033825730098, 0.9880544256524951, 0.9855615688648715, 0.9880544256524951, 0.9880544256524951, 0.9880544256524951, 0.9987033825730098, 0.9987033825730098, 0.9987033825730098, 0.9987033825730098]",2,train,9
0.84,20,22,1,7,50,4,1,1,1,0,0,0,24,0,1,0,1,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.0015240602523494406, 0.996258923402678, 0.9580950473512351, 0.45053898652698243, 0.998982687544245, 0.12697245554680484, 0.14204115803906167, 0.014014763680153709, 0.14204115803906167, 0.014014763680153709, 0.014014763680153709, 0.6766148327883769, 0.014014763680153709, 0.004489807202695381, 0.9593731846176259, 0.6212330099700041, 0.004489807202695381, 0.996258923402678, 0.6766148327883769, 0.014014763680153709, 0.18346229693568647, 0.014014763680153709, 0.06092850010867607, 0.014014763680153709, 0.0009870669982282, 0.014014763680153709, 0.9593731846176259, 0.014014763680153709, 0.0015240602523494406, 0.08092721018232678, 0.9033897467261861, 0.6440177918851615, 0.9580950473512351, 0.15227958275130427, 0.996258923402678, 0.996258923402678, 0.18346229693568647, 0.014014763680153709, 0.0009870669982282, 0.014014763680153709, 0.6512055771340981, 0.9593415330219566, 0.9662131161436361, 0.06092850010867607, 0.9546933509885361, 0.014014763680153709, 0.15227958275130427, 0.9052181116899906, 0.996258923402678, 0.9487475210747146]",3,train,5
0.9,44,1,5,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.996258923402678, 0.9968008236998518, 0.998982687544245, 0.996258923402678, 0.9968008236998518, 0.9968008236998518, 0.998982687544245, 0.999776954707364, 0.9883037084150392, 0.8822525493900648, 0.9883037084150392, 0.9968008236998518, 0.9996480390542689, 0.999776954707364, 0.996258923402678, 0.8542370834530248, 0.9968008236998518, 0.9883037084150392, 0.8698938853522046, 0.9883037084150392, 0.9906060507271799, 0.9855615688648715, 0.9882778347841727, 0.9968008236998518, 0.9968008236998518, 0.9968008236998518, 0.9650433361304528, 0.9883037084150392, 0.703450814845379, 0.9968008236998518, 0.9968008236998518, 0.9580950473512351, 0.996258923402678, 0.9851033196374488, 0.9007330467214826, 0.9883037084150392, 0.999776954707364, 0.9968008236998518, 0.999776954707364, 0.9987033825730098, 0.9662131161436361, 0.9968008236998518, 0.9883037084150392, 0.9968008236998518, 0.9968008236998518, 0.996258923402678, 0.9855585388816872, 0.39146590452005803, 0.996258923402678, 0.9880544256524951]",4,train,8
0.84,17,25,8,0,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.06640841361150922, 0.15227958275130427, 0.39845822936103414, 0.01233274760794266, 0.13814917558389303, 0.12343395939116941, 0.39845822936103414, 0.996258923402678, 0.15227958275130427, 0.998982687544245, 0.998982687544245, 0.05392395004741511, 0.15227958275130427, 0.45053898652698243, 0.8581882816118512, 0.996258923402678, 0.15227958275130427, 0.01233274760794266, 0.6212330099700041, 0.04980316273977821, 0.998982687544245, 0.3912725413002734, 0.8542105710081531, 0.9593415330219566, 0.6766148327883769, 0.9906060507271799, 0.9996480390542689, 0.34191599230898356, 0.998982687544245, 0.996258923402678, 0.12343395939116941, 0.998982687544245, 0.9968008236998518, 0.15227958275130427, 0.998982687544245, 0.6695054753294827, 0.01233274760794266, 0.17867171609346721, 0.8581882816118512, 0.998982687544245, 0.05392395004741511, 0.8542105710081531, 0.9855615688648715, 0.0009870669982282, 0.6766148327883769, 0.0013391104435130832, 0.15227958275130427, 0.011377281165168996, 0.5942785634933557, 0.998982687544245]",5,train,3
1.0,50,0,0,0,50,48,1,1,1,0,0,0,48,1,1,1,0,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.9987033825730098, 0.996258923402678, 0.996258923402678, 0.996258923402678, 0.998982687544245, 0.996258923402678, 0.996258923402678, 0.9662131161436361, 0.998982687544245, 0.998982687544245, 0.996258923402678, 0.996258923402678, 0.996258923402678, 0.9987033825730098, 0.9880544256524951, 0.996258923402678, 0.9546933509885361, 0.9662131161436361, 0.996258923402678, 0.996258923402678, 0.996258923402678, 0.9546933509885361, 0.996258923402678, 0.998982687544245, 0.996258923402678, 0.9593415330219566, 0.996258923402678, 0.996258923402678, 0.9987033825730098, 0.996258923402678, 0.996258923402678, 0.9851033196374488, 0.9662131161436361, 0.996258923402678, 0.9987033825730098, 0.996258923402678, 0.996258923402678, 0.996258923402678, 0.996258923402678, 0.996258923402678, 0.9546933509885361, 0.996258923402678, 0.996258923402678, 0.9662131161436361, 0.998982687544245, 0.9662131161436361, 0.996258923402678, 0.996258923402678, 0.9996480390542689, 0.9883037084150392]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.9999228728292544, 0.999776954707364, 0.9999228728292544, 0.999776954707364, 0.9999228728292544, 0.9999228728292544, 0.9968008236998518, 0.999776954707364, 0.999776954707364, 0.9967320409098932, 0.9999228728292544, 0.9999228728292544, 0.9968008236998518, 0.9968008236998518, 0.9967320409098932, 0.999776954707364, 0.999776954707364, 0.9999228728292544, 0.9968008236998518, 0.9691843845755421, 0.999776954707364, 0.9992822389283422, 0.9999228728292544, 0.9709804219663078, 0.999776954707364, 0.999776954707364, 0.9968008236998518, 0.999776954707364, 0.9992822389283422, 0.9999228728292544, 0.999776954707364, 0.9999228728292544, 0.9968008236998518, 0.999776954707364, 0.9990261514486969, 0.9999228728292544, 0.9999228728292544, 0.999776954707364, 0.999776954707364, 0.9968008236998518, 0.999776954707364, 0.9971884820431367, 0.999776954707364, 0.999776954707364, 0.9999228728292544, 0.999776954707364, 0.999776954707364, 0.9999228728292544, 0.9968008236998518, 0.9709804219663078]",7,train,9
0.52,8,18,24,0,50,24,1,1,1,0,0,0,24,1,1,1,0,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.018925193304825415, 0.6696850693692842, 0.9770898128746728, 0.8820200830260415, 0.9882778347841727, 0.014014763680153709, 0.6695054753294827, 0.9580950473512351, 0.7105837722887056, 0.014014763680153709, 0.44531423266925346, 0.39845822936103414, 0.9882778347841727, 0.44531423266925346, 0.06640841361150922, 0.9886371647695571, 0.9770898128746728, 0.6696850693692842, 0.9882778347841727, 0.8820200830260415, 0.9886462803573919, 0.17879087298302765, 0.998982687544245, 0.005596995226784957, 0.999776954707364, 0.6696850693692842, 0.014014763680153709, 0.17879087298302765, 0.18346229693568647, 0.9593731846176259, 0.9580950473512351, 0.9923975350393712, 0.15227958275130427, 0.059730769504756184, 0.15227958275130427, 0.04980316273977821, 0.999776954707364, 0.8820200830260415, 0.996258923402678, 0.8820200830260415, 0.6513899375213781, 0.9580950473512351, 0.8820200830260415, 0.44531423266925346, 0.44531423266925346, 0.9662131161436361, 0.9974883959834283, 0.9033897467261861, 0.9979268082879621, 0.9593731846176259]",8,train,1
0.98,45,4,1,0,50,3,1,1,1,0,0,0,3,1,1,1,0,0,0,"(array([0.84948254, 0.85606551, 0.93285102, 0.58519059, 0.49084514,
       0.41253406, 0.84761238, 0.80406928, 0.89745349]), array([0.68362498, 0.62102294, 0.53654224, 0.76375055, 0.79062253,
       0.80134821, 0.67955279, 0.73926181, 0.60850668]), array([0.30775374, 0.36922559, 0.45117885, 0.22921497, 0.20188169,
       0.19085331, 0.31179368, 0.2535924 , 0.38100168]), array([0.16200808, 0.15462226, 0.07711301, 0.4271687 , 0.52130127,
       0.59886968, 0.16381451, 0.20768358, 0.11341664]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)']","[0.15227958275130427, 0.996258923402678, 0.9923975350393712, 0.9991780208752169, 0.9991780208752169, 0.9991780208752169, 0.9908006409093176, 0.996258923402678, 0.9052181116899906, 0.9991780208752169, 0.9991780208752169, 0.9905090703137475, 0.15227958275130427, 0.9991780208752169, 0.9991780208752169, 0.9991780208752169, 0.996258923402678, 0.9991780208752169, 0.9991780208752169, 0.9908006409093176, 0.9974082370712254, 0.998982687544245, 0.9991780208752169, 0.9991780208752169, 0.9991780208752169, 0.9991780208752169, 0.998982687544245, 0.014014763680153709, 0.9662131161436361, 0.9923975350393712, 0.9991780208752169, 0.9923975350393712, 0.9991780208752169, 0.9662131161436361, 0.014014763680153709, 0.9923975350393712, 0.9923975350393712, 0.996258923402678, 0.9991780208752169, 0.9991780208752169, 0.9991780208752169, 0.9923975350393712, 0.9991780208752169, 0.9991780208752169, 0.9991780208752169, 0.9991780208752169, 0.9991780208752169, 0.9908006409093176, 0.9662131161436361, 0.9979268082879621]",9,train,9
