sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.98,0,49,1,0,50,29,0,0,0,0,1,0,8,0,1,0,1,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.08371716502883932, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.000324639159683281, 0.003865329886133255, 0.03390262760794729, 0.003865329886133255, 0.00026100418738242924, 0.003865329886133255, 0.003865329886133255, 0.007588399782355942, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.08371716502883932, 0.000324639159683281, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.08371716502883932, 0.11182237113345489, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.6006984185211605, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.0029282777425611744, 0.000324639159683281, 0.009611144013757946, 0.003865329886133255, 0.003865329886133255, 0.000324639159683281, 0.003865329886133255, 0.003865329886133255, 0.08371716502883932, 0.003865329886133255, 0.08371716502883932, 0.08371716502883932, 0.003865329886133255, 0.003865329886133255, 0.003865329886133255, 0.000324639159683281]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999288598374121, 0.9995476217613412, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9996829552445744, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999734588236371, 0.9999288598374121, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9996829552445744, 0.9919682353183402, 0.9999734588236371, 0.9999734588236371, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9999734588236371, 0.9999288598374121, 0.9999288598374121, 0.9999734588236371, 0.9999734588236371, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9991506175118794, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9998640308003859, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121]",1,train,9
1.0,50,0,0,0,50,33,1,1,1,0,0,0,33,1,1,1,0,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999715532559743, 0.9999288598374121, 0.9967142971165666, 0.9999288598374121, 0.5534818325938936, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9999288598374121, 0.9991506175118794, 0.9999288598374121, 0.9967142971165666, 0.9999288598374121, 0.9999288598374121]",2,train,9
0.88,44,0,0,6,50,43,1,1,1,0,0,0,43,1,1,1,0,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.8103107822536435, 0.9993570009088146, 0.9991506175118794, 0.9982614638801036, 0.9996356192931259, 0.15491669165190589, 0.9999288598374121, 0.9624794258086733, 0.7560989935692718, 0.9996356192931259, 0.96210292196691, 0.9993570009088146, 0.7957641204630724, 0.9986836096430882, 0.15491669165190589, 0.9204448037637849, 0.7560989935692718, 0.9895170508760487, 0.41017863287787626, 0.9807850927442412, 0.8119004914300904, 0.9996356192931259, 0.9999288598374121, 0.9983276187500998, 0.9967142971165666, 0.9957079374661831, 0.999760022010462, 0.2076991689297431, 0.8119004914300904, 0.999508493570483, 0.9998640308003859, 0.9991593776368736, 0.978757655969506, 0.9999288598374121, 0.9924487610356258, 0.9956633659947661, 0.999508493570483, 0.4919431506523966, 0.9924487610356258, 0.15491669165190589, 0.9846517158026666, 0.9999288598374121, 0.9996356192931259, 0.9999734588236371, 0.9998640308003859, 0.8119004914300904, 0.9996601995793538, 0.7957641204630724, 0.9999288598374121, 0.9996356192931259]",3,train,9
0.8,34,6,9,1,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.6307346547009599, 0.9996356192931259, 0.9977659198096082, 0.9861959647722942, 0.5193351666537426, 0.08292467875091253, 0.9337287305371607, 0.9315304244029274, 0.9987883261687749, 0.7686578470534162, 0.994033970809232, 0.9988299409000401, 0.953292005712634, 0.9315304244029274, 0.006109642141738846, 0.7560989935692718, 0.9624794258086733, 0.09487511624448862, 0.7495886719295438, 0.9983777377006093, 0.953292005712634, 0.9624794258086733, 0.9998640308003859, 0.9330837830815402, 0.7560989935692718, 0.7560989935692718, 0.9938228358329727, 0.9998640308003859, 0.9999288598374121, 0.8925837795609599, 0.8891826226220075, 0.11534501278058207, 0.994033970809232, 0.7495886719295438, 0.9510166178158137, 0.8761792164194511, 0.948515946417488, 0.5534818325938936, 0.9998640308003859, 0.5534818325938936, 0.5534818325938936, 0.9999288598374121, 0.2020000537445942, 0.9988299409000401, 0.006109642141738846, 0.953292005712634, 0.6090608296184717, 0.1262102601227629, 0.9999288598374121, 0.9998640308003859]",4,train,6
0.8,38,2,4,6,50,32,1,1,1,0,0,0,32,1,1,1,0,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.6090608296184717, 0.999854269811741, 0.9991593776368736, 0.9991593776368736, 0.08371716502883932, 0.9957079374661831, 0.1262102601227629, 0.0395780383361583, 0.9991593776368736, 0.2076991689297431, 0.9991593776368736, 0.9856651430274129, 0.9991593776368736, 0.0395780383361583, 0.9991593776368736, 0.9962636033775178, 0.9624794258086733, 0.08371716502883932, 0.9846517158026666, 0.9991593776368736, 0.9794601699534058, 0.9991593776368736, 0.9350296636632394, 0.9996862268168066, 0.9510166178158137, 0.8119004914300904, 0.6006984185211605, 0.9959964090066705, 0.9798206842754835, 0.9991593776368736, 0.9991593776368736, 0.8536654181180372, 0.9998640308003859, 0.9942184411725697, 0.9991593776368736, 0.9996637058873995, 0.9996637058873995, 0.8068024301407964, 0.9624794258086733, 0.015140918466846584, 0.9350296636632394, 0.9624794258086733, 0.9624794258086733, 0.9807850927442412, 0.9991593776368736, 0.8119004914300904, 0.9942184411725697, 0.9957079374661831, 0.4919431506523966, 0.9996637058873995]",5,train,8
1.0,50,0,0,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999734588236371, 0.9987716849672382, 0.9941584925818331, 0.9999288598374121, 0.9999734588236371, 0.9999288598374121, 0.999508493570483, 0.9999893872910357, 0.9991506175118794, 0.9117868878493198, 0.999508493570483, 0.9977659198096082, 0.9999734588236371, 0.999508493570483, 0.9999734588236371, 0.999508493570483, 0.999508493570483, 0.9999734588236371, 0.9999734588236371, 0.9999734588236371, 0.9999734588236371, 0.9999734588236371, 0.9999734588236371, 0.9927441595982475, 0.9999734588236371, 0.9999734588236371, 0.9996829552445744, 0.9999893872910357, 0.999508493570483, 0.9999734588236371, 0.9999734588236371, 0.9999734588236371, 0.9927441595982475, 0.9999893872910357, 0.999508493570483, 0.9999734588236371, 0.9999288598374121, 0.9999734588236371, 0.9999288598374121, 0.9999288598374121, 0.9996829552445744, 0.9999734588236371, 0.9999734588236371, 0.999508493570483, 0.9999734588236371, 0.9927441595982475, 0.9996829552445744, 0.9999734588236371, 0.9999734588236371, 0.9999734588236371]",6,train,9
0.88,41,3,5,1,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999456280197273, 0.9996356192931259, 0.9993507031760218, 0.999854269811741, 0.9632240475846914, 0.9999734588236371, 0.9733106491032985, 0.9982793785186194, 0.9998640308003859, 0.0034369275822869003, 0.9337287305371607, 0.9987716849672382, 0.9337287305371607, 0.9996829552445744, 0.9987716849672382, 0.5534818325938936, 0.9999456280197273, 0.9996356192931259, 0.6889428296156953, 0.9967142971165666, 0.9976865493832898, 0.9986836096430882, 0.2076991689297431, 0.9733106491032985, 0.9938228358329727, 0.9957079374661831, 0.9999456280197273, 0.9996356192931259, 0.9998640308003859, 0.9999456280197273, 0.16307843348358825, 0.6331479807995503, 0.9993574010402997, 0.8905078490905936, 0.9998640308003859, 0.9999456280197273, 0.015140918466846584, 0.9895235101116975, 0.9990736762448442, 0.9071601108371057, 0.9998640308003859, 0.9977659198096082, 0.9982614638801036, 0.9071601108371057, 0.9946114147630448, 0.999854269811741, 0.9975208584363469, 0.9967142971165666, 0.9993507031760218, 0.8119004914300904]",7,train,8
1.0,50,0,0,0,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999734588236371, 0.9999715532559743, 0.9999893872910357, 0.9979163628361557, 0.9999893872910357, 0.9999734588236371, 0.9998732049249264, 0.9999288598374121, 0.9996601995793538, 0.9999893872910357, 0.9999715532559743, 0.9996829552445744, 0.9999715532559743, 0.9995631700202814, 0.9999715532559743, 0.9999734588236371, 0.999508493570483, 0.9998732049249264, 0.9999715532559743, 0.9996601995793538, 0.9999893872910357, 0.9999893872910357, 0.9999288598374121, 0.9991506175118794, 0.9998732049249264, 0.9999715532559743, 0.9999893872910357, 0.9999715532559743, 0.9999893872910357, 0.9999893872910357, 0.9999288598374121, 0.9999893872910357, 0.9999734588236371, 0.9999715532559743, 0.9999715532559743, 0.999508493570483, 0.9996601995793538, 0.9999893872910357, 0.9999893872910357, 0.9999715532559743, 0.9999893872910357, 0.9999893872910357, 0.9999715532559743, 0.9999893872910357, 0.999508493570483, 0.9999893872910357, 0.9999715532559743, 0.9995318208809476, 0.9999893872910357, 0.9996601995793538]",8,train,9
0.9,37,8,0,5,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.78208834, 0.88163906, 0.8996219 , 0.95060605, 0.395062  ,
       0.89004445, 0.56428164, 0.39999378, 0.84189898, 0.71973646]), array([0.76946133, 0.62407494, 0.63487113, 0.57818437, 0.80067128,
       0.68800014, 0.7961309 , 0.78656954, 0.76049912, 0.77941358]), array([0.22419812, 0.36670172, 0.35585749, 0.41068503, 0.19243574,
       0.30384403, 0.19699693, 0.20672412, 0.23330665, 0.21403481]), array([0.22698139, 0.12557061, 0.1079846 , 0.05683836, 0.6132248 ,
       0.11819061, 0.44509533, 0.60855293, 0.16667141, 0.28980982]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.7560989935692718, 0.4042370799050503, 0.9999456280197273, 0.9204448037637849, 0.9927441595982475, 0.8119004914300904, 0.9986836096430882, 0.003865329886133255, 0.9919682353183402, 0.9997427963352244, 0.9927441595982475, 0.999854269811741, 0.9993507031760218, 0.999854269811741, 0.999854269811741, 0.999854269811741, 0.9919682353183402, 0.9927441595982475, 0.2076991689297431, 0.0006524965282922115, 0.996579879650505, 0.09191267497890056, 0.8925837795609599, 0.999854269811741, 0.03390262760794729, 0.08371716502883932, 0.9999893872910357, 0.9999893872910357, 0.006109642141738846, 0.015140918466846584, 0.999854269811741, 0.015140918466846584, 0.999854269811741, 0.999854269811741, 5.464008313871251e-05, 0.006109642141738846, 0.9999715532559743, 0.9996601995793538, 0.794072625662633, 0.8119004914300904, 0.9998732049249264, 0.9807850927442412, 0.9807850927442412, 0.2076991689297431, 0.9999456280197273, 0.9998640308003859, 0.9941584925818331, 0.8119004914300904, 0.9999456280197273, 0.8103107822536435]",9,train,8
