sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.96,48,0,0,2,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9997958267972663, 0.9771018569754469, 0.8079091143576763, 0.9998173617824498, 0.999979872267406, 0.998819537610787, 0.5242444185690665, 0.9999940307223152, 0.999979872267406, 0.9999458288271587, 0.9562357246290097, 0.9999394405531674, 0.9997958267972663, 0.05626810309249492, 0.999979872267406, 0.999979872267406, 0.09796877316157904, 0.999979872267406, 0.9997958267972663, 0.999961454528584, 0.999979872267406, 0.999979872267406, 0.9831714028451048, 0.9999940307223152, 0.9998173617824498, 0.8079091143576763, 0.5242444185690665, 0.9999458288271587, 0.999979872267406, 0.999979872267406, 0.9999394405531674, 0.999979872267406, 0.999979872267406, 0.999979872267406, 0.9994420423105834, 0.9997958267972663, 0.999979872267406, 0.6135930259516263, 0.9998173617824498, 0.999979872267406, 0.9992881031001162, 0.9998173617824498, 0.9992362458548176, 0.999979872267406, 0.999979872267406, 0.9999458288271587, 0.999979872267406, 0.999979872267406, 0.9999458288271587, 0.999979872267406]",0,train,9
0.92,46,0,0,4,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9998029728297751, 0.7918944119377186, 0.9999957526224547, 0.9994074037974799, 0.9999791712802728, 0.9999984862254465, 0.999941560418835, 0.9999394405531674, 0.9999957526224547, 0.9998029728297751, 0.25661285925882216, 0.9998029728297751, 0.031204622594409846, 0.999961454528584, 0.999941560418835, 0.9999957526224547, 0.9999940307223152, 0.025304093066861395, 0.9999569088759562, 0.9999957526224547, 0.999941560418835, 0.9994074037974799, 0.9999957526224547, 0.9992362458548176, 0.9999984862254465, 0.999941560418835, 0.9994877177585243, 0.9991297189380088, 0.999941560418835, 0.999941560418835, 0.9992551343998921, 0.9712520422538502, 0.023198883602528468, 0.9999856782624083, 0.999941560418835, 0.9998029728297751, 0.9989210534648169, 0.9994074037974799, 0.9999984862254465, 0.9999846418461386, 0.9963711491166405, 0.9989210534648169, 0.8678166658033148, 0.964365278372351, 0.9998029728297751, 0.9999856782624083, 0.9999791712802728, 0.9895923780824125, 0.9994074037974799, 0.9998029728297751]",1,train,9
0.98,49,0,0,1,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.999979872267406, 0.999979872267406, 0.999979872267406, 0.999979872267406, 0.999979872267406, 0.9997958267972663, 0.9997958267972663, 0.999979872267406, 0.9999940307223152, 0.999979872267406, 0.999979872267406, 0.9997958267972663, 0.9999940307223152, 0.999979872267406, 0.999979872267406, 0.9997958267972663, 0.999979872267406, 0.999979872267406, 0.9997958267972663, 0.999979872267406, 0.9999940307223152, 0.999979872267406, 0.999979872267406, 0.999979872267406, 0.999979872267406, 0.9997958267972663, 0.999979872267406, 0.999979872267406, 0.999979872267406, 0.9997958267972663, 0.9997958267972663, 0.999979872267406, 0.9997958267972663, 0.999979872267406, 0.9997958267972663, 0.9997958267972663, 0.999979872267406, 0.999979872267406, 0.9999394405531674, 0.9997958267972663, 0.999979872267406, 0.9997958267972663, 0.21840759518429775, 0.9997958267972663, 0.9997958267972663, 0.9997958267972663, 0.999979872267406, 0.999979872267406, 0.999979872267406, 0.999979872267406]",2,train,9
0.86,20,23,0,7,50,4,1,1,1,0,0,0,24,0,1,0,1,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.0001766475152950165, 0.9999435271218338, 0.9991589840602539, 0.11554299215919854, 0.9999832514214549, 0.008178500573670295, 0.34629716248305004, 0.0017498311656381487, 0.33054517512585174, 0.0017498311656381487, 0.2438992402615535, 0.02546018313861079, 0.03432376547858925, 5.426167843855627e-06, 0.9991827349613982, 0.10668389971972786, 5.821730110844579e-06, 0.9999435271218338, 0.9888707146111533, 0.0017498311656381487, 0.32151054898902437, 0.0017498311656381487, 0.006864796198942384, 0.015659202172060217, 7.445549374952943e-08, 0.0017498311656381487, 0.9991827349613982, 0.0017498311656381487, 0.00017274198324780722, 0.0006808315352796303, 0.9975449796722649, 0.9991589840602539, 0.9991589840602539, 0.0017498311656381487, 0.9999435271218338, 0.9999435271218338, 0.8975164825410011, 0.0017498311656381487, 2.7284532242519607e-05, 0.0017498311656381487, 0.9858414888519743, 0.9992235082320571, 0.999427336505267, 0.006864796198942384, 0.9999435271218338, 0.22720776839010848, 0.22720776839010848, 0.6762669274160011, 0.9994877177585243, 0.6216777743523574]",3,train,5
0.78,36,3,3,8,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9999435271218338, 0.5242444185690665, 0.9999832514214549, 0.9999435271218338, 0.5242444185690665, 0.9562357246290097, 0.9998480199407008, 0.999961454528584, 0.8663077592809566, 0.022066153219212264, 0.24630205434351818, 0.5242444185690665, 0.9999940307223152, 0.9992362458548176, 0.9999435271218338, 0.01840411570271374, 0.5242444185690665, 0.24630205434351818, 0.24630205434351818, 0.015860638883469762, 0.9984601897775062, 0.21840759518429775, 0.9977396534346392, 0.5242444185690665, 0.5242444185690665, 0.5242444185690665, 0.6135930259516263, 0.8663077592809566, 0.005079018349721099, 0.5242444185690665, 0.5242444185690665, 0.9991589840602539, 0.9999435271218338, 0.9972848402694856, 0.3897521030261833, 0.24630205434351818, 0.9771018569754469, 0.5242444185690665, 0.9771018569754469, 0.999979872267406, 0.999427336505267, 0.5242444185690665, 0.8663077592809566, 0.5242444185690665, 0.5242444185690665, 0.9999435271218338, 0.9949074847241647, 0.001621683612605891, 0.9999435271218338, 0.9997958267972663]",4,train,8
0.88,16,28,5,1,50,26,1,1,1,0,0,0,45,0,1,0,1,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.010652154203012009, 0.031379547226482674, 0.5210044728573577, 1.4763571731869848e-06, 0.023115043286882964, 1.9928653626240324e-05, 0.005875929347795128, 0.9999435271218338, 0.0017498311656381487, 0.9999832514214549, 0.9998480199407008, 0.0021769629267610205, 0.031379547226482674, 1.1369569242807878e-05, 0.06829680298604883, 0.9994877177585243, 0.0017498311656381487, 2.7284532242519607e-05, 0.005986742770477082, 0.6889605531690529, 0.9999832514214549, 0.030629564894880192, 0.9291195568241215, 0.9992235082320571, 0.02546018313861079, 0.9998300992636271, 0.9999940307223152, 0.04272873368883738, 0.9999832514214549, 0.9999435271218338, 1.9928653626240324e-05, 0.9999832514214549, 0.5186644798795736, 0.39646349704105105, 0.9999832514214549, 0.18725450235569466, 2.7901501356394845e-05, 0.31528849469799236, 0.39949249168577, 0.9999832514214549, 2.936021081588754e-07, 0.9291195568241215, 0.21840759518429775, 1.5097420525338436e-06, 0.8278143360016335, 1.3562794390382654e-07, 8.839405656213508e-05, 2.050828465446132e-05, 0.6216777743523574, 0.9999832514214549]",5,train,3
0.98,49,0,0,1,50,48,1,1,1,0,0,0,48,1,1,1,0,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9998173617824498, 0.9994877177585243, 0.9994877177585243, 0.9999435271218338, 0.9999832514214549, 0.9994877177585243, 0.9994877177585243, 0.999427336505267, 0.9999832514214549, 0.9999832514214549, 0.9994877177585243, 0.9994877177585243, 0.9999435271218338, 0.999979872267406, 0.9997958267972663, 0.9999435271218338, 0.9994877177585243, 0.9948267541025263, 0.9994877177585243, 0.9994877177585243, 0.9994877177585243, 0.9999435271218338, 0.9999435271218338, 0.9999832514214549, 0.9994877177585243, 0.8846895225799905, 0.9999435271218338, 0.9994877177585243, 0.9998173617824498, 0.9999435271218338, 0.9994877177585243, 0.9972848402694856, 0.999427336505267, 0.9999435271218338, 0.999979872267406, 0.9994877177585243, 0.9999435271218338, 0.9994877177585243, 0.9999435271218338, 0.9999435271218338, 0.9994877177585243, 0.9999435271218338, 0.9999435271218338, 0.999427336505267, 0.9998480199407008, 0.999427336505267, 0.9999435271218338, 0.9999435271218338, 0.9999940307223152, 0.24630205434351818]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9999984862254465, 0.9992362458548176, 0.9999984862254465, 0.9771018569754469, 0.9999984862254465, 0.9999984862254465, 0.5242444185690665, 0.9999957526224547, 0.999961454528584, 0.9999394405531674, 0.9999984862254465, 0.9999984862254465, 0.9562357246290097, 0.5242444185690665, 0.9999394405531674, 0.9999957526224547, 0.9992362458548176, 0.9999984862254465, 0.9562357246290097, 0.9994420423105834, 0.9992362458548176, 0.9999846418461386, 0.9999984862254465, 0.6829002621851911, 0.9992362458548176, 0.999961454528584, 0.5242444185690665, 0.9992362458548176, 0.9999846418461386, 0.9999984862254465, 0.9999957526224547, 0.9999984862254465, 0.5242444185690665, 0.9992362458548176, 0.9999984862254465, 0.9999984862254465, 0.9999984862254465, 0.9998697909463942, 0.999961454528584, 0.5242444185690665, 0.999961454528584, 0.9992362458548176, 0.999961454528584, 0.999961454528584, 0.9999984862254465, 0.999961454528584, 0.999961454528584, 0.9999984862254465, 0.5242444185690665, 0.7690518448470529]",7,train,9
0.4,8,12,30,0,50,24,1,1,1,0,0,0,24,1,1,1,0,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[8.713123010036897e-06, 0.8018028507513227, 0.9994074037974799, 0.9963977264663945, 0.9997504359581018, 0.031379547226482674, 0.8236891559246792, 0.8658779112819162, 0.9915323993936561, 0.015659202172060217, 0.9646179395559225, 0.9526118553448126, 0.9997504359581018, 0.7502518623893512, 0.01089040857910479, 0.9997695933994168, 0.9994074037974799, 0.3083231047762864, 0.9997504359581018, 0.9963977264663945, 0.9978033991435032, 0.04208672827681044, 0.9999832514214549, 2.9379479043025565e-05, 0.9999957526224547, 0.8018028507513227, 0.22720776839010848, 0.8899313787411809, 0.30162651914349653, 0.9926315950653275, 0.9991589840602539, 0.9986830150482934, 0.015659202172060217, 0.5734725153858536, 0.0017893293728274346, 0.005875929347795128, 0.9999957526224547, 0.9963977264663945, 0.9994877177585243, 0.9316991239739748, 0.9926315950653275, 0.9991589840602539, 0.9316991239739748, 0.7502518623893512, 0.5734725153858536, 0.9948267541025263, 0.9989210534648169, 0.9524686736426136, 0.999126960601002, 0.9926315950653275]",8,train,1
0.98,45,4,1,0,50,3,1,1,1,0,0,0,3,1,1,1,0,0,0,"(array([0.8766436 , 0.97947669, 0.87001914, 0.82841706, 0.87549043,
       0.3902688 , 0.46603861, 0.93361163, 0.92608958, 0.72677612,
       0.93912482, 0.97003394, 0.56070447]), array([0.68797696, 0.53891003, 0.6126954 , 0.74532807, 0.68391937,
       0.80984992, 0.79105681, 0.61783749, 0.6197024 , 0.77381343,
       0.59282041, 0.55078924, 0.75391394]), array([0.30229151, 0.44787532, 0.37657666, 0.24637064, 0.30631912,
       0.18175875, 0.20081727, 0.37068117, 0.36893162, 0.21812919,
       0.39530337, 0.43630764, 0.23832723]), array([0.13386463, 0.03043432, 0.13951991, 0.18213685, 0.13496734,
       0.61974382, 0.54443908, 0.07674205, 0.08416937, 0.28408986,
       0.07102653, 0.03993968, 0.44980016]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.0017498311656381487, 0.9999435271218338, 0.9998547143713418, 0.9999856782624083, 0.9999856782624083, 0.9998700390499056, 0.9982147334722381, 0.9999435271218338, 0.6556441550778038, 0.9999856782624083, 0.9998700390499056, 0.9980665452983893, 0.015659202172060217, 0.9999856782624083, 0.9999856782624083, 0.9999856782624083, 0.9999435271218338, 0.9999856782624083, 0.9999856782624083, 0.9982147334722381, 0.999936700482406, 0.9999832514214549, 0.9999856782624083, 0.9999856782624083, 0.9999856782624083, 0.9999856782624083, 0.9999832514214549, 5.328433781089376e-05, 0.999427336505267, 0.9998547143713418, 0.9998700390499056, 0.9998547143713418, 0.9999856782624083, 0.999427336505267, 0.031379547226482674, 0.9998547143713418, 0.9998547143713418, 0.9999435271218338, 0.9999856782624083, 0.9999856782624083, 0.9999856782624083, 0.9998547143713418, 0.9999856782624083, 0.9999856782624083, 0.9999856782624083, 0.9999856782624083, 0.9998700390499056, 0.9998029728297751, 0.999427336505267, 0.9999569088759562]",9,train,9
