sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.96,0,48,2,0,50,0,0,0,0,0,1,0,8,0,1,0,1,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.7446515117622038, 0.007626222988192751, 0.00045797261746836405, 0.00045797261746836405, 0.011893404067203477, 0.00045797261746836405, 0.4745770361636989, 0.11964056350924261, 1.2721196527908558e-05, 0.007626222988192751, 0.11964056350924261, 2.158001861591112e-05, 0.00025683494885512793, 0.11964056350924261, 0.0002435967177123044, 1.45269740679797e-05, 2.158001861591112e-05, 0.007626222988192751, 0.00025683494885512793, 0.007626222988192751, 0.11964056350924261, 0.007626222988192751, 0.00045797261746836405, 0.007626222988192751, 0.007626222988192751, 0.19869735224451807, 0.11964056350924261, 0.00045797261746836405, 0.007626222988192751, 0.6976338624978451, 0.00045797261746836405, 0.1415613907574237, 0.0002435967177123044, 0.00045797261746836405, 0.07407275258400736, 4.057932121567386e-05, 0.0012178747291481935, 0.11964056350924261, 0.007626222988192751, 0.0007171253134779165, 0.009736227254366944, 0.007626222988192751, 0.08463626769603076, 0.007626222988192751, 0.0002435967177123044, 0.11964056350924261, 0.0002435967177123044, 0.00045797261746836405, 0.007626222988192751, 2.158001861591112e-05]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.999995545250566, 0.9999668365344591, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.9999786203075682, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.9999981063754938, 0.999995545250566, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.9999786203075682, 0.9955960405379449, 0.9999981063754938, 0.9999981063754938, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.9999981063754938, 0.999995545250566, 0.999995545250566, 0.9999981063754938, 0.9999981063754938, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.9999497056240856, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.9999937798641486, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566]",1,train,9
0.98,49,0,0,1,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.9999212273945454, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.9999703992195729, 0.999995545250566, 0.9983714531177722, 0.999995545250566, 0.053651029137816574, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.999995545250566, 0.9999497056240856, 0.999995545250566, 0.9983714531177722, 0.999995545250566, 0.999995545250566]",2,train,9
0.8,40,0,0,10,50,43,1,1,1,0,0,0,43,1,1,1,0,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.7918914911753925, 0.9999703931910355, 0.9999497056240856, 0.999937923276687, 0.999985367223316, 0.17764170227713386, 0.9999212273945454, 0.9988480753932331, 0.7167584762437865, 0.999985367223316, 0.9989031385536056, 0.9994766872277322, 0.20442020055055105, 0.9993874400580497, 0.17764170227713386, 0.3369475278044922, 0.1310966566997145, 0.9994975854786285, 0.943277902094292, 0.12652145004002474, 0.7836946476720633, 0.999985367223316, 0.999995545250566, 0.999995545250566, 0.9510697471055831, 0.9998265117672152, 0.9999874145582012, 0.000718970894309135, 0.17004047912076242, 0.9999844660585567, 0.9999937798641486, 0.9999471780353686, 0.9897010086570014, 0.999995545250566, 0.9938296063541433, 0.9970868266059054, 0.9997395220059732, 0.4301695952843692, 0.9996490346145103, 0.17764170227713386, 0.9927842437076102, 0.999995545250566, 0.999985367223316, 0.9999981063754938, 0.9999937798641486, 0.8659837793260491, 0.9999811009639371, 0.9926966227881001, 0.999995545250566, 0.999985367223316]",3,train,9
0.68,25,9,6,10,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.07855204188965502, 0.999985367223316, 0.9998944075941321, 0.9991468084482289, 0.08351629905086654, 0.008006437141408071, 0.997062730255207, 0.9969702472024293, 0.9983286026426884, 0.11767539422653048, 0.9997516288235375, 0.9999243744849607, 0.4904469986965229, 0.9969702472024293, 1.2065346762891957e-05, 0.1310966566997145, 0.9988480753932331, 0.07423536081087452, 0.0067696330828551825, 0.999929775586153, 0.47722839080359036, 0.9649033694872177, 0.9999937798641486, 0.9972028957336886, 0.2120320365343833, 0.7167584762437865, 0.9945306933763772, 0.9999937798641486, 0.999995545250566, 0.2619580388546358, 0.915625027376865, 0.00663944726492471, 0.995625892395582, 0.0067696330828551825, 0.9418057916834437, 0.9997516288235375, 0.9716291048082514, 0.6413285286985073, 0.9999937798641486, 0.05102612190082414, 0.053651029137816574, 0.999995545250566, 0.17141115273489727, 0.9999243744849607, 1.2065346762891957e-05, 0.9416689535843766, 0.7527882144295621, 0.10760385811632252, 0.999995545250566, 0.9999937798641486]",4,train,6
0.84,40,2,4,4,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.7428062775190886, 0.9999945015876458, 0.9999471780353686, 0.9999471780353686, 0.14811672733676626, 0.9998265117672152, 0.1848324627242491, 0.04863772449853972, 0.9999471780353686, 0.8706457086500635, 0.9999471780353686, 0.9918448193304167, 0.9999471780353686, 0.003038853669342898, 0.9999471780353686, 0.999746537962211, 0.9810241994745723, 0.00045797261746836405, 0.9995668452753252, 0.9999471780353686, 0.9992764857222438, 0.9999471780353686, 0.6184772507116716, 0.999603065590994, 0.9980447089071044, 0.8720088186897232, 0.9802020667800928, 0.9997759407809346, 0.9992643886343731, 0.9999471780353686, 0.9999471780353686, 0.9896623879585942, 0.9999937798641486, 0.9998158292344611, 0.9999471780353686, 0.9999801511447054, 0.9999801511447054, 0.8775057252677463, 0.9988480753932331, 0.0212696263281784, 0.9979245396639552, 0.9810241994745723, 0.9988480753932331, 0.7192202493721145, 0.9999471780353686, 0.8720088186897232, 0.9969199572619463, 0.9998265117672152, 0.5867025819075515, 0.9999801511447054]",5,train,8
1.0,50,0,0,0,50,27,1,1,1,0,0,0,27,1,1,1,0,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.9999981063754938, 0.999307090442825, 0.997066915775221, 0.999995545250566, 0.9999665139168907, 0.999995545250566, 0.9997253666161329, 0.999987417120892, 0.9999497056240856, 0.5310102718750163, 0.9999844660585567, 0.9982319043346062, 0.9999981063754938, 0.9997253666161329, 0.9999981063754938, 0.9997395220059732, 0.9999844660585567, 0.9999981063754938, 0.9999981063754938, 0.9999981063754938, 0.9999981063754938, 0.9999981063754938, 0.9999981063754938, 0.9947659570560885, 0.9999981063754938, 0.9999981063754938, 0.9999786203075682, 0.9999992884572898, 0.9997395220059732, 0.9999981063754938, 0.9999981063754938, 0.9999981063754938, 0.9996863939871204, 0.9999992884572898, 0.9999844660585567, 0.9999981063754938, 0.999995545250566, 0.9999981063754938, 0.999995545250566, 0.999995545250566, 0.9999786203075682, 0.9999981063754938, 0.9999981063754938, 0.9999844660585567, 0.9999981063754938, 0.9947659570560885, 0.9999786203075682, 0.9999981063754938, 0.9999981063754938, 0.9999981063754938]",6,train,9
0.84,39,3,5,3,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.9999976627339471, 0.999985367223316, 0.9999736115575945, 0.9999945015876458, 0.9618269831921884, 0.9999981063754938, 0.9730275156924646, 0.9999348035942002, 0.9999937798641486, 0.004751505534010342, 0.997062730255207, 0.999307090442825, 0.9149855827333501, 0.9999786203075682, 0.9785987460820389, 0.4874089671157159, 0.9999976627339471, 0.999985367223316, 0.9785390663328802, 0.9999027543668868, 0.9998910731649081, 0.9892769873440417, 0.012563682974578327, 0.9730275156924646, 0.9997437868380268, 0.9969408626390815, 0.9999586690467104, 0.999985367223316, 0.9999937798641486, 0.9999976627339471, 0.15805638586233073, 0.9772407279793077, 0.9999722853495882, 0.9996371483522171, 0.9999937798641486, 0.9999976627339471, 0.0010117095119210875, 0.9995296803646891, 0.9999590672416263, 0.9146065855160095, 0.9999937798641486, 0.9998944075941321, 0.999937923276687, 0.9956678530268941, 0.9997045819875122, 0.9999945015876458, 0.9999037108179556, 0.9983714531177722, 0.9999736115575945, 0.17764170227713386]",7,train,8
1.0,50,0,0,0,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.9999981063754938, 0.999998326093931, 0.9999992884572898, 0.9998636252156683, 0.9999992884572898, 0.9999981063754938, 0.9999919663326622, 0.999995545250566, 0.9999811009639371, 0.9999992884572898, 0.999998326093931, 0.9999786203075682, 0.999998326093931, 0.9999678517971442, 0.999998326093931, 0.9999981063754938, 0.9997395220059732, 0.9999919663326622, 0.999998326093931, 0.9999811009639371, 0.9999992884572898, 0.9999992884572898, 0.999995545250566, 0.9991113323770001, 0.9999919663326622, 0.999998326093931, 0.9999992884572898, 0.999998326093931, 0.9999992884572898, 0.9999992884572898, 0.999995545250566, 0.9999992884572898, 0.9999981063754938, 0.999998326093931, 0.999998326093931, 0.9997395220059732, 0.9999811009639371, 0.9999992884572898, 0.9999992884572898, 0.999998326093931, 0.9999992884572898, 0.999987417120892, 0.999998326093931, 0.9999992884572898, 0.9997395220059732, 0.9999992884572898, 0.999998326093931, 0.9999715818734896, 0.9999992884572898, 0.9999811009639371]",8,train,9
0.84,34,8,0,8,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.86724043, 0.85690284, 0.93724656, 0.44083831, 0.35723013,
       0.43726179, 0.86262006, 0.78432131, 0.90227419, 0.92596918,
       0.90301406, 0.96632862, 0.64219224]), array([0.73468155, 0.65905732, 0.59691381, 0.76852822, 0.80465847,
       0.80473089, 0.73593622, 0.76675737, 0.66878641, 0.649876  ,
       0.655002  , 0.56935352, 0.78557974]), array([0.25738999, 0.33196446, 0.39189625, 0.22418199, 0.18772611,
       0.18755873, 0.25624403, 0.22595285, 0.32172397, 0.33996171,
       0.33529049, 0.41855976, 0.20689204]), array([0.14134075, 0.15067706, 0.07069069, 0.56786489, 0.65088528,
       0.57114589, 0.1459251 , 0.22445117, 0.10606164, 0.08248892,
       0.10517684, 0.04167661, 0.366887  ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'EurusPRMStage2_max_scores (7.62B)', 'InternLM2 (7B)', 'Qwen72B_scores (72B)', 'QwenPRM_min_scores (7.63B)', 'SkyT1 (32B)', 'DeepSeekLlama (70B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)']","[0.7167584762437865, 0.028197636259584373, 0.9999976627339471, 0.02793354944141453, 0.9947659570560885, 0.17764170227713386, 0.9993874400580497, 0.007626222988192751, 0.9997363365917031, 0.9999888748410916, 0.8576708096735426, 0.9999945015876458, 0.9999736115575945, 0.9999945015876458, 0.9999945015876458, 0.9999945015876458, 0.9997363365917031, 0.8576708096735426, 0.286374910120761, 3.210883203577208e-05, 0.9999945015876458, 1.2212932337146434e-05, 0.2619580388546358, 0.9999945015876458, 0.048593648736002755, 0.007626222988192751, 0.9999992884572898, 0.9999992884572898, 1.2721196527908558e-05, 0.022399919678413448, 0.9999945015876458, 3.210883203577208e-05, 0.9999945015876458, 0.9999945015876458, 6.434047399427189e-05, 7.193644441691033e-07, 0.999998326093931, 0.9999811009639371, 0.8948613315002694, 0.7836946476720633, 0.9999919663326622, 0.987773441212804, 0.987773441212804, 0.000718970894309135, 0.9999976627339471, 0.9999937798641486, 0.997066915775221, 0.9913248024132839, 0.9999976627339471, 0.8773826345774408]",9,train,8
