sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,0,50,0,0,50,25,0,0,0,0,1,0,4,0,1,0,1,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.09450332524337822, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 9.56221271552147e-06, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 0.00016890248666278772, 0.00011815490473555093, 0.00011815490473555093, 0.0003141473986684654, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 0.003868362578995113, 9.56221271552147e-06, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 0.003868362578995113, 0.13271194832044236, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 0.06573652744553601, 0.00011815490473555093, 0.0031657441705996007, 0.00011815490473555093, 0.00011815490473555093, 9.56221271552147e-06, 9.56221271552147e-06, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 9.56221271552147e-06, 0.0031657441705996007, 0.00011815490473555093, 0.09450332524337822, 0.00011815490473555093, 0.003868362578995113, 0.003868362578995113, 0.00011815490473555093, 0.00011815490473555093, 0.00011815490473555093, 9.56221271552147e-06]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999803491417525, 0.9998401652404002, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9999062852307429, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999924158846435, 0.9999803491417525, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999062852307429, 0.9993236496296397, 0.9999924158846435, 0.9999924158846435, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9999924158846435, 0.9999803491417525, 0.9999803491417525, 0.9999924158846435, 0.9999924158846435, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9997572131717994, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9999626472660157, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525]",1,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999032216043502, 0.9999803491417525, 0.9758113392266777, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9999803491417525, 0.9997572131717994, 0.9999803491417525, 0.9999032216043502, 0.9999803491417525, 0.9999803491417525]",2,train,9
1.0,50,0,0,0,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.983374358485122, 0.9999803491417525, 0.9997572131717994, 0.9988053468645399, 0.9999032216043502, 0.634219249263539, 0.9999803491417525, 0.9755252147267682, 0.9758113392266777, 0.9999032216043502, 0.9988053468645399, 0.9999803491417525, 0.9779990775313308, 0.9999032216043502, 0.634219249263539, 0.9932723933525197, 0.9758113392266777, 0.9996440717973668, 0.8942754257500218, 0.9730982458904437, 0.9827528097696289, 0.9999032216043502, 0.9999803491417525, 0.9993546177019461, 0.9999032216043502, 0.9987599573626701, 0.9999924158846435, 0.7587363474848997, 0.9827528097696289, 0.9999626472660157, 0.9999626472660157, 0.9997479796341618, 0.9982494018758516, 0.9999803491417525, 0.9949319211572138, 0.9988053468645399, 0.9999626472660157, 0.9227634070589982, 0.9997479796341618, 0.634219249263539, 0.9987599573626701, 0.9999803491417525, 0.9980480136321545, 0.9999924158846435, 0.9999626472660157, 0.9827528097696289, 0.9997572131717994, 0.9779990775313308, 0.9999803491417525, 0.9999032216043502]",3,train,9
0.82,35,6,9,0,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.983374358485122, 0.9999032216043502, 0.9993236496296397, 0.9956192264990321, 0.5016523176479101, 0.07532176649223102, 0.9779990775313308, 0.9744971624765099, 0.9889905802029729, 0.9905239118011273, 0.9982494018758516, 0.9996440717973668, 0.9986337654612831, 0.9744971624765099, 0.00027465820504374755, 0.9758113392266777, 0.9987599573626701, 0.7587363474848997, 0.06002214262330138, 0.9995385988154571, 0.9986337654612831, 0.9987599573626701, 0.9999626472660157, 0.9787882420922803, 0.9758113392266777, 0.9758113392266777, 0.9480218273846497, 0.9999626472660157, 0.9999803491417525, 0.9905239118011273, 0.9889931538731289, 0.006580140829519897, 0.9982494018758516, 0.5633805472171666, 0.7633341475194607, 0.9455095151482604, 0.9982494018758516, 0.9758113392266777, 0.9999626472660157, 0.9758113392266777, 0.9758113392266777, 0.9999803491417525, 0.11799405557603829, 0.9996440717973668, 0.005520932251292031, 0.9986337654612831, 0.6874851483798616, 0.8217753780317295, 0.9999803491417525, 0.9999626472660157]",4,train,6
0.86,41,2,4,3,50,32,1,1,1,0,0,0,32,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.9779990775313308, 0.9999032216043502, 0.9949319211572138, 0.9949319211572138, 0.6783474134996508, 0.9987599573626701, 0.8217753780317295, 0.018772122458689772, 0.9949319211572138, 0.7587363474848997, 0.9949319211572138, 0.9995210550376107, 0.9997479796341618, 0.018772122458689772, 0.9997479796341618, 0.9987991688102927, 0.9987599573626701, 0.003868362578995113, 0.9987599573626701, 0.9997479796341618, 0.9992132636133901, 0.9949319211572138, 0.9941133247784851, 0.9999027205695561, 0.7633341475194607, 0.9827528097696289, 0.9744971624765099, 0.940778692932132, 0.9848886540419953, 0.9997479796341618, 0.9949319211572138, 0.4297649331024407, 0.9999626472660157, 0.9995210550376107, 0.9949319211572138, 0.9949319211572138, 0.9997479796341618, 0.9913927120126954, 0.9987599573626701, 0.007329373239248366, 0.9941133247784851, 0.9987599573626701, 0.9987599573626701, 0.9986337654612831, 0.9949319211572138, 0.9827528097696289, 0.9995210550376107, 0.9755252147267682, 0.9227634070589982, 0.9997479796341618]",5,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999924158846435, 0.9999626472660157, 0.9995385988154571, 0.9999803491417525, 0.9999924158846435, 0.9999803491417525, 0.9999626472660157, 0.9999924158846435, 0.9997572131717994, 0.9917055266074865, 0.9999626472660157, 0.9993236496296397, 0.9999924158846435, 0.9999626472660157, 0.9999924158846435, 0.9999626472660157, 0.9999626472660157, 0.9999924158846435, 0.9999924158846435, 0.9999924158846435, 0.9999924158846435, 0.9999924158846435, 0.9999924158846435, 0.999472274679892, 0.9999924158846435, 0.9999924158846435, 0.9999062852307429, 0.9999924158846435, 0.9999626472660157, 0.9999924158846435, 0.9999924158846435, 0.9999924158846435, 0.999472274679892, 0.9999924158846435, 0.9999626472660157, 0.9999924158846435, 0.9999803491417525, 0.9999924158846435, 0.9999803491417525, 0.9999803491417525, 0.9999062852307429, 0.9999924158846435, 0.9999924158846435, 0.9999626472660157, 0.9999924158846435, 0.999472274679892, 0.9999062852307429, 0.9999924158846435, 0.9999924158846435, 0.9999924158846435]",6,train,9
0.9,41,4,4,1,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999626472660157, 0.9999032216043502, 0.9995385988154571, 0.9999032216043502, 0.7228587235087458, 0.9999924158846435, 0.7865089971210052, 0.9755252147267682, 0.9999626472660157, 0.0015457212043115086, 0.9779990775313308, 0.9999626472660157, 0.6874851483798616, 0.9999062852307429, 0.9999626472660157, 0.9758113392266777, 0.9999626472660157, 0.9999032216043502, 0.2128599954672814, 0.9999032216043502, 0.9992132636133901, 0.9999032216043502, 0.7587363474848997, 0.7865089971210052, 0.9979640468723133, 0.9755252147267682, 0.9999626472660157, 0.9999032216043502, 0.9999626472660157, 0.9999626472660157, 0.15577926937303965, 0.7382074078163703, 0.9995210550376107, 0.9471434491776506, 0.9999626472660157, 0.9999626472660157, 0.005520932251292031, 0.8507461625699049, 0.9992132636133901, 0.04745177445375933, 0.9999626472660157, 0.9993236496296397, 0.9988053468645399, 0.9643535636490875, 0.9986337654612831, 0.9999032216043502, 0.9979640468723133, 0.9999032216043502, 0.9995385988154571, 0.9827528097696289]",7,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999924158846435, 0.9999803491417525, 0.9999924158846435, 0.9983047302200504, 0.9999924158846435, 0.9999924158846435, 0.9999062852307429, 0.9999803491417525, 0.9997572131717994, 0.9999924158846435, 0.9999803491417525, 0.9999062852307429, 0.9999803491417525, 0.9998626035541127, 0.9999803491417525, 0.9999924158846435, 0.9999626472660157, 0.9999062852307429, 0.9999803491417525, 0.9997572131717994, 0.9999924158846435, 0.9999924158846435, 0.9999803491417525, 0.9997572131717994, 0.9999062852307429, 0.9999803491417525, 0.9999924158846435, 0.9999803491417525, 0.9999924158846435, 0.9999924158846435, 0.9999803491417525, 0.9999924158846435, 0.9999924158846435, 0.9999803491417525, 0.9999803491417525, 0.9999626472660157, 0.9997572131717994, 0.9999924158846435, 0.9999924158846435, 0.9999803491417525, 0.9999924158846435, 0.9999924158846435, 0.9999803491417525, 0.9999924158846435, 0.9999626472660157, 0.9999924158846435, 0.9999803491417525, 0.9996440717973668, 0.9999924158846435, 0.9997572131717994]",8,train,9
0.96,40,8,0,2,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.85207707, 0.88314277, 0.79243743,
       0.94728249, 0.55857831, 0.39344019, 0.96606576, 0.90815806]), array([0.69505984, 0.63803476, 0.76462376, 0.62986112, 0.77315319,
       0.63092875, 0.79289901, 0.79573411, 0.58596402, 0.68632042]), array([0.2954613 , 0.35148704, 0.22788447, 0.35968703, 0.21920927,
       0.35782847, 0.19904813, 0.19617067, 0.40163437, 0.30402169]), array([0.10138327, 0.11477465, 0.157792  , 0.12514411, 0.21787959,
       0.06214914, 0.45176589, 0.61592919, 0.04288836, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)']","[0.9758113392266777, 0.8750698211677855, 0.9999626472660157, 0.8796107644966475, 0.999472274679892, 0.9827528097696289, 0.9999032216043502, 0.00011815490473555093, 0.9993236496296397, 0.9999803491417525, 0.999472274679892, 0.9999032216043502, 0.9995385988154571, 0.9999032216043502, 0.9999032216043502, 0.9999032216043502, 0.9993236496296397, 0.9894431843657845, 0.7587363474848997, 0.00016890248666278772, 0.9968293475866464, 0.09139431282466814, 0.8380006160133696, 0.9999032216043502, 0.00011815490473555093, 0.003868362578995113, 0.9999924158846435, 0.9999924158846435, 0.00027465820504374755, 0.12982885837687572, 0.9999032216043502, 0.005520932251292031, 0.9999032216043502, 0.9999032216043502, 0.0003672477575099501, 0.00027465820504374755, 0.9999803491417525, 0.9997572131717994, 0.9787882420922803, 0.9827528097696289, 0.9999062852307429, 0.9986337654612831, 0.9986337654612831, 0.7587363474848997, 0.9999626472660157, 0.9999626472660157, 0.9995385988154571, 0.9827528097696289, 0.9999626472660157, 0.983374358485122]",9,train,8
