sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,0,50,0,0,50,25,0,0,0,0,1,0,8,0,1,0,1,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.34377099319164744, 0.023699151579855634, 0.001374917348220756, 0.001374917348220756, 0.002146517455141189, 0.001374917348220756, 0.14089982467360365, 0.023699151579855634, 1.090855942091194e-06, 0.023699151579855634, 0.023699151579855634, 5.6225230761548844e-05, 3.598707184127163e-05, 0.023699151579855634, 0.0006341057254239051, 3.598707184127163e-05, 5.6225230761548844e-05, 0.023699151579855634, 3.598707184127163e-05, 0.023699151579855634, 0.023699151579855634, 0.023699151579855634, 0.001374917348220756, 0.023699151579855634, 0.023699151579855634, 0.4449239781488924, 0.023699151579855634, 0.001374917348220756, 0.023699151579855634, 0.29534359633772705, 0.001374917348220756, 0.34377099319164744, 0.0006341057254239051, 0.001374917348220756, 0.014325789121309425, 0.00012199433164361699, 0.0034959274833315786, 0.023699151579855634, 0.023699151579855634, 0.00012199433164361699, 0.028855115829121276, 0.023699151579855634, 0.013508133158885549, 0.023699151579855634, 0.0006341057254239051, 0.023699151579855634, 0.0006341057254239051, 0.001374917348220756, 0.023699151579855634, 5.6225230761548844e-05]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9999985573203745, 0.999989093507104, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.99999296168667, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999993762796733, 0.9999985573203745, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.99999296168667, 0.9983394367729399, 0.9999993762796733, 0.9999993762796733, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.9999993762796733, 0.9999985573203745, 0.9999985573203745, 0.9999993762796733, 0.9999993762796733, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999837203546472, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.9999979394082208, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745]",1,train,9
0.98,49,0,0,1,50,33,1,1,1,0,0,0,33,1,1,1,0,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.999999433811475, 0.9999985573203745, 0.9994325609340629, 0.9999985573203745, 0.005057059156287689, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999985573203745, 0.9999837203546472, 0.9999985573203745, 0.9994325609340629, 0.9999985573203745, 0.9999985573203745]",2,train,9
0.74,37,0,0,13,50,43,1,1,1,0,0,0,43,1,1,1,0,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.25892137784006364, 0.9999902527118523, 0.9999837203546472, 0.9999788925234081, 0.9999952338122705, 0.017788828456471863, 0.9999985573203745, 0.9937172711095975, 0.1858938843393522, 0.9999952338122705, 0.9996367426396209, 0.9999902527118523, 0.35494422766746175, 0.9997772284315931, 0.017788828456471863, 0.04020688824937495, 0.012785583811104978, 0.999831726404086, 0.6416521962997025, 0.01386813175686012, 0.24203012843480923, 0.9999952338122705, 0.9999985573203745, 0.9999985573203745, 0.9787408721432646, 0.9999411542262046, 0.9999957858901581, 0.0010478187203532931, 0.24203012843480923, 0.9999945361498245, 0.9999979394082208, 0.9999821872730819, 0.9961674318629755, 0.9999985573203745, 0.9980899160285773, 0.9999462186943312, 0.9978987156351955, 0.061430333583701355, 0.9998796618325473, 0.017788828456471863, 0.9972563358608847, 0.9999985573203745, 0.9999242177606377, 0.9999993762796733, 0.9999979394082208, 0.9243342121769101, 0.9999936108950909, 0.9973129137982377, 0.9999985573203745, 0.9999952338122705]",3,train,9
0.62,23,8,7,12,50,28,1,1,1,0,0,0,14,0,1,0,1,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.007717113702536318, 0.9999952338122705, 0.9999644222540071, 0.9997189840483672, 0.8265661947224379, 0.29693331205864737, 0.9989849187846769, 0.9989719982855184, 0.9994558752097003, 0.011619948064320674, 0.9999177116225202, 0.9999750907454488, 0.08068029061580095, 0.9989719982855184, 1.2095260519630449e-06, 0.012785583811104978, 0.9996025470706129, 0.007205540986743164, 3.726511093064776e-05, 0.99997674778959, 0.6074282231397413, 0.9850164808690077, 0.9999979394082208, 0.9990722037791883, 0.33131578498596326, 0.1858938843393522, 0.9982046168253143, 0.9999979394082208, 0.9999985573203745, 0.02908510232864364, 0.5308744558384926, 0.0009822647356146647, 0.9999177116225202, 0.0005922273485233516, 0.7122601174618728, 0.9999177116225202, 0.999444287275701, 0.16279581336216192, 0.9999979394082208, 0.08224363107794004, 0.005057059156287689, 0.9999985573203745, 0.001147076046803726, 0.9999750907454488, 1.923244650493239e-05, 0.6074282231397413, 0.34191620308570053, 0.01098323912046332, 0.9999985573203745, 0.9999979394082208]",4,train,6
0.74,35,2,4,9,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9931815132760948, 0.9999981294764259, 0.9997168332318307, 0.9997168332318307, 0.320864846856685, 0.9999411542262046, 0.023530038953904507, 0.0058510450243322125, 0.9997168332318307, 0.4143495809727612, 0.9997168332318307, 0.9969783876565654, 0.9999821872730819, 0.0003337044662278098, 0.9999821872730819, 0.9999131036501006, 0.9930385538432379, 0.001374917348220756, 0.9998439796067268, 0.9999821872730819, 0.9997566090961302, 0.9997168332318307, 0.9867555222903515, 0.9999922988701716, 0.9895506927182743, 0.40928869082602154, 0.9930952344786349, 0.9987471672173904, 0.9997394446879343, 0.9999821872730819, 0.9997168332318307, 0.9470669251062136, 0.9999979394082208, 0.9999325410654099, 0.9997168332318307, 0.9998888504294151, 0.9999930092158316, 0.9502718948836435, 0.9996025470706129, 0.0025380371028834443, 0.9992392888840093, 0.9930385538432379, 0.9996025470706129, 0.18275262816015792, 0.9997168332318307, 0.40928869082602154, 0.9988119696799801, 0.9990651073188541, 0.12435955108239632, 0.9999930092158316]",5,train,8
1.0,50,0,0,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9999993762796733, 0.9997545976082567, 0.9767896912370706, 0.9999985573203745, 0.9999993762796733, 0.9999985573203745, 0.9999945361498245, 0.9999997552172293, 0.9999837203546472, 0.9815760549539193, 0.9999945361498245, 0.9993731024847669, 0.9999993762796733, 0.9999945361498245, 0.9999993762796733, 0.9999036760396367, 0.9999945361498245, 0.9999993762796733, 0.9999993762796733, 0.9999993762796733, 0.9999993762796733, 0.9999993762796733, 0.9999993762796733, 0.9518953806227424, 0.9999993762796733, 0.9999993762796733, 0.99999296168667, 0.9999997552172293, 0.9999036760396367, 0.9999993762796733, 0.9999993762796733, 0.9999993762796733, 0.9971418862267001, 0.9999997552172293, 0.9999945361498245, 0.9999993762796733, 0.9999985573203745, 0.9999993762796733, 0.9999985573203745, 0.9999985573203745, 0.99999296168667, 0.9999993762796733, 0.9999993762796733, 0.9999945361498245, 0.9999993762796733, 0.9976933990732526, 0.99999296168667, 0.9999993762796733, 0.9999993762796733, 0.9999993762796733]",6,train,9
0.82,38,3,5,4,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9999991913077322, 0.9999952338122705, 0.9999908744055664, 0.9999981294764259, 0.9867515201876345, 0.9999993762796733, 0.9904901210352349, 0.9996328874017779, 0.9999979394082208, 0.0006461999986115262, 0.9989849187846769, 0.9997545976082567, 0.6179966916592192, 0.99999296168667, 0.9906966776464924, 0.08224363107794004, 0.9999991913077322, 0.9999952338122705, 0.8911476094135644, 0.9999677984525686, 0.9999639689516596, 0.9997772284315931, 0.022413962647791157, 0.9904901210352349, 0.9999166632213639, 0.9990651073188541, 0.9999991913077322, 0.9999952338122705, 0.9999979394082208, 0.9999991913077322, 0.020581227280661224, 0.23165816044027412, 0.9999900150262734, 0.9998784877949181, 0.9999979394082208, 0.9999991913077322, 0.0018713310040220016, 0.997266050708957, 0.9999858590954934, 0.6694261950758409, 0.9999979394082208, 0.9999644222540071, 0.9999788925234081, 0.9985630243544708, 0.997505921636415, 0.9999981294764259, 0.999967292339418, 0.9994325609340629, 0.9999908744055664, 0.017788828456471863]",7,train,8
1.0,50,0,0,0,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.9999993762796733, 0.999999433811475, 0.9999997552172293, 0.9999523083059958, 0.9999997552172293, 0.9999993762796733, 0.9999972377610938, 0.9999985573203745, 0.9999936108950909, 0.9999997552172293, 0.999999433811475, 0.99999296168667, 0.999999433811475, 0.9999892307238023, 0.999999433811475, 0.9999993762796733, 0.9999036760396367, 0.9999972377610938, 0.999999433811475, 0.9999936108950909, 0.9999997552172293, 0.9999997552172293, 0.9999985573203745, 0.9999837203546472, 0.9999972377610938, 0.999999433811475, 0.9999997552172293, 0.999999433811475, 0.9999997552172293, 0.9999997552172293, 0.9999985573203745, 0.9999997552172293, 0.9999993762796733, 0.999999433811475, 0.999999433811475, 0.9978987156351955, 0.9999936108950909, 0.9999997552172293, 0.9999997552172293, 0.999999433811475, 0.9999997552172293, 0.9999997552172293, 0.999999433811475, 0.9999997552172293, 0.9999036760396367, 0.9999997552172293, 0.999999433811475, 0.999990224069905, 0.9999997552172293, 0.9999936108950909]",8,train,9
0.74,29,8,0,13,50,26,1,1,1,0,0,0,28,0,1,0,1,0,0,"(array([0.86648154, 0.94718254, 0.85730898, 0.78795975, 0.86392343,
       0.43558124, 0.35240003, 0.92603165, 0.8658852 , 0.64338046,
       0.90712845, 0.93726832, 0.97304237, 0.43347746]), array([0.73478591, 0.59883845, 0.65750372, 0.76962024, 0.73643196,
       0.80635452, 0.80505532, 0.64970428, 0.71671456, 0.78703576,
       0.65538949, 0.61539036, 0.57053661, 0.76587307]), array([0.25704345, 0.38970673, 0.33327886, 0.22282046, 0.25549191,
       0.18573259, 0.18715553, 0.33989686, 0.27482909, 0.20519444,
       0.33464578, 0.37358144, 0.41713265, 0.22666351]), array([0.14164913, 0.06064658, 0.14988092, 0.22042346, 0.1442214 ,
       0.57240629, 0.65535808, 0.08202189, 0.14200927, 0.36524075,
       0.10076459, 0.07063292, 0.03478798, 0.57482082]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'LDLReward (27.2B)']","[0.1858938843393522, 0.0023899233497597355, 0.9999991913077322, 0.0026275625475411977, 0.9518953806227424, 0.017788828456471863, 0.9951530493276689, 0.023699151579855634, 0.9999056675294135, 0.9999961745972933, 0.3409076391245319, 0.9999981294764259, 0.9999908744055664, 0.9999981294764259, 0.9999981294764259, 0.9999981294764259, 0.9979420741984987, 0.031503680637810706, 0.0385803727419379, 4.90039196302185e-05, 0.9999981294764259, 1.88347872685716e-05, 0.0018803768323975957, 0.9999981294764259, 0.14089982467360365, 0.023699151579855634, 0.9999997552172293, 0.9999997552172293, 6.860262159108113e-08, 0.002289592789770207, 0.9999981294764259, 4.90039196302185e-05, 0.9999981294764259, 0.9999981294764259, 5.3156695042224056e-06, 6.860262159108113e-08, 0.999999433811475, 0.9999936108950909, 0.9583915069586277, 0.24203012843480923, 0.9999972377610938, 0.895343198308708, 0.895343198308708, 0.0010478187203532931, 0.9999991913077322, 0.9999979394082208, 0.9989141100893352, 0.9243342121769101, 0.9999991913077322, 0.431212103011155]",9,train,8
