sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,0,50,0,0,50,25,0,0,0,0,1,0,4,0,1,0,1,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.10292359914751867, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.0006473811163862244, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.008002326916360138, 0.006730065782174564, 0.006730065782174564, 0.0006473811163862244, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.0006473811163862244, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.13946949079163354, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.09100241278671917, 0.006730065782174564, 0.10292359914751867, 0.006730065782174564, 0.006730065782174564, 0.0006473811163862244, 0.0006473811163862244, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.0006473811163862244, 0.10292359914751867, 0.006730065782174564, 0.10292359914751867, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.006730065782174564, 0.0006473811163862244]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999401306980938, 0.9996373978170021, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.9997619714089121, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999772379234197, 0.9999401306980938, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9997619714089121, 0.998857389173177, 0.9999772379234197, 0.9999772379234197, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.9999772379234197, 0.9999401306980938, 0.9999401306980938, 0.9999772379234197, 0.9999772379234197, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9993741517309379, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.999922585365283, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938]",1,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9997964005080401, 0.9999401306980938, 0.9634365739089351, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9999401306980938, 0.9993741517309379, 0.9999401306980938, 0.9997964005080401, 0.9999401306980938, 0.9999401306980938]",2,train,9
1.0,50,0,0,0,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9738372889687854, 0.9999401306980938, 0.9993741517309379, 0.997874545498504, 0.9997964005080401, 0.9698450310886441, 0.9999401306980938, 0.9643036376292853, 0.9634365739089351, 0.9997964005080401, 0.997874545498504, 0.9999401306980938, 0.9648571295670787, 0.9997964005080401, 0.9698450310886441, 0.9883172658957334, 0.9634365739089351, 0.9991161382758059, 0.8688755582941701, 0.9628615697317389, 0.9698450310886441, 0.9997964005080401, 0.9999401306980938, 0.9999401306980938, 0.9997964005080401, 0.9975409531780493, 0.9999772379234197, 0.6852112604640394, 0.9698450310886441, 0.999922585365283, 0.999922585365283, 0.9992757533613497, 0.9970001571445195, 0.9999401306980938, 0.9892335122177092, 0.997874545498504, 0.999922585365283, 0.8899647888411858, 0.9992757533613497, 0.9698450310886441, 0.9975409531780493, 0.9999401306980938, 0.9969513107270663, 0.9999772379234197, 0.999922585365283, 0.9698450310886441, 0.9993741517309379, 0.9648571295670787, 0.9999401306980938, 0.9997964005080401]",3,train,9
0.82,35,6,9,0,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9738372889687854, 0.9997964005080401, 0.998857389173177, 0.9908319054621343, 0.5519066082660797, 0.10535107082516793, 0.9648571295670787, 0.9622020291648222, 0.9841010098592458, 0.9857769097526706, 0.9970001571445195, 0.9991161382758059, 0.9974380448265145, 0.9622020291648222, 0.0005369060592638989, 0.9634365739089351, 0.9975409531780493, 0.6852112604640394, 0.08765924368911472, 0.9991908744838526, 0.9974380448265145, 0.9975409531780493, 0.999922585365283, 0.9694889680278732, 0.9634365739089351, 0.9634365739089351, 0.9479125540429917, 0.999922585365283, 0.9999401306980938, 0.9857769097526706, 0.9846772323248447, 0.010217559385357365, 0.9970001571445195, 0.5906384882099749, 0.7208832783603784, 0.9970001571445195, 0.9970001571445195, 0.9634365739089351, 0.999922585365283, 0.9634365739089351, 0.9634365739089351, 0.9999401306980938, 0.11847767650284192, 0.9991161382758059, 0.008002326916360138, 0.9974380448265145, 0.6464329425772342, 0.7545959366633694, 0.9999401306980938, 0.999922585365283]",4,train,6
0.86,41,2,4,3,50,32,1,1,1,0,0,0,32,1,1,1,0,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9648571295670787, 0.9997964005080401, 0.9892335122177092, 0.9892335122177092, 0.6327442620317286, 0.9975409531780493, 0.7545959366633694, 0.02336710104549028, 0.9892335122177092, 0.6852112604640394, 0.9892335122177092, 0.9990636875292632, 0.9992757533613497, 0.02336710104549028, 0.9992757533613497, 0.9971262195124411, 0.9975409531780493, 0.006730065782174564, 0.9975409531780493, 0.9992757533613497, 0.9987677825093205, 0.9892335122177092, 0.9902926223762879, 0.9997245307940671, 0.7208832783603784, 0.9698450310886441, 0.9622020291648222, 0.897796897661188, 0.9748643003860438, 0.9992757533613497, 0.9892335122177092, 0.3553581944473399, 0.999922585365283, 0.9990636875292632, 0.9892335122177092, 0.9892335122177092, 0.9992757533613497, 0.9863418074023629, 0.9975409531780493, 0.009014308981641716, 0.9902926223762879, 0.9975409531780493, 0.9975409531780493, 0.9974380448265145, 0.9892335122177092, 0.9698450310886441, 0.9990636875292632, 0.9643036376292853, 0.8899647888411858, 0.9992757533613497]",5,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999772379234197, 0.999922585365283, 0.9991908744838526, 0.9999401306980938, 0.9999772379234197, 0.9999401306980938, 0.999922585365283, 0.9999772379234197, 0.9993741517309379, 0.9881766597678677, 0.999922585365283, 0.998857389173177, 0.9999772379234197, 0.999922585365283, 0.9999772379234197, 0.999922585365283, 0.999922585365283, 0.9999772379234197, 0.9999772379234197, 0.9999772379234197, 0.9999772379234197, 0.9999772379234197, 0.9999772379234197, 0.9990244415820512, 0.9999772379234197, 0.9999772379234197, 0.9997619714089121, 0.9999772379234197, 0.999922585365283, 0.9999772379234197, 0.9999772379234197, 0.9999772379234197, 0.9990244415820512, 0.9999772379234197, 0.999922585365283, 0.9999772379234197, 0.9999401306980938, 0.9999772379234197, 0.9999401306980938, 0.9999401306980938, 0.9997619714089121, 0.9999772379234197, 0.9999772379234197, 0.999922585365283, 0.9999772379234197, 0.9990244415820512, 0.9997619714089121, 0.9999772379234197, 0.9999772379234197, 0.9999772379234197]",6,train,9
0.9,41,4,4,1,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.999922585365283, 0.9997964005080401, 0.9991908744838526, 0.9997964005080401, 0.764134540804103, 0.9999772379234197, 0.7981562823282682, 0.9643036376292853, 0.999922585365283, 0.002282287868369107, 0.9648571295670787, 0.999922585365283, 0.6464329425772342, 0.9997619714089121, 0.999922585365283, 0.9634365739089351, 0.999922585365283, 0.9997964005080401, 0.23182248375715436, 0.9997964005080401, 0.9987677825093205, 0.9997964005080401, 0.6852112604640394, 0.7981562823282682, 0.9967653729288668, 0.9643036376292853, 0.999922585365283, 0.9997964005080401, 0.999922585365283, 0.999922585365283, 0.2043621428824962, 0.6817063511006796, 0.9990636875292632, 0.9964945353537119, 0.999922585365283, 0.999922585365283, 0.008002326916360138, 0.8278550830694289, 0.9987677825093205, 0.07580318111816121, 0.999922585365283, 0.998857389173177, 0.997874545498504, 0.9542459284173846, 0.9974380448265145, 0.9997964005080401, 0.9967653729288668, 0.9997964005080401, 0.9991908744838526, 0.9698450310886441]",7,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999772379234197, 0.9999401306980938, 0.9999772379234197, 0.9964945353537119, 0.9999772379234197, 0.9999772379234197, 0.9997619714089121, 0.9999401306980938, 0.9993741517309379, 0.9999772379234197, 0.9999401306980938, 0.9997619714089121, 0.9999401306980938, 0.9996637874789669, 0.9999401306980938, 0.9999772379234197, 0.999922585365283, 0.9997619714089121, 0.9999401306980938, 0.9993741517309379, 0.9999772379234197, 0.9999772379234197, 0.9999401306980938, 0.9993741517309379, 0.9997619714089121, 0.9999401306980938, 0.9999772379234197, 0.9999401306980938, 0.9999772379234197, 0.9999772379234197, 0.9999401306980938, 0.9999772379234197, 0.9999772379234197, 0.9999401306980938, 0.9999401306980938, 0.999922585365283, 0.9993741517309379, 0.9999772379234197, 0.9999772379234197, 0.9999401306980938, 0.9999772379234197, 0.9999772379234197, 0.9999401306980938, 0.9999772379234197, 0.999922585365283, 0.9999772379234197, 0.9999401306980938, 0.9991161382758059, 0.9999772379234197, 0.9993741517309379]",8,train,9
0.96,40,8,0,2,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.85522205, 0.8995716 , 0.84265089, 0.78486866, 0.84570312,
       0.4558351 , 0.39011326, 0.90615624, 0.85716063]), array([0.73743701, 0.59864652, 0.66828918, 0.77168816, 0.73644912,
       0.79904842, 0.80051005, 0.65332723, 0.72262824]), array([0.25477147, 0.39025822, 0.32282016, 0.22106956, 0.25589582,
       0.19299285, 0.19149217, 0.33661434, 0.26926419]), array([0.15534128, 0.10940412, 0.16677876, 0.22632833, 0.16472495,
       0.55488724, 0.62000906, 0.10386464, 0.1531879 ]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9634365739089351, 0.8414879862797029, 0.999922585365283, 0.8492498710510816, 0.9990244415820512, 0.9698450310886441, 0.9997964005080401, 0.006730065782174564, 0.998857389173177, 0.9999401306980938, 0.9990244415820512, 0.9997964005080401, 0.9991908744838526, 0.9997964005080401, 0.9997964005080401, 0.9997964005080401, 0.998857389173177, 0.9855479643148225, 0.6852112604640394, 0.008002326916360138, 0.9997964005080401, 0.10649753337904058, 0.8219187130128633, 0.9997964005080401, 0.006730065782174564, 0.006730065782174564, 0.9999772379234197, 0.9999772379234197, 0.0005369060592638989, 0.12018018985982774, 0.9997964005080401, 0.008002326916360138, 0.9997964005080401, 0.9997964005080401, 0.012891202332786449, 0.0005369060592638989, 0.9999401306980938, 0.9993741517309379, 0.9694889680278732, 0.9698450310886441, 0.9997619714089121, 0.9974380448265145, 0.9974380448265145, 0.6852112604640394, 0.999922585365283, 0.999922585365283, 0.9991908744838526, 0.9698450310886441, 0.999922585365283, 0.9738372889687854]",9,train,8
