sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,50,0,0,0,50,3,1,1,1,0,0,0,3,1,1,1,0,0,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9769194004970206, 0.9894771442328529, 0.9256782014187785, 0.9968803701183009, 0.9968803701183009, 0.9894771442328529, 0.9192211028825145, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9192211028825145, 0.9769194004970206, 0.9769194004970206, 0.9192211028825145, 0.9968803701183009, 0.9968803701183009, 0.6011613111720379, 0.9968803701183009, 0.9769194004970206, 0.9894771442328529, 0.9968803701183009, 0.9968803701183009, 0.9894771442328529, 0.9968803701183009, 0.9968803701183009, 0.9256782014187785, 0.9192211028825145, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9769194004970206, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9894771442328529, 0.9769194004970206, 0.9968803701183009, 0.5482553578703533, 0.9968803701183009, 0.9968803701183009, 0.9894771442328529, 0.9968803701183009, 0.9894771442328529, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009]",0,train,9
1.0,50,0,0,0,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9093265928273785, 0.5705108059617421, 0.9894771442328529, 0.5705108059617421, 0.9714942511281609, 0.9968803701183009, 0.9093265928273785, 0.9769194004970206, 0.9894771442328529, 0.9093265928273785, 0.5338332803790703, 0.9093265928273785, 0.6011613111720379, 0.9894771442328529, 0.9093265928273785, 0.9894771442328529, 0.9968803701183009, 0.5338332803790703, 0.9256782014187785, 0.9894771442328529, 0.9093265928273785, 0.5705108059617421, 0.9894771442328529, 0.9894771442328529, 0.9968803701183009, 0.9093265928273785, 0.9894771442328529, 0.5338332803790703, 0.9093265928273785, 0.9093265928273785, 0.9714942511281609, 0.9192211028825145, 0.5482553578703533, 0.9894771442328529, 0.9093265928273785, 0.9093265928273785, 0.9093265928273785, 0.5705108059617421, 0.9968803701183009, 0.9769194004970206, 0.9093265928273785, 0.9093265928273785, 0.9093265928273785, 0.5705108059617421, 0.9093265928273785, 0.9894771442328529, 0.9714942511281609, 0.9093265928273785, 0.5705108059617421, 0.9093265928273785]",1,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9769194004970206, 0.9769194004970206, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9769194004970206, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9769194004970206, 0.9968803701183009, 0.9968803701183009, 0.9769194004970206, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9769194004970206, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9769194004970206, 0.9769194004970206, 0.9968803701183009, 0.9769194004970206, 0.9968803701183009, 0.9769194004970206, 0.9769194004970206, 0.9968803701183009, 0.9968803701183009, 0.9769194004970206, 0.9769194004970206, 0.9968803701183009, 0.9769194004970206, 0.9192211028825145, 0.9769194004970206, 0.9769194004970206, 0.9769194004970206, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009]",2,train,9
0.64,26,6,17,1,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.1317052880477831, 0.9894771442328529, 0.9148017966423788, 0.5338332803790703, 0.9894771442328529, 0.5482553578703533, 0.9093265928273785, 0.5338332803790703, 0.9093265928273785, 0.5338332803790703, 0.5338332803790703, 0.9093265928273785, 0.5338332803790703, 0.12171639307141895, 0.9894771442328529, 0.5482553578703533, 0.12171639307141895, 0.9894771442328529, 0.9093265928273785, 0.5338332803790703, 0.5705108059617421, 0.5338332803790703, 0.5338332803790703, 0.5338332803790703, 0.12171639307141895, 0.5338332803790703, 0.9894771442328529, 0.5338332803790703, 0.1317052880477831, 0.1317052880477831, 0.9256782014187785, 0.9148017966423788, 0.9148017966423788, 0.5338332803790703, 0.9894771442328529, 0.9894771442328529, 0.5705108059617421, 0.5338332803790703, 0.12171639307141895, 0.5338332803790703, 0.9093265928273785, 0.9093265928273785, 0.9256782014187785, 0.5338332803790703, 0.9894771442328529, 0.5338332803790703, 0.5338332803790703, 0.9093265928273785, 0.9894771442328529, 0.9192211028825145]",3,train,5
0.88,44,0,6,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9894771442328529, 0.9192211028825145, 0.9894771442328529, 0.9894771442328529, 0.9192211028825145, 0.9192211028825145, 0.9894771442328529, 0.9894771442328529, 0.9192211028825145, 0.9192211028825145, 0.9192211028825145, 0.9192211028825145, 0.9968803701183009, 0.9894771442328529, 0.9894771442328529, 0.5651059927981894, 0.9192211028825145, 0.9192211028825145, 0.9192211028825145, 0.9192211028825145, 0.9256782014187785, 0.9192211028825145, 0.9148017966423788, 0.9192211028825145, 0.9192211028825145, 0.9192211028825145, 0.5482553578703533, 0.9192211028825145, 0.5651059927981894, 0.9192211028825145, 0.9192211028825145, 0.9148017966423788, 0.9894771442328529, 0.973325654340299, 0.6011613111720379, 0.9192211028825145, 0.9894771442328529, 0.9192211028825145, 0.9894771442328529, 0.9968803701183009, 0.9256782014187785, 0.9192211028825145, 0.9192211028825145, 0.9192211028825145, 0.9192211028825145, 0.9894771442328529, 0.9714942511281609, 0.5651059927981894, 0.9894771442328529, 0.9769194004970206]",4,train,8
0.58,17,12,21,0,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.1317052880477831, 0.5338332803790703, 0.5338332803790703, 0.12171639307141895, 0.5338332803790703, 0.12171639307141895, 0.5338332803790703, 0.9894771442328529, 0.5338332803790703, 0.9894771442328529, 0.9894771442328529, 0.12171639307141895, 0.5338332803790703, 0.5338332803790703, 0.9714942511281609, 0.9894771442328529, 0.5338332803790703, 0.12171639307141895, 0.5482553578703533, 0.5338332803790703, 0.9894771442328529, 0.12171639307141895, 0.7955694135044655, 0.9093265928273785, 0.9093265928273785, 0.9256782014187785, 0.9968803701183009, 0.7955694135044655, 0.9894771442328529, 0.9894771442328529, 0.12171639307141895, 0.9894771442328529, 0.9192211028825145, 0.5338332803790703, 0.9894771442328529, 0.5338332803790703, 0.12171639307141895, 0.1317052880477831, 0.9714942511281609, 0.9894771442328529, 0.12171639307141895, 0.7955694135044655, 0.9192211028825145, 0.12171639307141895, 0.9093265928273785, 0.018025453687797836, 0.5338332803790703, 0.5482553578703533, 0.9192211028825145, 0.9894771442328529]",5,train,3
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9968803701183009, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9256782014187785, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9968803701183009, 0.9769194004970206, 0.9894771442328529, 0.9894771442328529, 0.9256782014187785, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9093265928273785, 0.9894771442328529, 0.9894771442328529, 0.9968803701183009, 0.9894771442328529, 0.9894771442328529, 0.973325654340299, 0.9256782014187785, 0.9894771442328529, 0.9968803701183009, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9256782014187785, 0.9894771442328529, 0.9256782014187785, 0.9894771442328529, 0.9894771442328529, 0.9968803701183009, 0.9192211028825145]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9968803701183009, 0.9894771442328529, 0.9968803701183009, 0.9894771442328529, 0.9968803701183009, 0.9968803701183009, 0.9192211028825145, 0.9894771442328529, 0.9894771442328529, 0.9769194004970206, 0.9968803701183009, 0.9968803701183009, 0.9192211028825145, 0.9192211028825145, 0.9769194004970206, 0.9894771442328529, 0.9894771442328529, 0.9968803701183009, 0.9192211028825145, 0.9894771442328529, 0.9894771442328529, 0.9769194004970206, 0.9968803701183009, 0.6011613111720379, 0.9894771442328529, 0.9894771442328529, 0.9192211028825145, 0.9894771442328529, 0.9769194004970206, 0.9968803701183009, 0.9894771442328529, 0.9968803701183009, 0.9192211028825145, 0.9894771442328529, 0.9968803701183009, 0.9968803701183009, 0.9968803701183009, 0.9894771442328529, 0.9894771442328529, 0.9192211028825145, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9968803701183009, 0.9894771442328529, 0.9894771442328529, 0.9968803701183009, 0.9192211028825145, 0.6011613111720379]",7,train,9
0.22,8,3,39,0,50,20,0,1,0,0,0,1,20,1,0,0,0,1,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.1317052880477831, 0.9148017966423788, 0.5705108059617421, 0.9148017966423788, 0.9148017966423788, 0.5338332803790703, 0.5338332803790703, 0.9148017966423788, 0.5871564034808066, 0.5338332803790703, 0.5871564034808066, 0.5338332803790703, 0.9148017966423788, 0.5871564034808066, 0.1317052880477831, 0.9093265928273785, 0.5705108059617421, 0.9148017966423788, 0.9148017966423788, 0.9148017966423788, 0.9894771442328529, 0.5871564034808066, 0.9894771442328529, 0.1317052880477831, 0.9894771442328529, 0.9148017966423788, 0.5338332803790703, 0.5871564034808066, 0.5705108059617421, 0.9894771442328529, 0.9148017966423788, 0.9256782014187785, 0.5338332803790703, 0.5871564034808066, 0.5338332803790703, 0.5338332803790703, 0.9894771442328529, 0.9148017966423788, 0.9894771442328529, 0.9148017966423788, 0.9894771442328529, 0.9148017966423788, 0.9148017966423788, 0.5871564034808066, 0.5871564034808066, 0.9256782014187785, 0.9093265928273785, 0.9256782014187785, 0.9256782014187785, 0.9894771442328529]",8,train,1
0.9,45,0,5,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.76626092, 0.87220854, 0.81476033, 0.80108267, 0.462455  ]), array([0.74401051, 0.55475068, 0.63660175, 0.68937027, 0.79429603]), array([0.24900165, 0.43284681, 0.35365528, 0.30213109, 0.19715901]), array([0.2441863 , 0.1352801 , 0.19426262, 0.20871751, 0.54823583]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.5338332803790703, 0.9894771442328529, 0.9256782014187785, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9093265928273785, 0.9894771442328529, 0.9093265928273785, 0.9894771442328529, 0.9894771442328529, 0.9148017966423788, 0.5338332803790703, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9093265928273785, 0.9148017966423788, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.5338332803790703, 0.9256782014187785, 0.9256782014187785, 0.9894771442328529, 0.9256782014187785, 0.9894771442328529, 0.9256782014187785, 0.5338332803790703, 0.9256782014187785, 0.9256782014187785, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9256782014187785, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9894771442328529, 0.9093265928273785, 0.9256782014187785, 0.9256782014187785]",9,train,9
