sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.14,0,7,43,0,50,0,0,0,0,0,1,0,0,1,0,0,0,1,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.9210427436572824, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.11294536570432907, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.11252022592316008, 0.5373200008261734, 0.5373200008261734, 0.5612013944875441, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.9210427436572824, 0.11294536570432907, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.9210427436572824, 0.5612013944875441, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.9210427436572824, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.11294536570432907, 0.11294536570432907, 0.7785162174336374, 0.5373200008261734, 0.5373200008261734, 0.11294536570432907, 0.5373200008261734, 0.5373200008261734, 0.9210427436572824, 0.5373200008261734, 0.9210427436572824, 0.9210427436572824, 0.5373200008261734, 0.5373200008261734, 0.5373200008261734, 0.11294536570432907]",0,train,0
1.0,50,0,0,0,50,21,1,1,1,0,0,0,21,1,1,1,0,0,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.9917932379131854, 0.9210427436572824, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854]",1,train,9
1.0,50,0,0,0,50,33,1,1,1,0,0,0,33,1,1,1,0,0,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9295465909558297, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854]",2,train,9
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.8140686360928762, 0.9917932379131854, 0.929824439313282, 0.9756715126107093, 0.9917932379131854, 0.7990208642722921, 0.9917932379131854, 0.9917932379131854, 0.9755704188131593, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9972735874876764, 0.9972735874876764, 0.7990208642722921, 0.9755704188131593, 0.9755704188131593, 0.9917932379131854, 0.8140686360928762, 0.9755704188131593, 0.9755704188131593, 0.9917932379131854, 0.9917932379131854, 0.923261895359568, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9755704188131593, 0.9755704188131593, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9972735874876764, 0.8140686360928762, 0.9917932379131854, 0.7990208642722921, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9755704188131593, 0.9756715126107093, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854]",3,train,9
0.7,35,0,15,0,50,1,0,1,0,0,0,1,1,1,0,0,0,1,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.591261979893661, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9210427436572824, 0.5612013944875441, 0.9917932379131854, 0.9210427436572824, 0.9210427436572824, 0.9295465909558297, 0.9917932379131854, 0.9917932379131854, 0.9295465909558297, 0.9210427436572824, 0.5601544496278718, 0.9755704188131593, 0.9917932379131854, 0.9295465909558297, 0.7940104534981541, 0.929824439313282, 0.9295465909558297, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9755704188131593, 0.9755704188131593, 0.9210427436572824, 0.9917932379131854, 0.9917932379131854, 0.9755704188131593, 0.7940104534981541, 0.929824439313282, 0.9917932379131854, 0.7940104534981541, 0.929824439313282, 0.923261895359568, 0.9917932379131854, 0.9295465909558297, 0.9917932379131854, 0.9295465909558297, 0.9295465909558297, 0.9917932379131854, 0.7940104534981541, 0.9917932379131854, 0.5601544496278718, 0.9295465909558297, 0.9917932379131854, 0.591261979893661, 0.9917932379131854, 0.9917932379131854]",4,train,6
0.88,44,0,6,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.9917932379131854, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9210427436572824, 0.9917932379131854, 0.591261979893661, 0.7940104534981541, 0.9917932379131854, 0.9755704188131593, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.7940104534981541, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9210427436572824, 0.9972735874876764, 0.9917932379131854, 0.9210427436572824, 0.9917932379131854, 0.9756715126107093, 0.9917932379131854, 0.929824439313282, 0.9755704188131593, 0.9210427436572824, 0.9756715126107093, 0.9756715126107093, 0.9917932379131854, 0.9917932379131854, 0.5612013944875441, 0.9917932379131854, 0.9972735874876764, 0.9917932379131854, 0.9972735874876764, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.7940104534981541, 0.9756715126107093, 0.9917932379131854, 0.9917932379131854, 0.9755704188131593, 0.9917932379131854, 0.9755704188131593, 0.9972735874876764, 0.9917932379131854, 0.8140686360928762, 0.9972735874876764]",5,train,8
1.0,50,0,0,0,50,6,1,1,1,0,0,0,6,1,1,1,0,0,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.9917932379131854, 0.9917932379131854, 0.9756715126107093, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9972735874876764, 0.9972735874876764, 0.929824439313282, 0.9756715126107093, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9972735874876764, 0.9917932379131854, 0.9972735874876764, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9755704188131593, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9972735874876764, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9755704188131593, 0.9972735874876764, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9972735874876764, 0.9917932379131854, 0.9755704188131593, 0.929824439313282, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854]",6,train,9
0.86,42,1,7,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.9972735874876764, 0.9917932379131854, 0.9756715126107093, 0.9972735874876764, 0.9210427436572824, 0.9917932379131854, 0.9210427436572824, 0.9972735874876764, 0.9917932379131854, 0.2970700420175222, 0.9917932379131854, 0.9917932379131854, 0.9917932379131854, 0.929824439313282, 0.9917932379131854, 0.9295465909558297, 0.9972735874876764, 0.9917932379131854, 0.9210427436572824, 0.9917932379131854, 0.9210427436572824, 0.9972735874876764, 0.9755704188131593, 0.9210427436572824, 0.9210427436572824, 0.9917932379131854, 0.9972735874876764, 0.9917932379131854, 0.9917932379131854, 0.9972735874876764, 0.5601544496278718, 0.9295465909558297, 0.9972735874876764, 0.5687993077102594, 0.9917932379131854, 0.9972735874876764, 0.7940104534981541, 0.9972735874876764, 0.972457124777518, 0.9210427436572824, 0.9917932379131854, 0.9917932379131854, 0.9756715126107093, 0.9210427436572824, 0.9295465909558297, 0.9972735874876764, 0.972457124777518, 0.9917932379131854, 0.9756715126107093, 0.9755704188131593]",7,train,8
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.9917932379131854, 0.9972735874876764, 0.9972735874876764, 0.9756715126107093, 0.9972735874876764, 0.9917932379131854, 0.9756715126107093, 0.9917932379131854, 0.9756715126107093, 0.9972735874876764, 0.9972735874876764, 0.929824439313282, 0.9972735874876764, 0.9917932379131854, 0.9972735874876764, 0.9917932379131854, 0.9972735874876764, 0.9756715126107093, 0.9972735874876764, 0.9756715126107093, 0.9972735874876764, 0.9972735874876764, 0.9917932379131854, 0.929824439313282, 0.9756715126107093, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9917932379131854, 0.9972735874876764, 0.9917932379131854, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9756715126107093, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9756715126107093]",8,train,9
0.84,41,1,7,1,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.83035356, 0.8399756 , 0.84149742, 0.45460314, 0.88234985]), array([0.68762356, 0.64379179, 0.64237106, 0.78140366, 0.5863176 ]), array([0.30292165, 0.34554204, 0.34695402, 0.20978576, 0.40103719]), array([0.18193738, 0.17158405, 0.17009309, 0.55944633, 0.12842619]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)', 'QwenPRM_max_scores (7.63B)']","[0.9755704188131593, 0.7940104534981541, 0.9972735874876764, 0.9755704188131593, 0.9755704188131593, 0.9755704188131593, 0.9972735874876764, 0.5373200008261734, 0.9972735874876764, 0.9972735874876764, 0.9755704188131593, 0.9972735874876764, 0.9756715126107093, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9972735874876764, 0.9755704188131593, 0.9755704188131593, 0.2773248117946153, 0.973273169681666, 0.5601544496278718, 0.9755704188131593, 0.9972735874876764, 0.5373200008261734, 0.9210427436572824, 0.9972735874876764, 0.9972735874876764, 0.5601544496278718, 0.7940104534981541, 0.9972735874876764, 0.7940104534981541, 0.9972735874876764, 0.9972735874876764, 0.040375032756551014, 0.5601544496278718, 0.9972735874876764, 0.9756715126107093, 0.9756715126107093, 0.9755704188131593, 0.9756715126107093, 0.9755704188131593, 0.9755704188131593, 0.9755704188131593, 0.9972735874876764, 0.9917932379131854, 0.9756715126107093, 0.9755704188131593, 0.9972735874876764, 0.8140686360928762]",9,train,8
