sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.74,27,10,11,2,50,8,1,1,1,0,0,0,2,0,1,0,1,0,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.9822556010606946, 0.9810445631443042, 0.0012234245114829906, 0.9940387524307935, 0.9822556010606946, 0.5984882110795595, 0.1299912056870513, 0.9831935845131444, 0.9980923777405286, 0.9980923777405286, 0.3797469487005387, 0.9810445631443042, 0.8096726973599694, 0.9822556010606946, 0.9940387524307935, 0.9243937133256193, 0.1299912056870513, 0.5984882110795595, 0.9822556010606946, 0.1299912056870513, 0.9980923777405286, 0.8455765865095691, 0.1299912056870513, 0.9345409849136936, 0.1299912056870513, 0.3797469487005387, 0.9822556010606946, 0.9822556010606946, 0.8455765865095691, 0.9980923777405286, 0.9980923777405286, 0.5984882110795595, 0.9831935845131444, 0.9822556010606946, 0.1299912056870513, 0.9980923777405286, 0.9810445631443042, 0.9822556010606946, 0.9810445631443042, 0.8455765865095691, 0.8259437849783255, 0.1299912056870513, 0.9980923777405286, 0.933725453811944, 0.7803349657429673, 0.8455765865095691, 0.6275424364415401, 0.5854458506455386, 0.1299912056870513, 0.24976958348551287]",0,train,5
1.0,45,5,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.997674640301424, 0.9970565877384904, 0.9930278683147211, 0.8023241092939313, 0.997674640301424, 0.9970565877384904, 0.9914208583092512, 0.9990209543352045, 0.9970565877384904, 0.9930278683147211, 0.016431623258342673, 0.997674640301424, 0.9997332957075671, 0.9990209543352045, 0.9997332957075671, 0.1299912056870513, 0.9997332957075671, 0.9908221868738977, 0.8278410671046151, 0.9930278683147211, 0.997674640301424, 0.978444770015108, 0.9914208583092512, 0.09970801088541818, 0.9205321068522859, 0.978444770015108, 0.9993659211871107, 0.9345409849136936, 0.9980923777405286, 0.9930278683147211, 0.978444770015108, 0.016431623258342673, 0.9970565877384904, 0.9990209543352045, 0.997674640301424, 0.9745953588883967, 0.9993659211871107, 0.9924616265985703, 0.949095277690502, 0.9914208583092512, 0.997674640301424, 0.9691909957861409, 0.26218625844639887, 0.9822556010606946, 0.6148364734687632, 0.937767874822764, 0.9745953588883967, 0.9993659211871107, 0.9976197350677022, 0.937767874822764]",1,train,9
1.0,50,0,0,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9742766227596722, 0.9990209543352045, 0.9970565877384904, 0.9795800093287615, 0.9970565877384904, 0.9990209543352045, 0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9742766227596722, 0.9970565877384904, 0.9795800093287615, 0.9970565877384904, 0.9990209543352045, 0.9970565877384904, 0.9970565877384904, 0.9913113392103288, 0.9990209543352045, 0.9990209543352045, 0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9990209543352045, 0.9742766227596722, 0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9990209543352045, 0.9795800093287615, 0.9990209543352045, 0.9913113392103288, 0.9908221868738977, 0.8002869013525206, 0.997674640301424, 0.9970565877384904, 0.9990209543352045, 0.9990209543352045, 0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9970565877384904, 0.9742766227596722, 0.9970565877384904]",2,train,9
1.0,50,0,0,0,50,37,1,1,1,0,0,0,37,1,1,1,0,0,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.9913113392103288, 0.9943574469074512, 0.9281666430229415, 0.9990209543352045, 0.9980923777405286, 0.9928640305817352, 0.9728547146157224, 0.9914208583092512, 0.9745953588883967, 0.9913113392103288, 0.9990209543352045, 0.9745953588883967, 0.9993659211871107, 0.9980923777405286, 0.9990209543352045, 0.9913113392103288, 0.9976197350677022, 0.9691909957861409, 0.9822556010606946, 0.9990209543352045, 0.9990209543352045, 0.9990209543352045, 0.9234945714944529, 0.5643058502147178, 0.9976197350677022, 0.9940387524307935, 0.9970565877384904, 0.9745953588883967, 0.9908221868738977, 0.9970565877384904, 0.9914208583092512, 0.9976197350677022, 0.9914208583092512, 0.9970565877384904, 0.9990209543352045, 0.5643058502147178, 0.9908221868738977, 0.9997332957075671, 0.9908221868738977, 0.9914208583092512, 0.9943574469074512, 0.9914208583092512, 0.9976197350677022, 0.9990209543352045, 0.9913113392103288, 0.9990209543352045, 0.9908221868738977, 0.9914208583092512, 0.9745953588883967, 0.9914208583092512]",3,train,9
0.46,10,13,26,1,50,24,0,1,0,0,0,1,24,1,0,0,0,1,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.8526557463641073, 0.3797469487005387, 0.7685896904730173, 0.8455765865095691, 0.7685896904730173, 0.9810445631443042, 0.26002440511258673, 0.3797469487005387, 0.8455765865095691, 0.7685896904730173, 0.9822556010606946, 0.26002440511258673, 0.9810445631443042, 0.7803349657429673, 0.9810445631443042, 0.3797469487005387, 0.9810445631443042, 0.7685896904730173, 0.3797469487005387, 0.9428396225269223, 0.9710786129382564, 0.8526557463641073, 0.9810445631443042, 0.3797469487005387, 0.9980923777405286, 0.7803349657429673, 0.7685896904730173, 0.9810445631443042, 0.8383931536676085, 0.2842812012637192, 0.8526557463641073, 0.9980923777405286, 0.8526557463641073, 0.037804677609257195, 0.9940387524307935, 0.8455765865095691, 0.9810445631443042, 0.3797469487005387, 0.037804677609257195, 0.9810445631443042, 0.26002440511258673, 0.037804677609257195, 0.037804677609257195, 0.9936266851637304, 0.7685896904730173, 0.8383931536676085, 0.9822556010606946, 0.8383931536676085, 0.8526557463641073, 0.9980923777405286]",4,train,2
0.98,49,0,0,1,50,48,1,1,1,0,0,0,48,1,1,1,0,0,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.9970565877384904, 0.9930278683147211, 0.9930278683147211, 0.9930278683147211, 0.997674640301424, 0.9930278683147211, 0.9930278683147211, 0.940916060664674, 0.9649530306593854, 0.9649530306593854, 0.9930278683147211, 0.9930278683147211, 0.9930278683147211, 0.9970565877384904, 0.9742766227596722, 0.9930278683147211, 0.937767874822764, 0.940916060664674, 0.9930278683147211, 0.9930278683147211, 0.9930278683147211, 0.937767874822764, 0.9930278683147211, 0.997674640301424, 0.9930278683147211, 0.9013820161589952, 0.9930278683147211, 0.9930278683147211, 0.9970565877384904, 0.9930278683147211, 0.9930278683147211, 0.9970565877384904, 0.940916060664674, 0.9930278683147211, 0.9970565877384904, 0.9930278683147211, 0.9930278683147211, 0.9930278683147211, 0.9930278683147211, 0.9930278683147211, 0.4916180130258674, 0.9930278683147211, 0.9930278683147211, 0.940916060664674, 0.997674640301424, 0.940916060664674, 0.9930278683147211, 0.9930278683147211, 0.9990209543352045, 0.9745953588883967]",5,train,9
0.78,34,5,10,1,50,22,1,1,1,0,0,0,22,1,1,1,0,0,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.940916060664674, 0.9930278683147211, 0.9772759677499785, 0.791516136098082, 0.1299912056870513, 0.016431623258342673, 0.9345409849136936, 0.9930278683147211, 0.9710210042139901, 0.759227370092281, 0.9345409849136936, 0.971391661990653, 0.9126109712343967, 0.9930278683147211, 0.010836556616159492, 0.7936197395585977, 0.9930278683147211, 0.5114313806206688, 0.9810445631443042, 0.9795800093287615, 0.937767874822764, 0.9930278683147211, 0.997674640301424, 0.6148364734687632, 0.847299428606451, 0.9812894843315587, 0.933725453811944, 0.997674640301424, 0.9970565877384904, 0.9937100764129557, 0.9914208583092512, 0.13636998047041035, 0.6016691214938852, 0.9810445631443042, 0.940916060664674, 0.47813122820668563, 0.6016691214938852, 0.5114313806206688, 0.997674640301424, 0.6016691214938852, 0.5114313806206688, 0.9970565877384904, 0.9745953588883967, 0.971391661990653, 0.1299912056870513, 0.9126109712343967, 0.9345409849136936, 0.5386718674703058, 0.9970565877384904, 0.997674640301424]",6,train,6
0.86,42,1,0,7,50,11,1,1,1,0,0,0,11,1,1,1,0,0,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.9930278683147211, 0.7085047144264038, 0.9930278683147211, 0.9930278683147211, 0.4585486752603242, 0.9980923777405286, 0.9980923777405286, 0.6854363799404495, 0.9560213431582556, 0.9980923777405286, 0.3103846254511487, 0.9993659211871107, 0.9013820161589952, 0.9930278683147211, 0.9970565877384904, 0.9930278683147211, 0.9930278683147211, 0.940916060664674, 0.9980923777405286, 0.8941660110251664, 0.937767874822764, 0.9710786129382564, 0.9710786129382564, 0.07202278049037852, 0.9980923777405286, 0.9990209543352045, 0.4916180130258674, 0.9205321068522859, 0.7803349657429673, 0.9831935845131444, 0.9930278683147211, 0.9560213431582556, 0.9980923777405286, 0.9822556010606946, 0.9710786129382564, 0.9980923777405286, 0.4916180130258674, 0.9013820161589952, 0.9980923777405286, 0.9980923777405286, 0.9710786129382564, 0.025444427965051263, 0.9980923777405286, 0.9902098569562542, 0.2625828684505776, 0.9013820161589952, 0.037804677609257195, 0.9710786129382564, 0.9980923777405286, 0.9795800093287615]",7,train,9
0.96,47,1,1,1,50,24,1,1,1,0,0,0,24,1,1,1,0,0,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.997674640301424, 0.9930278683147211, 0.9745953588883967, 0.10582924448046774, 0.9560213431582556, 0.9970565877384904, 0.9970565877384904, 0.9930278683147211, 0.9970565877384904, 0.997674640301424, 0.997674640301424, 0.9930278683147211, 0.9795800093287615, 0.9970565877384904, 0.997674640301424, 0.7705766886758858, 0.9970565877384904, 0.7111402309989161, 0.9710210042139901, 0.9980923777405286, 0.9914208583092512, 0.9970565877384904, 0.08309707518486706, 0.9990209543352045, 0.9993659211871107, 0.9991970288914069, 0.9930278683147211, 0.9990209543352045, 0.9831935845131444, 0.997674640301424, 0.9742766227596722, 0.9560213431582556, 0.9435497810760383, 0.971391661990653, 0.9795800093287615, 0.9691909957861409, 0.9930278683147211, 0.9742766227596722, 0.9126109712343967, 0.9970565877384904, 0.9990209543352045, 0.6854363799404495, 0.9970565877384904, 0.9742766227596722, 0.997674640301424, 0.9970565877384904, 0.997674640301424, 0.940916060664674, 0.9710786129382564, 0.9990209543352045]",8,train,9
0.56,0,28,22,0,50,3,0,0,0,0,1,0,11,0,1,0,1,0,0,"(array([0.40948293, 0.87502772, 0.5107801 , 0.93811107, 0.94644076,
       0.34020078, 0.84712946, 0.86098975, 0.8661716 ]), array([0.81130165, 0.58171868, 0.77935565, 0.51731551, 0.51941472,
       0.81928593, 0.64654362, 0.63520849, 0.6288622 ]), array([0.18224075, 0.4090021 , 0.21472082, 0.47158131, 0.46942446,
       0.17399983, 0.34550157, 0.35648483, 0.36268082]), array([0.60515934, 0.13915373, 0.5046764 , 0.07545467, 0.06720459,
       0.67351788, 0.16771907, 0.15378226, 0.14856327]))","['EurusPRMStage2_max_scores (7.62B)', 'GPM (8B)', 'LDLReward (27.2B)', 'URM (8B)', 'QwenPRM_max_scores (7.63B)', 'InternLM2 (7B)', 'SkyT1 (32B)', 'Qwen72B_scores (72B)', 'DeepSeekLlama (70B)']","[0.7896609883381821, 0.7685896904730173, 0.937767874822764, 0.9993659211871107, 0.9810445631443042, 0.47813122820668563, 0.7709387715368481, 0.9936266851637304, 0.010721970550729525, 0.3342426098589653, 0.004479623198342491, 0.0002886840923934842, 0.9993659211871107, 0.14285548835230272, 0.00392290941232244, 0.5984882110795595, 0.034024810667455996, 0.791440333274225, 0.04079598790922241, 0.47482489473155154, 0.08730514083633627, 0.3543697813489573, 0.0025759799913433598, 0.09757414312040322, 0.791440333274225, 0.937767874822764, 0.034024810667455996, 0.08730514083633627, 0.997674640301424, 0.9745953588883967, 0.0010709457479115543, 0.4916180130258674, 0.9013820161589952, 0.034024810667455996, 0.26002440511258673, 0.034024810667455996, 0.009497359574565174, 0.034024810667455996, 0.09757414312040322, 0.5984882110795595, 0.791440333274225, 0.9980923777405286, 0.0025759799913433598, 0.5081189800535965, 0.034024810667455996, 0.8455765865095691, 0.03550414831945332, 0.19583486353816706, 0.9810445631443042, 0.5854458506455386]",9,train,0
