sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,0,50,0,0,50,29,0,0,0,0,1,0,4,0,1,0,1,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.0022266763482888556, 0.022227674050201016, 0.12798843974565663, 0.022227674050201016, 0.02439930741354893, 0.022227674050201016, 0.022227674050201016, 0.0022266763482888556, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.0022266763482888556, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.030355427266178008, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.24179254238421075, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.014203800734359635, 0.0022266763482888556, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.0022266763482888556, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.022227674050201016, 0.0022266763482888556]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999429129758204, 0.9996915080443094, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.9997852237214272, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.999978911806892, 0.9999429129758204, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9997852237214272, 0.9932658519093966, 0.999978911806892, 0.999978911806892, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.999978911806892, 0.9999429129758204, 0.9999429129758204, 0.999978911806892, 0.999978911806892, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9994187796993598, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.9999251496468035, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204]",1,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9986933345519781, 0.9999429129758204, 0.8100290874534483, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9999429129758204, 0.9994187796993598, 0.9999429129758204, 0.9986933345519781, 0.9999429129758204, 0.9999429129758204]",2,train,9
0.98,49,0,0,1,50,43,1,1,1,0,0,0,43,1,1,1,0,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.8544805125381927, 0.9996315365866899, 0.9994187796993598, 0.9979399606493704, 0.9997973941259769, 0.836967147065632, 0.9999429129758204, 0.8235218427367041, 0.8100290874534483, 0.9997973941259769, 0.9868473487274025, 0.9996315365866899, 0.8238248968955046, 0.9986933345519781, 0.836967147065632, 0.9328761241506359, 0.8100290874534483, 0.9948558555638036, 0.5312147025617134, 0.8097077835408133, 0.836967147065632, 0.9997973941259769, 0.9999429129758204, 0.9999429129758204, 0.9986933345519781, 0.9976444376099273, 0.9998638612921942, 0.2679146342905397, 0.836967147065632, 0.9995169314747302, 0.9999251496468035, 0.9993352594026242, 0.9819767937706281, 0.9999429129758204, 0.9430649621761447, 0.9979399606493704, 0.9995169314747302, 0.5770452038580544, 0.9957236618089258, 0.836967147065632, 0.9849844779281272, 0.9999429129758204, 0.9971594044061822, 0.999978911806892, 0.9999251496468035, 0.836967147065632, 0.9994187796993598, 0.8238248968955046, 0.9999429129758204, 0.9997973941259769]",3,train,9
0.8,33,7,8,2,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.8544805125381927, 0.9997973941259769, 0.9989510153658768, 0.9919078639845489, 0.7882881612330708, 0.2676771837950759, 0.9679398344357307, 0.9666038309699315, 0.9991653029958599, 0.9202756890501733, 0.9971653087405675, 0.9991997731918475, 0.983556761675558, 0.9666038309699315, 0.001775941451607508, 0.8100290874534483, 0.9849844779281272, 0.2679146342905397, 0.2252800431417276, 0.9992380501350925, 0.983556761675558, 0.9849844779281272, 0.9999251496468035, 0.9718568960344586, 0.8100290874534483, 0.8100290874534483, 0.9970434622103043, 0.9999251496468035, 0.9999429129758204, 0.9202756890501733, 0.9171235025174488, 0.03162271215711756, 0.9971653087405675, 0.8034488937550297, 0.7473241647800347, 0.9971653087405675, 0.9819767937706281, 0.8100290874534483, 0.9999251496468035, 0.8100290874534483, 0.8100290874534483, 0.9999429129758204, 0.024349686350676133, 0.9991997731918475, 0.02439930741354893, 0.983556761675558, 0.24961459248948006, 0.3350918515876725, 0.9999429129758204, 0.9999251496468035]",4,train,6
0.84,39,3,3,5,50,32,1,1,1,0,0,0,32,1,1,1,0,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.8238248968955046, 0.9997973941259769, 0.9907358905810961, 0.9907358905810961, 0.24217528978933808, 0.9976444376099273, 0.3350918515876725, 0.004793222683000085, 0.9907358905810961, 0.2679146342905397, 0.9907358905810961, 0.9944003786411842, 0.9993352594026242, 0.004793222683000085, 0.9993352594026242, 0.9975032634522646, 0.9849844779281272, 0.022227674050201016, 0.9849844779281272, 0.9993352594026242, 0.9929775713117774, 0.9907358905810961, 0.9457494023695838, 0.9997543478191542, 0.7473241647800347, 0.836967147065632, 0.8176149672588928, 0.9130313844139537, 0.9765129800146068, 0.9993352594026242, 0.9907358905810961, 0.4177426494803891, 0.9999251496468035, 0.9944003786411842, 0.9907358905810961, 0.9907358905810961, 0.9993352594026242, 0.9267889244532898, 0.9849844779281272, 0.001775941451607508, 0.9457494023695838, 0.9849844779281272, 0.9849844779281272, 0.983556761675558, 0.9907358905810961, 0.836967147065632, 0.9944003786411842, 0.9678750179273378, 0.5770452038580544, 0.9993352594026242]",5,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.999978911806892, 0.9995169314747302, 0.9951008947036661, 0.9999429129758204, 0.999978911806892, 0.9999429129758204, 0.9995169314747302, 0.999978911806892, 0.9994187796993598, 0.935398180567984, 0.9995169314747302, 0.9989510153658768, 0.999978911806892, 0.9995169314747302, 0.999978911806892, 0.9995169314747302, 0.9995169314747302, 0.999978911806892, 0.999978911806892, 0.999978911806892, 0.999978911806892, 0.999978911806892, 0.999978911806892, 0.9938623728525569, 0.999978911806892, 0.999978911806892, 0.9997852237214272, 0.999978911806892, 0.9995169314747302, 0.999978911806892, 0.999978911806892, 0.999978911806892, 0.9938623728525569, 0.999978911806892, 0.9995169314747302, 0.999978911806892, 0.9999429129758204, 0.999978911806892, 0.9999429129758204, 0.9999429129758204, 0.9997852237214272, 0.999978911806892, 0.999978911806892, 0.9995169314747302, 0.999978911806892, 0.9938623728525569, 0.9997852237214272, 0.999978911806892, 0.999978911806892, 0.999978911806892]",6,train,9
0.84,39,3,5,3,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999251496468035, 0.9997973941259769, 0.9992380501350925, 0.9997973941259769, 0.9848667666398198, 0.999978911806892, 0.9873983656817746, 0.9678750179273378, 0.9999251496468035, 0.00047258281131923807, 0.9679398344357307, 0.9995169314747302, 0.6823098118377829, 0.9997852237214272, 0.9995169314747302, 0.8100290874534483, 0.9999251496468035, 0.9997973941259769, 0.28435450530136036, 0.9986933345519781, 0.998905841527748, 0.9986933345519781, 0.2679146342905397, 0.9873983656817746, 0.9970434622103043, 0.9678750179273378, 0.9999251496468035, 0.9997973941259769, 0.9999251496468035, 0.9999251496468035, 0.4409835848048352, 0.26750556663618963, 0.9991285819740527, 0.9969955057895636, 0.9999251496468035, 0.9999251496468035, 0.02439930741354893, 0.8532480675062929, 0.998905841527748, 0.6310130297420079, 0.9999251496468035, 0.9989510153658768, 0.9979399606493704, 0.960063687714366, 0.9974173081071851, 0.9997973941259769, 0.9970434622103043, 0.9986933345519781, 0.9992380501350925, 0.836967147065632]",7,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.999978911806892, 0.9999429129758204, 0.999978911806892, 0.9969955057895636, 0.999978911806892, 0.999978911806892, 0.9997852237214272, 0.9999429129758204, 0.9994187796993598, 0.999978911806892, 0.9999429129758204, 0.9997852237214272, 0.9999429129758204, 0.9997042541629075, 0.9999429129758204, 0.999978911806892, 0.9995169314747302, 0.9997852237214272, 0.9999429129758204, 0.9994187796993598, 0.999978911806892, 0.999978911806892, 0.9999429129758204, 0.9994187796993598, 0.9997852237214272, 0.9999429129758204, 0.999978911806892, 0.9999429129758204, 0.999978911806892, 0.999978911806892, 0.9999429129758204, 0.999978911806892, 0.999978911806892, 0.9999429129758204, 0.9999429129758204, 0.9995169314747302, 0.9994187796993598, 0.999978911806892, 0.999978911806892, 0.9999429129758204, 0.999978911806892, 0.999978911806892, 0.9999429129758204, 0.999978911806892, 0.9995169314747302, 0.999978911806892, 0.9999429129758204, 0.9991997731918475, 0.999978911806892, 0.9994187796993598]",8,train,9
0.86,35,8,0,7,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.77877843, 0.89959824, 0.83984548, 0.84461302, 0.45978358,
       0.39327297, 0.84932202, 0.83862436, 0.63997465]), array([0.77049661, 0.59909165, 0.66554093, 0.73487049, 0.80334806,
       0.80309421, 0.7199136 , 0.73503506, 0.7834205 ]), array([0.22298339, 0.39050215, 0.32626089, 0.25808477, 0.18933371,
       0.18955481, 0.27270547, 0.25803617, 0.20972693]), array([0.23095819, 0.1080097 , 0.16818143, 0.16435272, 0.54960597,
       0.61547744, 0.15949759, 0.17029282, 0.37026381]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.8100290874534483, 0.48711852903657815, 0.9999251496468035, 0.49714607171402125, 0.9938623728525569, 0.836967147065632, 0.9986933345519781, 0.022227674050201016, 0.9932658519093966, 0.9996315365866899, 0.9938623728525569, 0.9997973941259769, 0.9992380501350925, 0.9997973941259769, 0.9997973941259769, 0.9997973941259769, 0.9932658519093966, 0.9201224614506016, 0.2679146342905397, 0.02439930741354893, 0.9997973941259769, 0.25971760610231914, 0.45089634904176523, 0.9997973941259769, 0.12798843974565663, 0.022227674050201016, 0.999978911806892, 0.999978911806892, 0.001775941451607508, 0.02439930741354893, 0.9997973941259769, 0.02439930741354893, 0.9997973941259769, 0.9997973941259769, 0.0024491161705982585, 0.001775941451607508, 0.9999429129758204, 0.9994187796993598, 0.8424843405764598, 0.836967147065632, 0.9997852237214272, 0.983556761675558, 0.983556761675558, 0.2679146342905397, 0.9999251496468035, 0.9999251496468035, 0.9951008947036661, 0.836967147065632, 0.9999251496468035, 0.8544805125381927]",9,train,8
