sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.18,0,9,41,0,50,0,0,0,0,0,1,0,4,0,1,0,1,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.1714325093497298, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.17421983876733077, 0.6391330871915202, 0.6391330871915202, 0.1714325093497298, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.1714325093497298, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.1714325093497298, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.1714325093497298, 0.1714325093497298, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.1714325093497298, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.1714325093497298]",0,train,0
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9984018155125987, 0.9836913350564563, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987]",1,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.952576194896723, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987]",2,train,9
0.98,49,0,0,1,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.7011821827473873, 0.9984018155125987, 0.986482699575521, 0.9516875638906903, 0.9941045405572082, 0.6860380460554093, 0.9984018155125987, 0.9483030529975769, 0.952576194896723, 0.9941045405572082, 0.9516875638906903, 0.9984018155125987, 0.9483030529975769, 0.9941045405572082, 0.6860380460554093, 0.6860380460554093, 0.952576194896723, 0.9984018155125987, 0.7011821827473873, 0.952576194896723, 0.6860380460554093, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.9483030529975769, 0.9984018155125987, 0.6860380460554093, 0.6860380460554093, 0.9941045405572082, 0.9941045405572082, 0.9854986073255744, 0.9941045405572082, 0.9984018155125987, 0.9854986073255744, 0.9516875638906903, 0.9941045405572082, 0.20335582571481495, 0.9854986073255744, 0.6860380460554093, 0.9483030529975769, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.9941045405572082, 0.6860380460554093, 0.986482699575521, 0.9483030529975769, 0.9984018155125987, 0.9941045405572082]",3,train,9
0.78,35,4,11,0,50,11,1,1,1,0,0,0,11,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.7011821827473873, 0.9941045405572082, 0.9941045405572082, 0.986482699575521, 0.942132389594438, 0.6554032646680532, 0.9483030529975769, 0.6391330871915202, 0.9836913350564563, 0.952576194896723, 0.9941045405572082, 0.9984018155125987, 0.952576194896723, 0.6391330871915202, 0.17421983876733077, 0.952576194896723, 0.9483030529975769, 0.6860380460554093, 0.6597934408974472, 0.9516875638906903, 0.952576194896723, 0.9483030529975769, 0.9941045405572082, 0.9516875638906903, 0.952576194896723, 0.952576194896723, 0.942132389594438, 0.9941045405572082, 0.9984018155125987, 0.952576194896723, 0.6597934408974472, 0.6818232216818115, 0.9941045405572082, 0.6597934408974472, 0.6818232216818115, 0.9941045405572082, 0.9941045405572082, 0.952576194896723, 0.9941045405572082, 0.952576194896723, 0.952576194896723, 0.9984018155125987, 0.17421983876733077, 0.9984018155125987, 0.17421983876733077, 0.952576194896723, 0.9483030529975769, 0.20335582571481495, 0.9984018155125987, 0.9941045405572082]",4,train,6
0.8,39,1,5,5,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9483030529975769, 0.9941045405572082, 0.9854986073255744, 0.9854986073255744, 0.6391330871915202, 0.9483030529975769, 0.20335582571481495, 0.17421983876733077, 0.9854986073255744, 0.6860380460554093, 0.9854986073255744, 0.9483030529975769, 0.9854986073255744, 0.17421983876733077, 0.9854986073255744, 0.8881310193860101, 0.9483030529975769, 0.6391330871915202, 0.9483030529975769, 0.9854986073255744, 0.942132389594438, 0.9854986073255744, 0.6818232216818115, 0.9854986073255744, 0.6818232216818115, 0.6860380460554093, 0.6391330871915202, 0.8881310193860101, 0.6818232216818115, 0.9854986073255744, 0.9854986073255744, 0.43391857800026573, 0.9941045405572082, 0.9483030529975769, 0.9854986073255744, 0.9854986073255744, 0.9854986073255744, 0.9483030529975769, 0.9483030529975769, 0.17421983876733077, 0.6818232216818115, 0.9483030529975769, 0.9483030529975769, 0.952576194896723, 0.9854986073255744, 0.6860380460554093, 0.9483030529975769, 0.9483030529975769, 0.20335582571481495, 0.9854986073255744]",5,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9984018155125987, 0.9941045405572082, 0.9516875638906903, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.986482699575521, 0.9516875638906903, 0.9941045405572082, 0.9941045405572082, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.9941045405572082, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.952576194896723, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.952576194896723, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.952576194896723, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987]",6,train,9
0.88,42,2,6,0,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9941045405572082, 0.9941045405572082, 0.9516875638906903, 0.9941045405572082, 0.942132389594438, 0.9984018155125987, 0.6391330871915202, 0.9483030529975769, 0.9941045405572082, 0.024053605413876845, 0.9483030529975769, 0.9941045405572082, 0.9483030529975769, 0.986482699575521, 0.9941045405572082, 0.952576194896723, 0.9941045405572082, 0.9941045405572082, 0.6391330871915202, 0.9941045405572082, 0.942132389594438, 0.9941045405572082, 0.6860380460554093, 0.6391330871915202, 0.942132389594438, 0.9483030529975769, 0.9941045405572082, 0.9941045405572082, 0.9941045405572082, 0.9941045405572082, 0.6597934408974472, 0.6860380460554093, 0.9483030529975769, 0.986482699575521, 0.9941045405572082, 0.9941045405572082, 0.17421983876733077, 0.9483030529975769, 0.942132389594438, 0.942132389594438, 0.9941045405572082, 0.9941045405572082, 0.9516875638906903, 0.942132389594438, 0.952576194896723, 0.9941045405572082, 0.942132389594438, 0.9941045405572082, 0.9516875638906903, 0.6860380460554093]",7,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.986482699575521, 0.9984018155125987, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.986482699575521, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.9984018155125987, 0.986482699575521]",8,train,9
0.88,39,5,3,3,50,9,1,1,1,0,0,0,9,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.952576194896723, 0.17421983876733077, 0.9941045405572082, 0.6860380460554093, 0.952576194896723, 0.6860380460554093, 0.9941045405572082, 0.6391330871915202, 0.9941045405572082, 0.9984018155125987, 0.952576194896723, 0.9941045405572082, 0.9516875638906903, 0.9941045405572082, 0.9941045405572082, 0.9941045405572082, 0.9941045405572082, 0.952576194896723, 0.6860380460554093, 0.17421983876733077, 0.9941045405572082, 0.17421983876733077, 0.952576194896723, 0.9941045405572082, 0.6391330871915202, 0.6391330871915202, 0.9984018155125987, 0.9984018155125987, 0.17421983876733077, 0.17421983876733077, 0.9941045405572082, 0.17421983876733077, 0.9941045405572082, 0.9941045405572082, 0.024053605413876845, 0.17421983876733077, 0.9984018155125987, 0.986482699575521, 0.9516875638906903, 0.6860380460554093, 0.986482699575521, 0.952576194896723, 0.952576194896723, 0.6860380460554093, 0.9941045405572082, 0.9941045405572082, 0.9516875638906903, 0.6860380460554093, 0.9941045405572082, 0.7011821827473873]",9,train,8
0.78,36,3,7,4,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.6391330871915202, 0.6391330871915202, 0.9941045405572082, 0.9483030529975769, 0.9483030529975769, 0.17421983876733077, 0.6818232216818115, 0.6391330871915202, 0.8677524693204542, 0.6391330871915202, 0.9483030529975769, 0.8677524693204542, 0.6391330871915202, 0.6391330871915202, 0.9941045405572082, 0.1714325093497298, 0.6391330871915202, 0.9483030529975769, 0.1714325093497298, 0.6391330871915202, 0.9941045405572082, 0.1714325093497298, 0.6860380460554093, 0.9483030529975769, 0.9483030529975769, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.9483030529975769, 0.6818232216818115, 0.6391330871915202, 0.1714325093497298, 0.6860380460554093, 0.6391330871915202, 0.9516875638906903, 0.1714325093497298, 0.6818232216818115, 0.6391330871915202, 0.9483030529975769, 0.6391330871915202, 0.6391330871915202, 0.6391330871915202, 0.6818232216818115, 0.1714325093497298, 0.6860380460554093, 0.6391330871915202, 0.6391330871915202, 0.6860380460554093, 0.6391330871915202]",10,train,8
1.0,50,0,0,0,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.73913348, 0.84377253, 0.80176908, 0.79104108, 0.49205959]), array([0.76491326, 0.61046505, 0.68051976, 0.73373771, 0.78882176]), array([0.22783653, 0.37823045, 0.31046173, 0.25854155, 0.20249479]), array([0.26994765, 0.16222532, 0.20530665, 0.21675617, 0.51739079]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9941045405572082, 0.9941045405572082, 0.9941045405572082, 0.9854986073255744, 0.9516875638906903, 0.9941045405572082, 0.9941045405572082, 0.952576194896723, 0.9984018155125987, 0.9516875638906903, 0.9483030529975769, 0.9941045405572082, 0.9941045405572082, 0.9984018155125987, 0.9941045405572082, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.9941045405572082, 0.9516875638906903, 0.9941045405572082, 0.9941045405572082, 0.9941045405572082, 0.9941045405572082, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9941045405572082, 0.9941045405572082, 0.9984018155125987, 0.9941045405572082, 0.9516875638906903, 0.9984018155125987, 0.9984018155125987, 0.9516875638906903, 0.9516875638906903, 0.9941045405572082, 0.9984018155125987, 0.942132389594438, 0.9941045405572082, 0.9984018155125987, 0.9984018155125987, 0.9516875638906903, 0.9941045405572082, 0.9941045405572082]",11,train,9
