sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.98,0,49,1,0,50,29,0,0,0,0,1,0,8,0,1,0,1,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.008032727853505844, 0.07563288192784032, 0.33941460659215505, 0.07563288192784032, 0.006452004561343864, 0.07563288192784032, 0.07563288192784032, 0.008032727853505844, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.008032727853505844, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.09669270334524635, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.5195956845150029, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.048390475588597555, 0.008032727853505844, 0.20268962931818432, 0.07563288192784032, 0.07563288192784032, 0.008032727853505844, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.07563288192784032, 0.008032727853505844]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.999689366647737, 0.9984931527981643, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.9988515214556913, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.9998862183881112, 0.999689366647737, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.9988515214556913, 0.9895918751615143, 0.9998862183881112, 0.9998862183881112, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.9998862183881112, 0.999689366647737, 0.999689366647737, 0.9998862183881112, 0.9998862183881112, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.9968701605633107, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.9996064902309746, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737]",1,train,9
0.98,49,0,0,1,50,33,1,1,1,0,0,0,33,1,1,1,0,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999899999625935, 0.999689366647737, 0.9932949565972881, 0.999689366647737, 0.4707467609315202, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.999689366647737, 0.9968701605633107, 0.999689366647737, 0.9932949565972881, 0.999689366647737, 0.999689366647737]",2,train,9
0.94,47,0,0,3,50,43,1,1,1,0,0,0,43,1,1,1,0,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.7833330550178974, 0.9980525253676236, 0.9968701605633107, 0.9965163470214295, 0.9989262050216138, 0.7795915444465809, 0.999689366647737, 0.9348266810066586, 0.7342909236322929, 0.9989262050216138, 0.936148850153223, 0.9980525253676236, 0.771238896163666, 0.9978320818980956, 0.7795915444465809, 0.9061763462261383, 0.7342909236322929, 0.9748550412366017, 0.42753505406282777, 0.9733549226756264, 0.7795915444465809, 0.9989262050216138, 0.999689366647737, 0.999689366647737, 0.9932949565972881, 0.9890198481601741, 0.999285920330566, 0.2110923756615816, 0.7795915444465809, 0.9992049792079989, 0.9996064902309746, 0.9968010542469663, 0.9720822198653273, 0.999689366647737, 0.9802453839426327, 0.9892552386846742, 0.9992049792079989, 0.48871920667719415, 0.9802453839426327, 0.7795915444465809, 0.9780535925791539, 0.999689366647737, 0.9989262050216138, 0.9998862183881112, 0.9996064902309746, 0.7795915444465809, 0.9989904987400466, 0.771238896163666, 0.999689366647737, 0.9989262050216138]",3,train,9
0.76,31,7,8,4,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.5378142987165702, 0.9989262050216138, 0.9948231591657539, 0.9601511719970166, 0.45800877128232126, 0.07717890282743509, 0.872025100071102, 0.8716623064351595, 0.9958960727257328, 0.7083497191970839, 0.9859895288663864, 0.9959093221161635, 0.9216149531458022, 0.8716623064351595, 0.006452004561343864, 0.7342909236322929, 0.9348266810066586, 0.0792921654468214, 0.7336569283759717, 0.9960381059608814, 0.9216149531458022, 0.9348266810066586, 0.9996064902309746, 0.8744502140724465, 0.7342909236322929, 0.7342909236322929, 0.985944603477065, 0.9996064902309746, 0.999689366647737, 0.882987734180577, 0.8826518361839972, 0.09697667779376484, 0.9859895288663864, 0.7336569283759717, 0.8991374640213903, 0.9859895288663864, 0.9180788881310159, 0.4707467609315202, 0.9996064902309746, 0.4707467609315202, 0.4707467609315202, 0.999689366647737, 0.21055215345022654, 0.9959093221161635, 0.006452004561343864, 0.9216149531458022, 0.5204061336275496, 0.10125928984684568, 0.999689366647737, 0.9996064902309746]",4,train,6
0.8,38,2,4,6,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.5204061336275496, 0.9996541404460012, 0.9968010542469663, 0.9968010542469663, 0.07563288192784032, 0.9890198481601741, 0.10125928984684568, 0.052217259577654905, 0.9968010542469663, 0.2110923756615816, 0.9968010542469663, 0.975104078790201, 0.9968010542469663, 0.052217259577654905, 0.9968010542469663, 0.988264261680456, 0.9348266810066586, 0.07563288192784032, 0.9780535925791539, 0.9968010542469663, 0.9682564937351317, 0.9968010542469663, 0.9233346931043117, 0.9988261117303735, 0.8991374640213903, 0.7795915444465809, 0.5195956845150029, 0.9896711541548979, 0.9651532629244763, 0.9968010542469663, 0.9968010542469663, 0.6992847170395714, 0.9996064902309746, 0.9918494851028669, 0.9968010542469663, 0.9989681606669051, 0.9989681606669051, 0.7476653216007745, 0.9348266810066586, 0.019777367987473395, 0.9233346931043117, 0.9348266810066586, 0.9348266810066586, 0.9733549226756264, 0.9968010542469663, 0.7795915444465809, 0.9918494851028669, 0.9890198481601741, 0.48871920667719415, 0.9989681606669051]",5,train,8
1.0,50,0,0,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9998862183881112, 0.9975340199003747, 0.9920247035409558, 0.999689366647737, 0.9998862183881112, 0.999689366647737, 0.9992049792079989, 0.9999633758428343, 0.9968701605633107, 0.9039372317400841, 0.9992049792079989, 0.9948231591657539, 0.9998862183881112, 0.9992049792079989, 0.9998862183881112, 0.9992049792079989, 0.9992049792079989, 0.9998862183881112, 0.9998862183881112, 0.9998862183881112, 0.9998862183881112, 0.9998862183881112, 0.9998862183881112, 0.990074506214355, 0.9998862183881112, 0.9998862183881112, 0.9988515214556913, 0.9999633758428343, 0.9992049792079989, 0.9998862183881112, 0.9998862183881112, 0.9998862183881112, 0.990074506214355, 0.9999633758428343, 0.9992049792079989, 0.9998862183881112, 0.999689366647737, 0.9998862183881112, 0.999689366647737, 0.999689366647737, 0.9988515214556913, 0.9998862183881112, 0.9998862183881112, 0.9992049792079989, 0.9998862183881112, 0.990074506214355, 0.9988515214556913, 0.9998862183881112, 0.9998862183881112, 0.9998862183881112]",6,train,9
0.86,40,3,5,2,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9998733125853327, 0.9989262050216138, 0.9987214041058998, 0.9996541404460012, 0.9354436201361721, 0.9998862183881112, 0.9488392285670846, 0.9964394564657494, 0.9996064902309746, 0.005423045158326041, 0.872025100071102, 0.9975340199003747, 0.872025100071102, 0.9988515214556913, 0.9975340199003747, 0.4707467609315202, 0.9998733125853327, 0.9989262050216138, 0.5838565385510769, 0.9932949565972881, 0.9948064101233158, 0.9978320818980956, 0.2110923756615816, 0.9488392285670846, 0.985944603477065, 0.9890198481601741, 0.9998733125853327, 0.9989262050216138, 0.9996064902309746, 0.9998733125853327, 0.15479133397194425, 0.5323640984312943, 0.9986931193418653, 0.985028571082113, 0.9996064902309746, 0.9998733125853327, 0.019777367987473395, 0.9829961154064383, 0.9983225021109725, 0.8414361356871636, 0.9996064902309746, 0.9948231591657539, 0.9965163470214295, 0.8414361356871636, 0.9866369472172628, 0.9996541404460012, 0.9954326476796911, 0.9932949565972881, 0.9987214041058998, 0.7795915444465809]",7,train,8
1.0,50,0,0,0,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9998862183881112, 0.999899999625935, 0.9999633758428343, 0.9951319264584211, 0.9999633758428343, 0.9998862183881112, 0.9996300668022524, 0.999689366647737, 0.9989904987400466, 0.9999633758428343, 0.999899999625935, 0.9988515214556913, 0.999899999625935, 0.9984980302486901, 0.999899999625935, 0.9998862183881112, 0.9992049792079989, 0.9996300668022524, 0.999899999625935, 0.9989904987400466, 0.9999633758428343, 0.9999633758428343, 0.999689366647737, 0.9968701605633107, 0.9996300668022524, 0.999899999625935, 0.9999633758428343, 0.999899999625935, 0.9999633758428343, 0.9999633758428343, 0.999689366647737, 0.9999633758428343, 0.9998862183881112, 0.999899999625935, 0.999899999625935, 0.9992049792079989, 0.9989904987400466, 0.9999633758428343, 0.9999633758428343, 0.999899999625935, 0.9999633758428343, 0.9999633758428343, 0.999899999625935, 0.9999633758428343, 0.9992049792079989, 0.9999633758428343, 0.999899999625935, 0.9986797269310487, 0.9999633758428343, 0.9989904987400466]",8,train,9
0.9,37,8,0,5,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.76519006, 0.83972716, 0.89920706, 0.39364493, 0.83483589,
       0.45864537, 0.47226804, 0.83269358, 0.63839799]), array([0.76234263, 0.66331345, 0.595245  , 0.80461597, 0.72870827,
       0.80049956, 0.77448279, 0.73106807, 0.78016645]), array([0.23205082, 0.32931718, 0.39517319, 0.18886134, 0.26512876,
       0.19302635, 0.21943459, 0.26286608, 0.21382283]), array([0.24340025, 0.16739486, 0.10749979, 0.61417019, 0.17301962,
       0.549815  , 0.53648466, 0.17519271, 0.37092775]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'LDLReward (27.2B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.7342909236322929, 0.4213896993905846, 0.9998733125853327, 0.9061763462261383, 0.990074506214355, 0.7795915444465809, 0.9978320818980956, 0.07563288192784032, 0.9895918751615143, 0.9993723640771214, 0.990074506214355, 0.9996541404460012, 0.9987214041058998, 0.9996541404460012, 0.9996541404460012, 0.9996541404460012, 0.9895918751615143, 0.990074506214355, 0.2110923756615816, 0.019777367987473395, 0.9996541404460012, 0.07905544258173063, 0.882987734180577, 0.9996541404460012, 0.33941460659215505, 0.07563288192784032, 0.9999633758428343, 0.9999633758428343, 0.006452004561343864, 0.019777367987473395, 0.9996541404460012, 0.019777367987473395, 0.9996541404460012, 0.9996541404460012, 0.001992860804144682, 0.006452004561343864, 0.999899999625935, 0.9989904987400466, 0.7750812885052968, 0.7795915444465809, 0.9996300668022524, 0.9733549226756264, 0.9733549226756264, 0.2110923756615816, 0.9998733125853327, 0.9996064902309746, 0.9920247035409558, 0.7795915444465809, 0.9998733125853327, 0.7833330550178974]",9,train,8
