sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.96,0,48,2,0,50,0,0,0,0,0,1,0,8,0,1,0,1,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.7446515230957668, 0.007626223439284514, 0.00045797264475315864, 0.00045797264475315864, 0.011893404767674363, 0.00045797264475315864, 0.474577051026336, 0.11964056978720324, 1.2721195769675826e-05, 0.007626223439284514, 0.11964056978720324, 2.1580019902152744e-05, 0.00025683496415975247, 0.11964056978720324, 0.0002435967322282638, 1.4526974933842275e-05, 2.1580019902152744e-05, 0.007626223439284514, 0.00025683496415975247, 0.007626223439284514, 0.11964056978720324, 0.007626223439284514, 0.00045797264475315864, 0.007626223439284514, 0.007626223439284514, 0.1986973712246302, 0.11964056978720324, 0.00045797264475315864, 0.007626223439284514, 0.6976338876439541, 0.00045797264475315864, 0.14156139800068537, 0.0002435967322282638, 0.00045797264475315864, 0.07407275667205043, 4.0579323634291816e-05, 0.0012178748016507795, 0.11964056978720324, 0.007626223439284514, 0.0007171253561912645, 0.009736227829041159, 0.007626223439284514, 0.08463627231377972, 0.007626223439284514, 0.0002435967322282638, 0.11964056978720324, 0.0002435967322282638, 0.00045797264475315864, 0.007626223439284514, 2.1580019902152744e-05]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.999995545251097, 0.9999668365384123, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.9999786203101169, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.9999981063757196, 0.999995545251097, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.9999786203101169, 0.9955960407992854, 0.9999981063757196, 0.9999981063757196, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.9999981063757196, 0.999995545251097, 0.999995545251097, 0.9999981063757196, 0.9999981063757196, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.9999497056300808, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.99999377986489, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097]",1,train,9
0.98,49,0,0,1,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.9999212274039351, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.9999703992231015, 0.999995545251097, 0.9983714533115939, 0.999995545251097, 0.05365102611153409, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.999995545251097, 0.9999497056300808, 0.999995545251097, 0.9983714533115939, 0.999995545251097, 0.999995545251097]",2,train,9
0.8,40,0,0,10,50,43,1,1,1,0,0,0,43,1,1,1,0,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.7918914911753925, 0.9999703931945649, 0.9999497056300808, 0.9999379232840867, 0.9999853672250603, 0.17764170227713386, 0.9999212274039351, 0.998848075530395, 0.716758464143104, 0.9999853672250603, 0.9989031386842182, 0.9994766872900835, 0.20442021024420848, 0.9993874401310276, 0.17764170227713386, 0.3369475278044922, 0.1310966499101303, 0.9994975855085597, 0.9432778989051631, 0.12652145004002474, 0.7836946476720633, 0.9999853672250603, 0.999995545251097, 0.999995545251097, 0.9510697526531162, 0.999826511787893, 0.9999874145597014, 0.0007189708514859424, 0.17004047912076242, 0.9999844660604085, 0.99999377986489, 0.9999471780416651, 0.9897010092645468, 0.999995545251097, 0.993829607085173, 0.9970868269521711, 0.9997395220370163, 0.4301695952843692, 0.999649034656334, 0.17764170227713386, 0.9927842445615885, 0.999995545251097, 0.9999853672250603, 0.9999981063757196, 0.99999377986489, 0.8659837793260491, 0.99998110096619, 0.992696623220236, 0.999995545251097, 0.9999853672250603]",3,train,9
0.68,25,9,6,10,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.07855204188965502, 0.9999853672250603, 0.9998944076004251, 0.9991468084990397, 0.08351630361308525, 0.008006437614808088, 0.9970627304297677, 0.9969702475625097, 0.9983286028416013, 0.11767538803790578, 0.999751628838338, 0.999924374489468, 0.4904469986965229, 0.9969702475625097, 1.206534604374995e-05, 0.1310966499101303, 0.998848075530395, 0.0742353567145769, 0.0067696330828551825, 0.9999297755945239, 0.47722839080359036, 0.964903373524223, 0.99999377986489, 0.9972028958999427, 0.2120320265759701, 0.716758464143104, 0.9945306940248033, 0.99999377986489, 0.999995545251097, 0.2619580273309109, 0.915625027376865, 0.006639447658039111, 0.9956258926551587, 0.0067696330828551825, 0.9418057982170235, 0.999751628838338, 0.9716291064513122, 0.6413285149878746, 0.99999377986489, 0.05102611901462088, 0.05365102611153409, 0.999995545251097, 0.17141115273489727, 0.999924374489468, 1.206534604374995e-05, 0.9416689535843766, 0.7527882255218742, 0.10760385811632252, 0.999995545251097, 0.99999377986489]",4,train,6
0.84,40,2,4,4,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.7428062889062644, 0.9999945015883012, 0.9999471780416651, 0.9999471780416651, 0.148116734857571, 0.999826511787893, 0.1848324627242491, 0.04863772174050793, 0.9999471780416651, 0.8706457019372835, 0.9999471780416651, 0.9918448202946616, 0.9999471780416651, 0.003038853488763537, 0.9999471780416651, 0.9997465379924183, 0.9810242016937388, 0.00045797264475315864, 0.999566845326939, 0.9999471780416651, 0.999276485808431, 0.9999471780416651, 0.6184772788406696, 0.9996030656382936, 0.9980447091397375, 0.8720088186897232, 0.9802020690934652, 0.9997759408076384, 0.9992643887220003, 0.9999471780416651, 0.9999471780416651, 0.989662389178194, 0.99999377986489, 0.9998158292564119, 0.9999471780416651, 0.9999801511470715, 0.9999801511470715, 0.8775057316746152, 0.998848075530395, 0.021269625087374875, 0.997924539910856, 0.9810242016937388, 0.998848075530395, 0.7192202493721145, 0.9999471780416651, 0.8720088186897232, 0.9969199576279849, 0.999826511787893, 0.5867025819075515, 0.9999801511470715]",5,train,8
1.0,50,0,0,0,50,27,1,1,1,0,0,0,27,1,1,1,0,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.9999981063757196, 0.999307090525369, 0.9970669161238462, 0.999995545251097, 0.9999665139208824, 0.999995545251097, 0.9997253666488628, 0.999987417122392, 0.9999497056300808, 0.5310102867188594, 0.9999844660604085, 0.9982319044398066, 0.9999981063757196, 0.9997253666488628, 0.9999981063757196, 0.9997395220370163, 0.9999844660604085, 0.9999981063757196, 0.9999981063757196, 0.9999981063757196, 0.9999981063757196, 0.9999981063757196, 0.9999981063757196, 0.9947659570560885, 0.9999981063757196, 0.9999981063757196, 0.9999786203101169, 0.9999992884573746, 0.9997395220370163, 0.9999981063757196, 0.9999981063757196, 0.9999981063757196, 0.9996863939871204, 0.9999992884573746, 0.9999844660604085, 0.9999981063757196, 0.999995545251097, 0.9999981063757196, 0.999995545251097, 0.999995545251097, 0.9999786203101169, 0.9999981063757196, 0.9999981063757196, 0.9999844660604085, 0.9999981063757196, 0.9947659570560885, 0.9999786203101169, 0.9999981063757196, 0.9999981063757196, 0.9999981063757196]",6,train,9
0.84,39,3,5,3,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.9999976627342257, 0.9999853672250603, 0.99997361156074, 0.9999945015883012, 0.9618269853806228, 0.9999981063757196, 0.9730275188211085, 0.9999348036019717, 0.99999377986489, 0.004751505252144233, 0.9970627304297677, 0.999307090525369, 0.9149855873698145, 0.9999786203101169, 0.9785987485786675, 0.48740895222400404, 0.9999976627342257, 0.9999853672250603, 0.9785390675845993, 0.9999027543784783, 0.9998910731778917, 0.9892769886086173, 0.01256368223513285, 0.9730275188211085, 0.999743786868562, 0.9969408630026434, 0.9999586690516372, 0.9999853672250603, 0.99999377986489, 0.9999976627342257, 0.1580563779304687, 0.9772407279793077, 0.999972285352892, 0.9996371483738369, 0.99999377986489, 0.9999976627342257, 0.001011709451679512, 0.9995296803927092, 0.9999590672465056, 0.9146065901712143, 0.99999377986489, 0.9998944076004251, 0.9999379232840867, 0.9956678532839915, 0.9997045819875122, 0.9999945015883012, 0.9999037108294331, 0.9983714533115939, 0.99997361156074, 0.17764170227713386]",7,train,8
1.0,50,0,0,0,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.9999981063757196, 0.9999983260941305, 0.9999992884573746, 0.9998636252237957, 0.9999992884573746, 0.9999981063757196, 0.99999196633362, 0.999995545251097, 0.99998110096619, 0.9999992884573746, 0.9999983260941305, 0.9999786203101169, 0.9999983260941305, 0.9999678517990603, 0.9999983260941305, 0.9999981063757196, 0.9997395220370163, 0.99999196633362, 0.9999983260941305, 0.99998110096619, 0.9999992884573746, 0.9999992884573746, 0.999995545251097, 0.9991113324828435, 0.99999196633362, 0.9999983260941305, 0.9999992884573746, 0.9999983260941305, 0.9999992884573746, 0.9999992884573746, 0.999995545251097, 0.9999992884573746, 0.9999981063757196, 0.9999983260941305, 0.9999983260941305, 0.9997395220370163, 0.99998110096619, 0.9999992884573746, 0.9999992884573746, 0.9999983260941305, 0.9999992884573746, 0.999987417122392, 0.9999983260941305, 0.9999992884573746, 0.9997395220370163, 0.9999992884573746, 0.9999983260941305, 0.9999715818751834, 0.9999992884573746, 0.99998110096619]",8,train,9
0.84,34,8,0,8,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.78432131, 0.44083831, 0.85690284, 0.93724662, 0.35723013,
       0.86262006, 0.43726179, 0.86724043, 0.90227419, 0.90301406,
       0.96632862, 0.64219224, 0.92596918]), array([0.76675737, 0.76852822, 0.65905732, 0.59691381, 0.80465847,
       0.73593628, 0.80473089, 0.73468155, 0.66878641, 0.655002  ,
       0.56935352, 0.78557974, 0.649876  ]), array([0.22595285, 0.22418199, 0.33196446, 0.39189622, 0.18772611,
       0.25624403, 0.18755873, 0.25738999, 0.32172397, 0.33529049,
       0.41855976, 0.20689204, 0.33996171]), array([0.22445117, 0.56786489, 0.15067706, 0.07069068, 0.65088528,
       0.1459251 , 0.57114589, 0.14134075, 0.10606164, 0.10517684,
       0.04167661, 0.366887  , 0.08248892]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'DeepSeekQwen (32B)', 'SkyT1 (32B)', 'ArmorRM (8B)', 'EurusPRMStage1_min_scores (7.62B)', 'Skyworks (8B)', 'DeepSeekLlama (70B)']","[0.716758464143104, 0.028197636259584373, 0.9999976627342257, 0.02793354944141453, 0.9947659570560885, 0.17764170227713386, 0.9993874401310276, 0.007626223439284514, 0.9997363366074145, 0.9999888748424178, 0.8576708096735426, 0.9999945015883012, 0.99997361156074, 0.9999945015883012, 0.9999945015883012, 0.9999945015883012, 0.9997363366074145, 0.8576708096735426, 0.2863748979396984, 3.2108830121998056e-05, 0.9999945015883012, 1.2212932337146434e-05, 0.2619580273309109, 0.9999945015883012, 0.048593651491663004, 0.007626223439284514, 0.9999992884573746, 0.9999992884573746, 1.2721195769675826e-05, 0.02239991837318124, 0.9999945015883012, 3.2108830121998056e-05, 0.9999945015883012, 0.9999945015883012, 6.434047015952765e-05, 7.193644012916733e-07, 0.9999983260941305, 0.99998110096619, 0.8948613371081442, 0.7836946476720633, 0.99999196633362, 0.987773441212804, 0.987773441212804, 0.0007189708514859424, 0.9999976627342257, 0.99999377986489, 0.9970669161238462, 0.9913248024132839, 0.9999976627342257, 0.8773826345774408]",9,train,8
