sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,50,0,0,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[0.9998137847470971, 0.9993718827316402, 0.993674280852492, 0.9998357079927708, 0.9999816119407214, 0.9999663192818946, 0.9822271536248153, 0.999994641621245, 0.9999816119407214, 0.9999521194806761, 0.999031261650465, 0.999945729425959, 0.9998137847470971, 0.7343335317086319, 0.9999816119407214, 0.9999816119407214, 0.8451138694895107, 0.9999816119407214, 0.9998137847470971, 0.9999663192818946, 0.9999816119407214, 0.9999816119407214, 0.9995013145492316, 0.999994641621245, 0.9998357079927708, 0.993674280852492, 0.9822271536248153, 0.9999521194806761, 0.9999816119407214, 0.9999816119407214, 0.999945729425959, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9995013145492316, 0.9998137847470971, 0.9999816119407214, 0.9862437743810241, 0.9998357079927708, 0.9999816119407214, 0.999327020349824, 0.9998357079927708, 0.9993718827316402, 0.9999816119407214, 0.9999816119407214, 0.9999521194806761, 0.9999816119407214, 0.9999816119407214, 0.9999521194806761, 0.9999816119407214]",0,train,9
0.94,47,0,0,3,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[0.9998139768436167, 0.8003492789707514, 0.9999962307892455, 0.999451150235912, 0.9996402982257927, 0.999998660433867, 0.9999457854179502, 0.999945729425959, 0.9999962307892455, 0.9998139768436167, 0.01862170744912081, 0.9998139768436167, 0.6138982108137022, 0.9999663192818946, 0.9999457854179502, 0.9999962307892455, 0.9998999450078276, 0.0013803969752443355, 0.9999618242367534, 0.9999962307892455, 0.9999457854179502, 0.9898490344028567, 0.9999962307892455, 0.9993718827316402, 0.999998660433867, 0.9999457854179502, 0.999537859150173, 0.9844387045581146, 0.9999457854179502, 0.9999457854179502, 0.9993117151235856, 0.9822271536248153, 0.0565621630754843, 0.9999870653528262, 0.9999457854179502, 0.9998139768436167, 0.9989171520920492, 0.999451150235912, 0.999998660433867, 0.9999864321479763, 0.9962937599282051, 0.9989171520920492, 0.8818956805018648, 0.9636892353273151, 0.9998139768436167, 0.9999870653528262, 0.9999807316745136, 0.9910403193221388, 0.999451150235912, 0.9998139768436167]",1,train,9
1.0,50,0,0,0,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9998137847470971, 0.9999816119407214, 0.999994641621245, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.999994641621245, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9999816119407214, 0.999994641621245, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9998137847470971, 0.9998137847470971, 0.9999816119407214, 0.9998137847470971, 0.9999816119407214, 0.9998137847470971, 0.9998137847470971, 0.9999816119407214, 0.9999816119407214, 0.999945729425959, 0.9998137847470971, 0.9999816119407214, 0.9998137847470971, 0.9325056357888647, 0.9998137847470971, 0.9998137847470971, 0.9998137847470971, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214, 0.9999816119407214]",2,train,9
0.88,21,23,0,6,50,4,1,1,1,0,0,0,24,0,1,0,1,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[9.212983699832077e-06, 0.9999482621081529, 0.9991928552164313, 0.12232274201043256, 0.9999849229454848, 0.2606725576024735, 0.026466470574676687, 8.234209985489747e-05, 0.028304532634035342, 8.234209985489747e-05, 0.015321891580439673, 0.023446137649445562, 0.0017382755048878224, 1.2259496142033531e-05, 0.999234146285173, 0.8393013969356312, 1.1441745448802812e-05, 0.9999482621081529, 0.9890955340941768, 8.234209985489747e-05, 0.30934564927124003, 8.234209985489747e-05, 0.00032929539696039203, 0.000735329762835209, 1.5328813938914543e-07, 8.234209985489747e-05, 0.999234146285173, 8.234209985489747e-05, 8.130212919580448e-06, 0.0006069588501113431, 0.9977429492284675, 0.9851390645535162, 0.9991928552164313, 0.001535454073408041, 0.9999482621081529, 0.9999482621081529, 0.8995512952297186, 8.234209985489747e-05, 5.718732085940482e-05, 8.234209985489747e-05, 0.7825436141132177, 0.9992563035703511, 0.9994762115584573, 0.00032929539696039203, 0.9990347089976243, 0.014499623913219776, 0.21553585405531744, 0.6700517890799905, 0.999537859150173, 0.9868639784760322]",3,train,5
0.9,42,3,3,2,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999482621081529, 0.9822271536248153, 0.9999849229454848, 0.9999482621081529, 0.9822271536248153, 0.999031261650465, 0.9998652873263439, 0.9999663192818946, 0.99668340237148, 0.5208834841294857, 0.9415357970785861, 0.9822271536248153, 0.999994641621245, 0.9993718827316402, 0.9999482621081529, 0.46947867743051513, 0.9822271536248153, 0.9415357970785861, 0.46305359486426656, 0.43233615029567235, 0.9986372162026996, 0.9325056357888647, 0.9979009377363807, 0.9822271536248153, 0.9822271536248153, 0.9822271536248153, 0.9862437743810241, 0.99668340237148, 0.19287554687119293, 0.9822271536248153, 0.9822271536248153, 0.9991928552164313, 0.9999482621081529, 0.9974411431159866, 0.9673944593840401, 0.9415357970785861, 0.9993718827316402, 0.9822271536248153, 0.9993718827316402, 0.9999816119407214, 0.9994762115584573, 0.9822271536248153, 0.99668340237148, 0.9822271536248153, 0.9822271536248153, 0.9999482621081529, 0.9947393535699864, 0.06102421708302328, 0.9999482621081529, 0.9998137847470971]",4,train,8
0.92,17,29,4,0,50,26,1,1,1,0,0,0,43,0,1,0,1,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[0.010309974785396362, 0.02982980688581609, 0.49929352719911535, 5.341331602187295e-05, 0.001305324494417044, 0.0008470962250514558, 0.005249602857394761, 0.9999482621081529, 0.001535454073408041, 0.9999849229454848, 0.9998652873263439, 0.08285112202412646, 0.02982980688581609, 0.00032954475003033946, 0.06328078459777105, 0.999537859150173, 0.001535454073408041, 0.0010668601451393855, 0.218683180345853, 0.10672493065365525, 0.9999849229454848, 0.5723120711313405, 0.9237312910071341, 0.9992563035703511, 0.023446137649445562, 0.9998473105658109, 0.999994641621245, 0.03722710521747029, 0.9999849229454848, 0.9999482621081529, 0.0008470962250514558, 0.9999849229454848, 0.9799077262526767, 0.39399747494073023, 0.9999849229454848, 0.1691325502792308, 0.0012087727003243292, 0.29823152417431154, 0.37643395793210366, 0.9999849229454848, 1.1450412263501119e-05, 0.9237312910071341, 0.9325056357888647, 3.241333383099789e-06, 0.8193854486037287, 5.650654182335034e-06, 8.240446735712947e-05, 4.7847262617428e-05, 0.8009146604979307, 0.9999849229454848]",5,train,3
1.0,50,0,0,0,50,48,1,1,1,0,0,0,48,1,1,1,0,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[0.9998357079927708, 0.999537859150173, 0.999537859150173, 0.9999482621081529, 0.9999849229454848, 0.999537859150173, 0.999537859150173, 0.9994762115584573, 0.9999849229454848, 0.9999849229454848, 0.999537859150173, 0.999537859150173, 0.9999482621081529, 0.9999816119407214, 0.9998137847470971, 0.9999482621081529, 0.9914397212439344, 0.995338794056854, 0.999537859150173, 0.999537859150173, 0.999537859150173, 0.9990347089976243, 0.9999482621081529, 0.9999849229454848, 0.999537859150173, 0.8826341448737167, 0.9999482621081529, 0.999537859150173, 0.9998357079927708, 0.9999482621081529, 0.999537859150173, 0.9974411431159866, 0.9994762115584573, 0.9999482621081529, 0.9999816119407214, 0.999537859150173, 0.9999482621081529, 0.999537859150173, 0.9999482621081529, 0.9999482621081529, 0.9914397212439344, 0.9999482621081529, 0.9999482621081529, 0.9994762115584573, 0.9998652873263439, 0.9994762115584573, 0.9999482621081529, 0.9999482621081529, 0.999994641621245, 0.9415357970785861]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[0.999998660433867, 0.9993718827316402, 0.999998660433867, 0.9993718827316402, 0.999998660433867, 0.999998660433867, 0.9822271536248153, 0.9999962307892455, 0.9999663192818946, 0.999945729425959, 0.999998660433867, 0.999998660433867, 0.999031261650465, 0.9822271536248153, 0.999945729425959, 0.9999962307892455, 0.9993718827316402, 0.999998660433867, 0.999031261650465, 0.990768716349455, 0.9993718827316402, 0.9999864321479763, 0.999998660433867, 0.9902739828014324, 0.9993718827316402, 0.9999663192818946, 0.9822271536248153, 0.9993718827316402, 0.9999864321479763, 0.999998660433867, 0.9999962307892455, 0.999998660433867, 0.9822271536248153, 0.9993718827316402, 0.9999749850085198, 0.999998660433867, 0.999998660433867, 0.9999962307892455, 0.9999663192818946, 0.9822271536248153, 0.9999663192818946, 0.9883990802676184, 0.9999663192818946, 0.9999663192818946, 0.999998660433867, 0.9999663192818946, 0.9999663192818946, 0.999998660433867, 0.9822271536248153, 0.8451138694895107]",7,train,9
0.42,8,13,29,0,50,24,1,1,1,0,0,0,23,0,1,0,1,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[8.136371357789652e-06, 0.7980677315088046, 0.999451150235912, 0.996525201518456, 0.9997646621612003, 0.0016437719433281582, 0.8114770246000482, 0.8675751127682718, 0.991884496368392, 0.000735329762835209, 0.9658870005008628, 0.9522388438289913, 0.9997646621612003, 0.7601092442456471, 0.011667036170565841, 0.9997831714444554, 0.999451150235912, 0.30664983668242707, 0.9997646621612003, 0.996525201518456, 0.9980081876221647, 0.04183854396469492, 0.9999849229454848, 1.4951863024126126e-06, 0.9999962307892455, 0.7980677315088046, 0.014499623913219776, 0.8919017310812714, 0.29751177098543513, 0.9931976627912841, 0.9991928552164313, 0.998830640032419, 0.01355566036913074, 0.06690654208039826, 0.00173958992640718, 0.00028251605506752136, 0.9999962307892455, 0.996525201518456, 0.999537859150173, 0.9313308286929464, 0.8866037912442758, 0.9991928552164313, 0.9313308286929464, 0.7601092442456471, 0.5724721330181713, 0.995338794056854, 0.9989171520920492, 0.9543493933454028, 0.9991933774743994, 0.9931976627912841]",8,train,1
0.98,45,4,1,0,50,3,1,1,1,0,0,0,3,1,1,1,0,0,0,"(array([0.88091117, 0.86969346, 0.96923089, 0.46898565, 0.87746644,
       0.39052615, 0.83334804, 0.56335717, 0.93598741, 0.72420985,
       0.93491906, 0.92958212, 0.93117279]), array([0.68944186, 0.61229044, 0.53572875, 0.79195279, 0.68456727,
       0.81011313, 0.74709779, 0.75449634, 0.61859179, 0.77315819,
       0.59151059, 0.6100412 , 0.62139267]), array([0.30094337, 0.37712452, 0.45122546, 0.20003366, 0.30580178,
       0.18162723, 0.24470514, 0.23786281, 0.37006059, 0.21894377,
       0.39677253, 0.37858403, 0.36736342]), array([0.12926297, 0.13940766, 0.0399712 , 0.54106271, 0.13260482,
       0.61905253, 0.17687772, 0.44672823, 0.07399201, 0.2861912 ,
       0.07469255, 0.08021179, 0.0787775 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'QwenPRM_avg_scores (7.63B)']","[0.001535454073408041, 0.9999482621081529, 0.9998690047464356, 0.9999870653528262, 0.9999870653528262, 0.9998844276563171, 0.9983401446140637, 0.9999482621081529, 0.6575566485722425, 0.9999870653528262, 0.9998844276563171, 0.9981986751904531, 0.01355566036913074, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9999482621081529, 0.9999870653528262, 0.9999870653528262, 0.9983401446140637, 0.9999411566447597, 0.9999849229454848, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9999849229454848, 8.822670847525571e-05, 0.9994762115584573, 0.9998690047464356, 0.9998844276563171, 0.9998690047464356, 0.9999870653528262, 0.9994762115584573, 0.0016437719433281582, 0.9998690047464356, 0.9998690047464356, 0.9999482621081529, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9998690047464356, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9999870653528262, 0.9998844276563171, 0.9998139768436167, 0.9994762115584573, 0.9999618242367534]",9,train,9
