sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.18,0,9,41,0,50,0,0,0,0,0,1,0,8,0,1,0,1,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.1429762127695669, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.13241210151283891, 0.5893415137861883, 0.5893415137861883, 0.1429762127695669, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.1429762127695669, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.1429762127695669, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.1429762127695669, 0.1429762127695669, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.1429762127695669, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.5893415137861883, 0.1429762127695669]",0,train,0
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9985638622595296, 0.9854085325948938, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9929357724512176, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296]",1,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.937296395158737, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.9985638622595296]",2,train,9
0.98,49,0,0,1,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.6347268488039216, 0.9985638622595296, 0.9877793164653053, 0.9423285098581891, 0.9929357724512176, 0.6111012327387607, 0.9985638622595296, 0.9366114483333488, 0.937296395158737, 0.9929357724512176, 0.9423285098581891, 0.9985638622595296, 0.9366114483333488, 0.9929357724512176, 0.6111012327387607, 0.6111012327387607, 0.937296395158737, 0.9985638622595296, 0.6347268488039216, 0.937296395158737, 0.6111012327387607, 0.9929357724512176, 0.9985638622595296, 0.9985638622595296, 0.9929357724512176, 0.9366114483333488, 0.9985638622595296, 0.6111012327387607, 0.6111012327387607, 0.9929357724512176, 0.9929357724512176, 0.9865033293643743, 0.9929357724512176, 0.9985638622595296, 0.9865033293643743, 0.9423285098581891, 0.9929357724512176, 0.1544538054747405, 0.9865033293643743, 0.6111012327387607, 0.9366114483333488, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.9929357724512176, 0.6111012327387607, 0.9877793164653053, 0.9366114483333488, 0.9985638622595296, 0.9929357724512176]",3,train,9
0.78,35,4,11,0,50,11,1,1,1,0,0,0,11,1,1,1,0,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.6347268488039216, 0.9929357724512176, 0.9929357724512176, 0.9877793164653053, 0.9317496091757087, 0.6134528741365102, 0.9366114483333488, 0.5893415137861883, 0.9854085325948938, 0.937296395158737, 0.9929357724512176, 0.9985638622595296, 0.937296395158737, 0.5893415137861883, 0.13241210151283891, 0.937296395158737, 0.9366114483333488, 0.6111012327387607, 0.5921448672035633, 0.9423285098581891, 0.937296395158737, 0.9366114483333488, 0.9929357724512176, 0.9423285098581891, 0.937296395158737, 0.937296395158737, 0.9317496091757087, 0.9929357724512176, 0.9985638622595296, 0.937296395158737, 0.5921448672035633, 0.6320343018449561, 0.9929357724512176, 0.5921448672035633, 0.6320343018449561, 0.9929357724512176, 0.9929357724512176, 0.937296395158737, 0.9929357724512176, 0.937296395158737, 0.937296395158737, 0.9985638622595296, 0.13241210151283891, 0.9985638622595296, 0.13241210151283891, 0.937296395158737, 0.9366114483333488, 0.1544538054747405, 0.9985638622595296, 0.9929357724512176]",4,train,6
0.8,39,1,5,5,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9366114483333488, 0.9929357724512176, 0.9865033293643743, 0.9865033293643743, 0.5893415137861883, 0.9366114483333488, 0.1544538054747405, 0.13241210151283891, 0.9865033293643743, 0.6111012327387607, 0.9865033293643743, 0.9366114483333488, 0.9865033293643743, 0.13241210151283891, 0.9865033293643743, 0.8947016312748237, 0.9366114483333488, 0.5893415137861883, 0.9366114483333488, 0.9865033293643743, 0.9317496091757087, 0.9865033293643743, 0.6320343018449561, 0.9865033293643743, 0.6320343018449561, 0.6111012327387607, 0.5893415137861883, 0.8947016312748237, 0.6320343018449561, 0.9865033293643743, 0.9865033293643743, 0.4521347802834873, 0.9929357724512176, 0.9366114483333488, 0.9865033293643743, 0.9865033293643743, 0.9865033293643743, 0.9366114483333488, 0.9366114483333488, 0.13241210151283891, 0.6320343018449561, 0.9366114483333488, 0.9366114483333488, 0.937296395158737, 0.9865033293643743, 0.6111012327387607, 0.9366114483333488, 0.9366114483333488, 0.1544538054747405, 0.9865033293643743]",5,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9985638622595296, 0.9929357724512176, 0.9423285098581891, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.9877793164653053, 0.9423285098581891, 0.9929357724512176, 0.9929357724512176, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.9929357724512176, 0.9929357724512176, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.937296395158737, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.937296395158737, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.937296395158737, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296]",6,train,9
0.88,42,2,6,0,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9929357724512176, 0.9929357724512176, 0.9423285098581891, 0.9929357724512176, 0.9317496091757087, 0.9985638622595296, 0.5893415137861883, 0.9366114483333488, 0.9929357724512176, 0.01743256287916827, 0.9366114483333488, 0.9929357724512176, 0.9366114483333488, 0.9877793164653053, 0.9929357724512176, 0.937296395158737, 0.9929357724512176, 0.9929357724512176, 0.5893415137861883, 0.9929357724512176, 0.9317496091757087, 0.9929357724512176, 0.6111012327387607, 0.5893415137861883, 0.9317496091757087, 0.9366114483333488, 0.9929357724512176, 0.9929357724512176, 0.9929357724512176, 0.9929357724512176, 0.5921448672035633, 0.6111012327387607, 0.9366114483333488, 0.9877793164653053, 0.9929357724512176, 0.9929357724512176, 0.13241210151283891, 0.9366114483333488, 0.9317496091757087, 0.9317496091757087, 0.9929357724512176, 0.9929357724512176, 0.9423285098581891, 0.9317496091757087, 0.937296395158737, 0.9929357724512176, 0.9317496091757087, 0.9929357724512176, 0.9423285098581891, 0.6111012327387607]",7,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9929357724512176, 0.9877793164653053, 0.9985638622595296, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9929357724512176, 0.9877793164653053, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9929357724512176, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9985638622595296, 0.9877793164653053]",8,train,9
0.88,39,5,3,3,50,9,1,1,1,0,0,0,9,1,1,1,0,0,0,"(array([0.74416035, 0.83771461, 0.82834524, 0.82305747, 0.57436424]), array([0.76639855, 0.64806384, 0.64255983, 0.69109577, 0.78298682]), array([0.22586972, 0.34120771, 0.3467257 , 0.29940423, 0.20831557]), array([0.26543328, 0.16920882, 0.17845289, 0.18452196, 0.43641216]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)']","[0.937296395158737, 0.13241210151283891, 0.9929357724512176, 0.6111012327387607, 0.937296395158737, 0.6111012327387607, 0.9929357724512176, 0.5893415137861883, 0.9929357724512176, 0.9985638622595296, 0.937296395158737, 0.9929357724512176, 0.9423285098581891, 0.9929357724512176, 0.9929357724512176, 0.9929357724512176, 0.9929357724512176, 0.937296395158737, 0.6111012327387607, 0.13241210151283891, 0.9929357724512176, 0.13241210151283891, 0.937296395158737, 0.9929357724512176, 0.5893415137861883, 0.5893415137861883, 0.9985638622595296, 0.9985638622595296, 0.13241210151283891, 0.13241210151283891, 0.9929357724512176, 0.13241210151283891, 0.9929357724512176, 0.9929357724512176, 0.01743256287916827, 0.13241210151283891, 0.9985638622595296, 0.9877793164653053, 0.9423285098581891, 0.6111012327387607, 0.9877793164653053, 0.937296395158737, 0.937296395158737, 0.6111012327387607, 0.9929357724512176, 0.9929357724512176, 0.9423285098581891, 0.6111012327387607, 0.9929357724512176, 0.6347268488039216]",9,train,8
