sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,0,50,0,0,50,25,0,0,0,0,1,0,4,0,1,0,1,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.09450335106474005, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 9.562210435734372e-06, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 0.00016890244640010326, 0.00011815487656855824, 0.00011815487656855824, 0.0003141474934322113, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 0.003868363741752514, 9.562210435734372e-06, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 0.003868363741752514, 0.1327119830515454, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 0.06573654597749477, 0.00011815487656855824, 0.0031657434182168786, 0.00011815487656855824, 0.00011815487656855824, 9.562210435734372e-06, 9.562210435734372e-06, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 9.562210435734372e-06, 0.0031657434182168786, 0.00011815487656855824, 0.09450335106474005, 0.00011815487656855824, 0.003868363741752514, 0.003868363741752514, 0.00011815487656855824, 0.00011815487656855824, 0.00011815487656855824, 9.562210435734372e-06]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999803491429969, 0.9998401652886224, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9999062852366772, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999924158851238, 0.9999803491429969, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999062852366772, 0.9993236496724439, 0.9999924158851238, 0.9999924158851238, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9999924158851238, 0.9999803491429969, 0.9999803491429969, 0.9999924158851238, 0.9999924158851238, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9997572131871714, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9999626472683811, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969]",1,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999032216104785, 0.9999803491429969, 0.9758113407214902, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9999803491429969, 0.9997572131871714, 0.9999803491429969, 0.9999032216104785, 0.9999803491429969, 0.9999803491429969]",2,train,9
1.0,50,0,0,0,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9833743595205175, 0.9999803491429969, 0.9997572131871714, 0.9988053469401069, 0.9999032216104785, 0.6342191386443717, 0.9999803491429969, 0.9755252162388192, 0.9758113407214902, 0.9999032216104785, 0.9988053469401069, 0.9999803491429969, 0.9779990788939935, 0.9999032216104785, 0.6342191386443717, 0.9932723937757122, 0.9758113407214902, 0.9996440718198997, 0.8942754317376701, 0.9730982475482979, 0.9827528108430538, 0.9999032216104785, 0.9999803491429969, 0.9993546173944023, 0.9999032216104785, 0.9987599574411045, 0.9999924158851238, 0.7587363590777926, 0.9827528108430538, 0.9999626472683811, 0.9999626472683811, 0.9997479796501183, 0.9982494019865229, 0.9999803491429969, 0.9949319214765483, 0.9988053469401069, 0.9999626472683811, 0.9227634115725923, 0.9997479796501183, 0.6342191386443717, 0.9987599574411045, 0.9999803491429969, 0.9980480137555323, 0.9999924158851238, 0.9999626472683811, 0.9827528108430538, 0.9997572131871714, 0.9779990788939935, 0.9999803491429969, 0.9999032216104785]",3,train,9
0.82,35,6,9,0,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9833743595205175, 0.9999032216104785, 0.9993236496724439, 0.9956192267752508, 0.5016523930842148, 0.07532178750853433, 0.9779990788939935, 0.9744971699756965, 0.9889905834884744, 0.9905239123955606, 0.9982494019865229, 0.9996440718198997, 0.9986337655476885, 0.9744971699756965, 0.00027465828789870227, 0.9758113407214902, 0.9987599574411045, 0.7587363590777926, 0.06002215964779942, 0.9995385988446641, 0.9986337655476885, 0.9987599574411045, 0.9999626472683811, 0.9787882434071249, 0.9758113407214902, 0.9758113407214902, 0.948021842253741, 0.9999626472683811, 0.9999803491429969, 0.9905239123955606, 0.988993157157871, 0.006580141243497726, 0.9982494019865229, 0.5633806214421415, 0.7633341589603382, 0.9455094905809983, 0.9982494019865229, 0.9758113407214902, 0.9999626472683811, 0.9758113407214902, 0.9758113407214902, 0.9999803491429969, 0.11799408697944987, 0.9996440718198997, 0.005520933908027878, 0.9986337655476885, 0.6874851619862549, 0.8217753873070699, 0.9999803491429969, 0.9999626472683811]",4,train,6
0.86,41,2,4,3,50,32,1,1,1,0,0,0,32,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9779990788939935, 0.9999032216104785, 0.9949319214765483, 0.9949319214765483, 0.6783474793388194, 0.9987599574411045, 0.8217753873070699, 0.0187721280168167, 0.9949319214765483, 0.7587363590777926, 0.9949319214765483, 0.9995210550679277, 0.9997479796501183, 0.0187721280168167, 0.9997479796501183, 0.99879916888625, 0.9987599574411045, 0.003868363741752514, 0.9987599574411045, 0.9997479796501183, 0.9992132638505999, 0.9949319214765483, 0.9941133251490933, 0.9999027205757163, 0.7633341589603382, 0.9827528108430538, 0.9744971699756965, 0.940778696460505, 0.9848886549845343, 0.9997479796501183, 0.9949319214765483, 0.4297650070510561, 0.9999626472683811, 0.9995210550679277, 0.9949319214765483, 0.9949319214765483, 0.9997479796501183, 0.9913927125531026, 0.9987599574411045, 0.007329375434666334, 0.9941133251490933, 0.9987599574411045, 0.9987599574411045, 0.9986337655476885, 0.9949319214765483, 0.9827528108430538, 0.9995210550679277, 0.9755252162388192, 0.9227634115725923, 0.9997479796501183]",5,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999924158851238, 0.9999626472683811, 0.9995385988446641, 0.9999803491429969, 0.9999924158851238, 0.9999803491429969, 0.9999626472683811, 0.9999924158851238, 0.9997572131871714, 0.991705527128418, 0.9999626472683811, 0.9993236496724439, 0.9999924158851238, 0.9999626472683811, 0.9999924158851238, 0.9999626472683811, 0.9999626472683811, 0.9999924158851238, 0.9999924158851238, 0.9999924158851238, 0.9999924158851238, 0.9999924158851238, 0.9999924158851238, 0.9994722747132951, 0.9999924158851238, 0.9999924158851238, 0.9999062852366772, 0.9999924158851238, 0.9999626472683811, 0.9999924158851238, 0.9999924158851238, 0.9999924158851238, 0.9994722747132951, 0.9999924158851238, 0.9999626472683811, 0.9999924158851238, 0.9999803491429969, 0.9999924158851238, 0.9999803491429969, 0.9999803491429969, 0.9999062852366772, 0.9999924158851238, 0.9999924158851238, 0.9999626472683811, 0.9999924158851238, 0.9994722747132951, 0.9999062852366772, 0.9999924158851238, 0.9999924158851238, 0.9999924158851238]",6,train,9
0.9,41,4,4,1,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999626472683811, 0.9999032216104785, 0.9995385988446641, 0.9999032216104785, 0.7228587839592254, 0.9999924158851238, 0.7865090477883767, 0.9755252162388192, 0.9999626472683811, 0.0015457216700097017, 0.9779990788939935, 0.9999626472683811, 0.6874851619862549, 0.9999062852366772, 0.9999626472683811, 0.9758113407214902, 0.9999626472683811, 0.9999032216104785, 0.2128600460254358, 0.9999032216104785, 0.9992132638505999, 0.9999032216104785, 0.7587363590777926, 0.7865090477883767, 0.9979640474854082, 0.9755252162388192, 0.9999626472683811, 0.9999032216104785, 0.9999626472683811, 0.9999626472683811, 0.15577930905662113, 0.7382074200553381, 0.9995210550679277, 0.9471434253058728, 0.9999626472683811, 0.9999626472683811, 0.005520933908027878, 0.850746170611358, 0.9992132638505999, 0.047451788092825284, 0.9999626472683811, 0.9993236496724439, 0.9988053469401069, 0.9643535740219229, 0.9986337655476885, 0.9999032216104785, 0.9979640474854082, 0.9999032216104785, 0.9995385988446641, 0.9827528108430538]",7,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999924158851238, 0.9999803491429969, 0.9999924158851238, 0.9983047303272297, 0.9999924158851238, 0.9999924158851238, 0.9999062852366772, 0.9999803491429969, 0.9997572131871714, 0.9999924158851238, 0.9999803491429969, 0.9999062852366772, 0.9999803491429969, 0.9998626035628129, 0.9999803491429969, 0.9999924158851238, 0.9999626472683811, 0.9999062852366772, 0.9999803491429969, 0.9997572131871714, 0.9999924158851238, 0.9999924158851238, 0.9999803491429969, 0.9997572131871714, 0.9999062852366772, 0.9999803491429969, 0.9999924158851238, 0.9999803491429969, 0.9999924158851238, 0.9999924158851238, 0.9999803491429969, 0.9999924158851238, 0.9999924158851238, 0.9999803491429969, 0.9999803491429969, 0.9999626472683811, 0.9997572131871714, 0.9999924158851238, 0.9999924158851238, 0.9999803491429969, 0.9999924158851238, 0.9999924158851238, 0.9999803491429969, 0.9999924158851238, 0.9999626472683811, 0.9999924158851238, 0.9999803491429969, 0.9996440718198997, 0.9999924158851238, 0.9997572131871714]",8,train,9
0.96,40,8,0,2,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.9084    , 0.89373654, 0.88314277, 0.79243743, 0.85207707,
       0.55857831, 0.39344019, 0.96606582, 0.94728249, 0.90815806]), array([0.69505984, 0.63803476, 0.62986112, 0.77315319, 0.76462376,
       0.79289901, 0.79573411, 0.58596402, 0.63092875, 0.68632042]), array([0.2954613 , 0.35148704, 0.35968703, 0.21920927, 0.22788447,
       0.19904813, 0.19617067, 0.40163437, 0.35782847, 0.30402169]), array([0.10138328, 0.11477465, 0.12514411, 0.21787959, 0.157792  ,
       0.45176589, 0.61592919, 0.04288833, 0.06214914, 0.10145626]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'DeepSeekLlama (70B)', 'QwenPRM_avg_scores (7.63B)']","[0.9758113407214902, 0.8750698541557227, 0.9999626472683811, 0.8796107712030131, 0.9994722747132951, 0.9827528108430538, 0.9999032216104785, 0.00011815487656855824, 0.9993236496724439, 0.9999803491429969, 0.9994722747132951, 0.9999032216104785, 0.9995385988446641, 0.9999032216104785, 0.9999032216104785, 0.9999032216104785, 0.9993236496724439, 0.989443185027289, 0.7587363590777926, 0.00016890244640010326, 0.9968293460795549, 0.09139433788228798, 0.8380006246107616, 0.9999032216104785, 0.00011815487656855824, 0.003868363741752514, 0.9999924158851238, 0.9999924158851238, 0.00027465828789870227, 0.1298288924664128, 0.9999032216104785, 0.005520933908027878, 0.9999032216104785, 0.9999032216104785, 0.00036724766998342775, 0.00027465828789870227, 0.9999803491429969, 0.9997572131871714, 0.9787882434071249, 0.9827528108430538, 0.9999062852366772, 0.9986337655476885, 0.9986337655476885, 0.7587363590777926, 0.9999626472683811, 0.9999626472683811, 0.9995385988446641, 0.9827528108430538, 0.9999626472683811, 0.9833743595205175]",9,train,8
