sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,0,50,0,0,50,0,0,0,0,0,1,0,15,0,1,0,1,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.33007496042673395, 0.0011183393017850584, 6.638966577026588e-05, 6.638966577026588e-05, 0.0018529982275596278, 6.638966577026588e-05, 0.12230245194274043, 0.020529371024467915, 3.0916106598709874e-05, 0.0011183393017850584, 0.020529371024467915, 2.9206228273157908e-06, 3.6606568540892975e-05, 0.020529371024467915, 3.297358381909239e-05, 1.9554620470900873e-06, 2.9206228273157908e-06, 0.0011183393017850584, 3.6606568540892975e-05, 0.0011183393017850584, 0.020529371024467915, 0.0011183393017850584, 6.638966577026588e-05, 0.0011183393017850584, 0.0011183393017850584, 0.039449841740436295, 0.020529371024467915, 6.638966577026588e-05, 0.0011183393017850584, 0.26968722708183523, 6.638966577026588e-05, 0.02564363102176462, 3.297358381909239e-05, 6.638966577026588e-05, 0.012191560058212704, 5.8806188684120116e-06, 0.0001724385988103291, 0.020529371024467915, 0.0011183393017850584, 0.00011007848813645358, 0.0015583111035297585, 0.0011183393017850584, 0.01430376582127597, 0.0011183393017850584, 3.297358381909239e-05, 0.020529371024467915, 3.297358381909239e-05, 6.638966577026588e-05, 0.0011183393017850584, 2.9206228273157908e-06]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999987208639328, 0.9999897908038191, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999938689099254, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999994569542807, 0.9999987208639328, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999938689099254, 0.9986404028216317, 0.9999994569542807, 0.9999994569542807, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999994569542807, 0.9999987208639328, 0.9999987208639328, 0.9999994569542807, 0.9999994569542807, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999855584184438, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999982094895118, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328]",1,train,9
0.98,49,0,0,1,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999760540771573, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999907815498816, 0.9999987208639328, 0.9995274047988398, 0.9999987208639328, 0.1498297726699922, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999987208639328, 0.9999855584184438, 0.9999987208639328, 0.9995274047988398, 0.9999987208639328, 0.9999987208639328]",2,train,9
0.84,42,0,0,8,50,43,1,1,1,0,0,0,43,1,1,1,0,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.9233519323512799, 0.9999914960703337, 0.9999855584184438, 0.9999816695123063, 0.9999957824864644, 0.3847391167656157, 0.9999760540771573, 0.9939097659850186, 0.88531764687954, 0.9999957824864644, 0.9996835313926421, 0.9998408235201526, 0.415902745946308, 0.9998180150414073, 0.3847391167656157, 0.5956244947221905, 0.31403311352543434, 0.9998501952638958, 0.9820414496386058, 0.024798147813436797, 0.9133807200849744, 0.9999957824864644, 0.9999987208639328, 0.9999987208639328, 0.9842000017732114, 0.9999456039703404, 0.9999963897180916, 0.0018923109685488597, 0.3603130987576453, 0.9999954175087497, 0.9999982094895118, 0.9999835015690033, 0.9968033779357729, 0.9999987208639328, 0.9663784357851826, 0.9991093650086978, 0.9999227318866553, 0.6874958105176642, 0.9998903248521295, 0.3847391167656157, 0.9976577748629172, 0.9999987208639328, 0.9999285475001358, 0.9999994569542807, 0.9999982094895118, 0.9503094960988427, 0.9999944404639627, 0.9975530782431898, 0.9999987208639328, 0.9999957824864644]",3,train,9
0.72,27,9,6,8,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.21569525736624987, 0.9999957824864644, 0.9999684549513056, 0.9997456230265318, 0.19657473030033526, 0.021211306346860807, 0.9990424928130069, 0.9989783403269669, 0.999435019629789, 0.29334578488683893, 0.9999256992320679, 0.999977464107195, 0.7563937409195192, 0.9989783403269669, 1.6436635311403796e-06, 0.31403311352543434, 0.9996384737454996, 0.18725879675310217, 0.001076020011279231, 0.9999797850534912, 0.7366219319591513, 0.9878695874900498, 0.9999982094895118, 0.9991617663174439, 0.453636715702759, 0.88531764687954, 0.998139579614028, 0.9999982094895118, 0.9999987208639328, 0.5188451900472765, 0.9716806289556098, 0.001026867910832854, 0.9986108583449566, 0.017923522362148395, 0.7389255117823705, 0.9999256992320679, 0.99083656449006, 0.8568098492494262, 0.9999982094895118, 0.13699673614793748, 0.1498297726699922, 0.9999987208639328, 0.03204376202390492, 0.999977464107195, 2.7847850732690755e-05, 0.9812589501815887, 0.3545503190222412, 0.2644599010599781, 0.9999987208639328, 0.9999982094895118]",4,train,6
0.84,40,2,4,4,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.8934268477515054, 0.9999983764055926, 0.9997205406986773, 0.9997205406986773, 0.3311246295030251, 0.9999456039703404, 0.41993326650532703, 0.00796312261557526, 0.9997205406986773, 0.9530982980132983, 0.9997205406986773, 0.9974176002635569, 0.9999835015690033, 0.00047579368171830444, 0.9999835015690033, 0.9999209251228492, 0.9939384096220152, 6.638966577026588e-05, 0.9998607945130924, 0.9999835015690033, 0.9997762588469725, 0.9997205406986773, 0.8259915336275713, 0.9998688896809629, 0.9897011490370373, 0.9550193173892222, 0.993246741393679, 0.9987865097665177, 0.9997636194060942, 0.9999835015690033, 0.9997205406986773, 0.9439894087790172, 0.9999982094895118, 0.9999408968707665, 0.9997205406986773, 0.9998923997808429, 0.9999936486362409, 0.956374378282959, 0.9996384737454996, 0.003396232714565852, 0.9993331162230592, 0.9939384096220152, 0.9996384737454996, 0.8896935532941013, 0.9997205406986773, 0.9550193173892222, 0.9990042880285437, 0.999079167003514, 0.8158238666628881, 0.9999936486362409]",5,train,8
1.0,50,0,0,0,50,27,1,1,1,0,0,0,27,1,1,1,0,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999994569542807, 0.999799309523526, 0.9991283164243069, 0.9999987208639328, 0.9999898338411002, 0.9999987208639328, 0.9999142190094275, 0.9999960863719861, 0.9999855584184438, 0.7765425707172265, 0.9999954175087497, 0.9994683275332896, 0.9999994569542807, 0.9999142190094275, 0.9999994569542807, 0.9999227318866553, 0.9999954175087497, 0.9999994569542807, 0.9999994569542807, 0.9999994569542807, 0.9999994569542807, 0.9999994569542807, 0.9999994569542807, 0.9984521532345365, 0.9999994569542807, 0.9999994569542807, 0.9999938689099254, 0.999999790946966, 0.9999227318866553, 0.9999994569542807, 0.9999994569542807, 0.9999994569542807, 0.9999080756537508, 0.999999790946966, 0.9999954175087497, 0.9999994569542807, 0.9999987208639328, 0.9999994569542807, 0.9999987208639328, 0.9999987208639328, 0.9999938689099254, 0.9999994569542807, 0.9999994569542807, 0.9999954175087497, 0.9999994569542807, 0.9984521532345365, 0.9999938689099254, 0.9999994569542807, 0.9999994569542807, 0.9999994569542807]",6,train,9
0.86,40,3,5,2,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999993107174522, 0.9999957824864644, 0.9999922178798605, 0.9999983764055926, 0.9862502898891787, 0.9999994569542807, 0.989896739606813, 0.9996453117197335, 0.9999982094895118, 0.000788685119635824, 0.9990424928130069, 0.999799309523526, 0.644599905906546, 0.9999938689099254, 0.9932307095948085, 0.7482262363782707, 0.9999993107174522, 0.9999957824864644, 0.8852639984240107, 0.9999719616668137, 0.9999663393590935, 0.9966040455179633, 0.034276203819657965, 0.989896739606813, 0.999920716423013, 0.9830380424040568, 0.9999870962287315, 0.9999957824864644, 0.9999982094895118, 0.9999993107174522, 0.34972033370316974, 0.8905283616995997, 0.999991109499094, 0.9998919908112156, 0.9999982094895118, 0.9999993107174522, 0.002450177304756051, 0.9973531066955307, 0.999987041602229, 0.6425135937607324, 0.9999982094895118, 0.9999684549513056, 0.9999816695123063, 0.9986049857150505, 0.9999153964840565, 0.9999983764055926, 0.999969477201583, 0.9995274047988398, 0.9999922178798605, 0.3847391167656157]",7,train,8
1.0,50,0,0,0,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.9999994569542807, 0.9999995075784833, 0.999999790946966, 0.9999584176058888, 0.999999790946966, 0.9999994569542807, 0.999997639743136, 0.9999987208639328, 0.9999944404639627, 0.999999790946966, 0.9999995075784833, 0.9999938689099254, 0.9999995075784833, 0.9999904324722498, 0.9999995075784833, 0.9999994569542807, 0.9999227318866553, 0.999997639743136, 0.9999995075784833, 0.9999944404639627, 0.999999790946966, 0.999999790946966, 0.9999987208639328, 0.9997297110404217, 0.999997639743136, 0.9999995075784833, 0.999999790946966, 0.9999995075784833, 0.999999790946966, 0.999999790946966, 0.9999987208639328, 0.999999790946966, 0.9999994569542807, 0.9999995075784833, 0.9999995075784833, 0.9999227318866553, 0.9999944404639627, 0.999999790946966, 0.999999790946966, 0.9999995075784833, 0.999999790946966, 0.9999960863719861, 0.9999995075784833, 0.999999790946966, 0.9999227318866553, 0.999999790946966, 0.9999995075784833, 0.9999913243759744, 0.999999790946966, 0.9999944404639627]",8,train,9
0.86,35,8,0,7,50,26,1,1,1,0,0,0,35,0,1,0,1,0,0,"(array([0.87333399, 0.85734409, 0.93672961, 0.35493857, 0.86578733,
       0.43507534, 0.79322684, 0.43667847, 0.93147653, 0.640755  ,
       0.90334445, 0.90648949, 0.96867895, 0.87200159]), array([0.73753458, 0.65723079, 0.59487295, 0.80617535, 0.73716372,
       0.80641681, 0.7717737 , 0.76699138, 0.65181059, 0.78623718,
       0.65390569, 0.66999477, 0.5688113 , 0.71904325]), array([0.25440988, 0.33371136, 0.3938722 , 0.18617266, 0.25490817,
       0.18583031, 0.22078839, 0.22568269, 0.3379271 , 0.20617034,
       0.33630908, 0.3204172 , 0.4190346 , 0.27262354]), array([0.13466957, 0.1495541 , 0.07052065, 0.65250838, 0.14210984,
       0.57261992, 0.21497037, 0.57131279, 0.07643075, 0.36754739,
       0.10415968, 0.10124969, 0.03872747, 0.13574342]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)', 'Qwen72B_scores (72B)', 'InternLM2 (7B)', 'QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'DeepSeekLlama (70B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'SkyT1 (32B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)']","[0.88531764687954, 0.0726556490635244, 0.9999993107174522, 0.00462232823132106, 0.9984521532345365, 0.3847391167656157, 0.9998180150414073, 0.0011183393017850584, 0.999919269837295, 0.9999967262774786, 0.9499963487529037, 0.9999983764055926, 0.9999922178798605, 0.9999983764055926, 0.9999983764055926, 0.9999983764055926, 0.999919269837295, 0.5285956935671985, 0.5465034149922322, 7.233565620481053e-05, 0.9999983764055926, 2.9095656692503898e-05, 0.05983650307463804, 0.9999983764055926, 0.007388307919119099, 0.0011183393017850584, 0.999999790946966, 0.999999790946966, 1.8247664477353553e-06, 0.0602388918727629, 0.9999983764055926, 7.233565620481053e-05, 0.9999983764055926, 0.9999983764055926, 0.00016718760920146015, 9.747278137105321e-08, 0.9999995075784833, 0.9999944404639627, 0.9650586850993493, 0.9133807200849744, 0.999997639743136, 0.9963617008812201, 0.9963617008812201, 0.0018923109685488597, 0.9999993107174522, 0.9999982094895118, 0.9991283164243069, 0.9972146977857692, 0.9999993107174522, 0.9604050726862515]",9,train,8
