sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.7810374828710205, 0.9922701892282367, 0.9480882748302174, 0.9616439024474331, 0.9616439024474331, 0.9922701892282367, 0.9497396541908755, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9497396541908755, 0.7810374828710205, 0.7810374828710205, 0.9497396541908755, 0.9616439024474331, 0.9616439024474331, 0.7288831183566244, 0.9616439024474331, 0.7810374828710205, 0.9922701892282367, 0.9616439024474331, 0.9616439024474331, 0.9922701892282367, 0.9616439024474331, 0.9616439024474331, 0.9480882748302174, 0.9497396541908755, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9922701892282367, 0.7810374828710205, 0.9616439024474331, 0.6992235527083066, 0.9616439024474331, 0.9616439024474331, 0.9922701892282367, 0.9616439024474331, 0.9922701892282367, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331]",0,train,9
1.0,50,0,0,0,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9404500336791249, 0.6920103354930351, 0.9922701892282367, 0.6920103354930351, 0.9404500336791249, 0.9922701892282367, 0.9404500336791249, 0.7810374828710205, 0.9922701892282367, 0.9404500336791249, 0.9404500336791249, 0.9404500336791249, 0.7288831183566244, 0.9922701892282367, 0.9404500336791249, 0.9922701892282367, 0.9616439024474331, 0.7551669756415915, 0.9480882748302174, 0.9922701892282367, 0.9404500336791249, 0.6920103354930351, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9404500336791249, 0.9616439024474331, 0.9404500336791249, 0.9404500336791249, 0.9404500336791249, 0.7551669756415915, 0.9497396541908755, 0.6992235527083066, 0.9922701892282367, 0.9404500336791249, 0.9404500336791249, 0.9404500336791249, 0.6920103354930351, 0.9922701892282367, 0.9480882748302174, 0.9404500336791249, 0.9404500336791249, 0.9404500336791249, 0.6920103354930351, 0.9404500336791249, 0.9922701892282367, 0.9404500336791249, 0.9404500336791249, 0.6920103354930351, 0.9404500336791249]",1,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.7810374828710205, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.7810374828710205, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.7810374828710205, 0.9616439024474331, 0.7810374828710205, 0.786808008413747, 0.7810374828710205, 0.7810374828710205, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331]",2,train,9
0.5,22,3,20,5,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.30499033073338033, 0.9616439024474331, 0.9616439024474331, 0.9404500336791249, 0.9616439024474331, 0.31225947504938295, 0.7551669756415915, 0.7551669756415915, 0.7551669756415915, 0.7551669756415915, 0.7551669756415915, 0.7551669756415915, 0.7551669756415915, 0.6992235527083066, 0.9616439024474331, 0.31225947504938295, 0.6992235527083066, 0.9616439024474331, 0.7551669756415915, 0.7551669756415915, 0.30499033073338033, 0.7551669756415915, 0.9404500336791249, 0.7551669756415915, 0.31225947504938295, 0.7551669756415915, 0.9616439024474331, 0.7551669756415915, 0.30499033073338033, 0.6920103354930351, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.7551669756415915, 0.9616439024474331, 0.9616439024474331, 0.30499033073338033, 0.7551669756415915, 0.31225947504938295, 0.7551669756415915, 0.7551669756415915, 0.7551669756415915, 0.7810374828710205, 0.9404500336791249, 0.9616439024474331, 0.7551669756415915, 0.7551669756415915, 0.9404500336791249, 0.9616439024474331, 0.786808008413747]",3,train,5
0.88,44,0,6,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9616439024474331, 0.9497396541908755, 0.9616439024474331, 0.9616439024474331, 0.9497396541908755, 0.9497396541908755, 0.9616439024474331, 0.9922701892282367, 0.9497396541908755, 0.9497396541908755, 0.9497396541908755, 0.9497396541908755, 0.9616439024474331, 0.9922701892282367, 0.9616439024474331, 0.786808008413747, 0.9497396541908755, 0.9497396541908755, 0.9497396541908755, 0.9497396541908755, 0.7810374828710205, 0.786808008413747, 0.9616439024474331, 0.9497396541908755, 0.9497396541908755, 0.9497396541908755, 0.6992235527083066, 0.9497396541908755, 0.9497396541908755, 0.9497396541908755, 0.9497396541908755, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7288831183566244, 0.9497396541908755, 0.9922701892282367, 0.9497396541908755, 0.9922701892282367, 0.9616439024474331, 0.7810374828710205, 0.9497396541908755, 0.9497396541908755, 0.9497396541908755, 0.9497396541908755, 0.9616439024474331, 0.7551669756415915, 0.9497396541908755, 0.9616439024474331, 0.7810374828710205]",4,train,8
0.56,17,11,22,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.30499033073338033, 0.7551669756415915, 0.7551669756415915, 0.31225947504938295, 0.7551669756415915, 0.31225947504938295, 0.7551669756415915, 0.9616439024474331, 0.7551669756415915, 0.9616439024474331, 0.9616439024474331, 0.6992235527083066, 0.7551669756415915, 0.9404500336791249, 0.7551669756415915, 0.9616439024474331, 0.7551669756415915, 0.31225947504938295, 0.31225947504938295, 0.7551669756415915, 0.9616439024474331, 0.6992235527083066, 0.7551669756415915, 0.7551669756415915, 0.7551669756415915, 0.7810374828710205, 0.9616439024474331, 0.7551669756415915, 0.9616439024474331, 0.9616439024474331, 0.31225947504938295, 0.9616439024474331, 0.9497396541908755, 0.7551669756415915, 0.9616439024474331, 0.7551669756415915, 0.31225947504938295, 0.30499033073338033, 0.7551669756415915, 0.9616439024474331, 0.6992235527083066, 0.7551669756415915, 0.786808008413747, 0.31225947504938295, 0.7551669756415915, 0.06067753778037046, 0.7551669756415915, 0.31225947504938295, 0.786808008413747, 0.9616439024474331]",5,train,3
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7551669756415915, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9497396541908755]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9497396541908755, 0.9922701892282367, 0.9922701892282367, 0.7810374828710205, 0.9922701892282367, 0.9922701892282367, 0.9497396541908755, 0.9497396541908755, 0.7810374828710205, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9497396541908755, 0.9922701892282367, 0.9922701892282367, 0.9480882748302174, 0.9922701892282367, 0.7288831183566244, 0.9922701892282367, 0.9922701892282367, 0.9497396541908755, 0.9922701892282367, 0.9480882748302174, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9497396541908755, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9497396541908755, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9497396541908755, 0.7288831183566244]",7,train,9
0.24,8,4,38,0,50,24,1,1,1,0,0,0,24,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.30499033073338033, 0.9616439024474331, 0.6920103354930351, 0.9616439024474331, 0.9616439024474331, 0.7551669756415915, 0.7551669756415915, 0.9616439024474331, 0.7810374828710205, 0.7551669756415915, 0.7810374828710205, 0.7551669756415915, 0.9616439024474331, 0.7810374828710205, 0.30499033073338033, 0.7551669756415915, 0.6920103354930351, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.9616439024474331, 0.30499033073338033, 0.9922701892282367, 0.9616439024474331, 0.7551669756415915, 0.7810374828710205, 0.30499033073338033, 0.9616439024474331, 0.9616439024474331, 0.9480882748302174, 0.7551669756415915, 0.7810374828710205, 0.7551669756415915, 0.7551669756415915, 0.9922701892282367, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.9616439024474331, 0.7810374828710205, 0.7810374828710205, 0.7810374828710205, 0.9404500336791249, 0.7810374828710205, 0.9480882748302174, 0.9616439024474331]",8,train,1
0.9,45,0,5,0,50,3,1,1,1,0,0,0,3,1,1,1,0,0,0,"(array([0.74107444, 0.60249054, 0.79600638, 0.84286135]), array([0.73912561, 0.7691347 , 0.64256334, 0.55753219]), array([0.25317451, 0.22263008, 0.34691611, 0.42923027]), array([0.26616642, 0.40652531, 0.20976366, 0.16115871]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.7551669756415915, 0.9616439024474331, 0.9480882748302174, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9404500336791249, 0.9616439024474331, 0.9404500336791249, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.7551669756415915, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9616439024474331, 0.9922701892282367, 0.9922701892282367, 0.9404500336791249, 0.9922701892282367, 0.9616439024474331, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9616439024474331, 0.7551669756415915, 0.7810374828710205, 0.9480882748302174, 0.9922701892282367, 0.9480882748302174, 0.9922701892282367, 0.7810374828710205, 0.7551669756415915, 0.9480882748302174, 0.9480882748302174, 0.9616439024474331, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9480882748302174, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9922701892282367, 0.9404500336791249, 0.7810374828710205, 0.9480882748302174]",9,train,9
