sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.84,42,0,0,8,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[0.9999646732157577, 0.6677376378649063, 0.16854098446971513, 0.9999645029417671, 0.9999964366550013, 0.9790673805664725, 0.036291874131719526, 0.9999988919677931, 0.9999964366550013, 0.9999889618464503, 0.46707937996918053, 0.9999890147960833, 0.9999646732157577, 0.002059591730371732, 0.9999964366550013, 0.9999964366550013, 0.003784054088068076, 0.9999964366550013, 0.9999646732157577, 0.9994703397773302, 0.9999964366550013, 0.9999964366550013, 0.7606802181254295, 0.9999988919677931, 0.9999645029417671, 0.16854098446971513, 0.036291874131719526, 0.9999889618464503, 0.9999964366550013, 0.9999964366550013, 0.9999890147960833, 0.9999964366550013, 0.9999964366550013, 0.9999964366550013, 0.9922621668525519, 0.9999646732157577, 0.9999964366550013, 0.05854430517803872, 0.9999645029417671, 0.9999964366550013, 0.990422868476429, 0.9999645029417671, 0.9878166121718408, 0.9999964366550013, 0.9999964366550013, 0.9999889618464503, 0.9999964366550013, 0.9999964366550013, 0.9999889618464503, 0.9999964366550013]",0,train,9
0.88,44,0,0,6,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[0.9998530168770472, 0.22200942955961836, 0.9999967567535981, 0.9995470106329313, 0.9999843832922031, 0.9999988919677931, 0.9999542906650011, 0.9999890147960833, 0.9999967567535981, 0.9998530168770472, 0.020630286883263446, 0.9998530168770472, 0.0011797354694202506, 0.9994703397773302, 0.9999542906650011, 0.9999967567535981, 0.9999988919677931, 0.006507536614369344, 0.9999678465619117, 0.9999967567535981, 0.9999542906650011, 0.9995470106329313, 0.9999967567535981, 0.9878166121718408, 0.9999988919677931, 0.9999542906650011, 0.9998961058379596, 0.9993163297968043, 0.9999542906650011, 0.9999542906650011, 0.9998444474749019, 0.6030664848072657, 0.0008301436357412081, 0.9999895700223391, 0.9999542906650011, 0.9998530168770472, 0.9991666066902836, 0.9995470106329313, 0.9999988919677931, 0.9999890147960833, 0.9973248060449391, 0.9991666066902836, 0.2810567341486322, 0.974095209210348, 0.9998530168770472, 0.9999895700223391, 0.9999843832922031, 0.8519090913282082, 0.9995470106329313, 0.9998530168770472]",1,train,9
0.98,49,0,0,1,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[0.9999964366550013, 0.9999964366550013, 0.9999964366550013, 0.9999964366550013, 0.9999964366550013, 0.9999646732157577, 0.9999646732157577, 0.9999964366550013, 0.9999988919677931, 0.9999964366550013, 0.9999964366550013, 0.9999646732157577, 0.9999988919677931, 0.9999964366550013, 0.9999964366550013, 0.9999646732157577, 0.9999964366550013, 0.9999964366550013, 0.9999646732157577, 0.9999964366550013, 0.9999988919677931, 0.9999964366550013, 0.9999964366550013, 0.9999964366550013, 0.9999964366550013, 0.9999646732157577, 0.9999964366550013, 0.9999964366550013, 0.9999964366550013, 0.9999646732157577, 0.9999646732157577, 0.9999964366550013, 0.9999646732157577, 0.9999964366550013, 0.9999646732157577, 0.9999646732157577, 0.9999964366550013, 0.9999964366550013, 0.9999890147960833, 0.9999646732157577, 0.9999964366550013, 0.9999646732157577, 0.036291874131719526, 0.9999646732157577, 0.9999646732157577, 0.9999646732157577, 0.9999964366550013, 0.9999964366550013, 0.9999964366550013, 0.9999964366550013]",2,train,9
0.82,21,20,3,6,50,4,1,1,1,0,0,0,24,0,1,0,1,0,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[4.4895936662189206e-05, 0.9999895700223391, 0.999843922955563, 0.11755934342983983, 0.9999967567535981, 0.001312328087142485, 0.717763180768272, 0.008330450899746175, 0.1083852236536446, 0.008330450899746175, 0.6286346598243168, 0.11168330759661295, 0.1452418707705278, 1.86501522906588e-07, 0.9998465429882551, 0.01896970742147514, 2.3788075687500724e-07, 0.9999895700223391, 0.9978414687648912, 0.008330450899746175, 0.7187362741673823, 0.008330450899746175, 0.008330450899746175, 0.07722299719995634, 1.022104063903184e-08, 0.008330450899746175, 0.9998465429882551, 0.008330450899746175, 0.0008465910582875024, 0.0008465910582875024, 0.9995270650386229, 0.999843922955563, 0.999843922955563, 0.008330450899746175, 0.9999895700223391, 0.9999895700223391, 0.9790037766170815, 0.008330450899746175, 4.340551104267801e-06, 0.008330450899746175, 0.9973248060449391, 0.9998530168770472, 0.9998966041685319, 0.008330450899746175, 0.9999895700223391, 0.604272850224868, 0.604272850224868, 0.717763180768272, 0.9998961058379596, 0.2141667385335002]",3,train,5
0.42,18,3,3,26,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[0.9999895700223391, 0.036291874131719526, 0.9999967567535981, 0.9999895700223391, 0.036291874131719526, 0.46707937996918053, 0.9999676915828559, 0.9994703397773302, 0.2141667385335002, 0.0007951450806629394, 0.011574474246997113, 0.036291874131719526, 0.9999988919677931, 0.9878166121718408, 0.9999895700223391, 0.0025098834977690682, 0.036291874131719526, 0.011574474246997113, 0.011574474246997113, 0.0005785739999662406, 0.9996797783809513, 0.036291874131719526, 0.9921310748567749, 0.036291874131719526, 0.036291874131719526, 0.036291874131719526, 0.05854430517803872, 0.2141667385335002, 0.00017096421915956784, 0.036291874131719526, 0.036291874131719526, 0.999843922955563, 0.9999895700223391, 0.9994689981670465, 0.026753729733725508, 0.011574474246997113, 0.6677376378649063, 0.036291874131719526, 0.6677376378649063, 0.9999964366550013, 0.9998966041685319, 0.036291874131719526, 0.2141667385335002, 0.036291874131719526, 0.036291874131719526, 0.9999895700223391, 0.9990844283108173, 6.781416629848746e-05, 0.9999895700223391, 0.9999646732157577]",4,train,8
0.78,14,25,8,3,50,26,1,1,1,0,0,0,40,0,1,0,1,0,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[0.00302219967158028, 0.13290877797496872, 0.8448124740979611, 2.3788075687500724e-07, 0.005873997505922681, 2.7443958330304156e-06, 0.026304570626888527, 0.9999895700223391, 0.0005118956344800031, 0.9999967567535981, 0.9999676915828559, 8.779215155991806e-05, 0.13290877797496872, 5.45450966672467e-07, 0.26900635231838305, 0.9982986467888489, 0.008330450899746175, 4.340551104267801e-06, 0.0008301436357412081, 0.9088513264971255, 0.9999967567535981, 0.0012903233588514678, 0.9864701486251408, 0.9998530168770472, 0.11168330759661295, 0.9999678465619117, 0.9999988919677931, 0.19675523012341958, 0.9999967567535981, 0.9999895700223391, 2.7443958330304156e-06, 0.9999967567535981, 0.041529789236891136, 0.15898062628177811, 0.9999967567535981, 0.5518600932974925, 3.7724881832101314e-06, 0.7153007723585652, 0.78568554241672, 0.9999967567535981, 1.022104063903184e-08, 0.9864701486251408, 0.036291874131719526, 2.0674836925593025e-07, 0.9620272956992489, 1.881145667554177e-08, 2.200543427826558e-05, 2.791259179840855e-06, 0.2141667385335002, 0.9999967567535981]",5,train,3
0.98,49,0,0,1,50,48,1,1,1,0,0,0,48,1,1,1,0,0,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[0.9999645029417671, 0.9998961058379596, 0.9998961058379596, 0.9999895700223391, 0.9999967567535981, 0.9998961058379596, 0.9998961058379596, 0.9998966041685319, 0.9999967567535981, 0.9999967567535981, 0.9998961058379596, 0.9998961058379596, 0.9999895700223391, 0.9999964366550013, 0.9999646732157577, 0.9999895700223391, 0.9998961058379596, 0.9989709199893445, 0.9998961058379596, 0.9998961058379596, 0.9998961058379596, 0.9999895700223391, 0.9999895700223391, 0.9999967567535981, 0.9998961058379596, 0.9739735942796715, 0.9999895700223391, 0.9998961058379596, 0.9999645029417671, 0.9999895700223391, 0.9998961058379596, 0.9994689981670465, 0.9998966041685319, 0.9999895700223391, 0.9999964366550013, 0.9998961058379596, 0.9999895700223391, 0.9998961058379596, 0.9999895700223391, 0.9999895700223391, 0.9998961058379596, 0.9999895700223391, 0.9999895700223391, 0.9998966041685319, 0.9999676915828559, 0.9998966041685319, 0.9999895700223391, 0.9999895700223391, 0.9999988919677931, 0.011574474246997113]",6,train,9
0.8,40,0,0,10,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[0.9999988919677931, 0.9878166121718408, 0.9999988919677931, 0.6677376378649063, 0.9999988919677931, 0.9999988919677931, 0.036291874131719526, 0.9999967567535981, 0.9994703397773302, 0.9999890147960833, 0.9999988919677931, 0.9999988919677931, 0.46707937996918053, 0.036291874131719526, 0.9999890147960833, 0.9999967567535981, 0.9878166121718408, 0.9999988919677931, 0.46707937996918053, 0.9922621668525519, 0.9878166121718408, 0.9999890147960833, 0.9999988919677931, 0.08122286777489321, 0.9878166121718408, 0.9994703397773302, 0.036291874131719526, 0.9878166121718408, 0.9999890147960833, 0.9999988919677931, 0.9999967567535981, 0.9999988919677931, 0.036291874131719526, 0.9878166121718408, 0.9999988919677931, 0.9999988919677931, 0.9999988919677931, 0.9978584334796853, 0.9994703397773302, 0.036291874131719526, 0.9994703397773302, 0.9878166121718408, 0.9994703397773302, 0.9994703397773302, 0.9999988919677931, 0.9994703397773302, 0.9994703397773302, 0.9999988919677931, 0.036291874131719526, 0.1328818514528953]",7,train,9
0.34,8,9,33,0,50,22,0,1,0,0,0,1,22,1,0,0,0,1,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[3.640503026452267e-05, 0.9555987753954958, 0.9995470106329313, 0.9992862343377645, 0.9999514623007384, 0.13290877797496872, 0.9614038980387305, 0.9695033893276231, 0.9984547624877509, 0.07722299719995634, 0.992968286732465, 0.9900331281422268, 0.9999514623007384, 0.934102538238048, 0.04142333135726471, 0.9999542906650011, 0.9995470106329313, 0.6835834140828315, 0.9999514623007384, 0.9992862343377645, 0.9995247865093467, 0.17891960493429893, 0.9999967567535981, 0.0001170665763217199, 0.9999967567535981, 0.9555987753954958, 0.604272850224868, 0.9777334564895893, 0.6974403786531749, 0.9984733544120528, 0.999843922955563, 0.9989709199893445, 0.07722299719995634, 0.8747048217139769, 0.007248114069798191, 0.026304570626888527, 0.9999967567535981, 0.9992862343377645, 0.9998961058379596, 0.9857576076113532, 0.9984733544120528, 0.999843922955563, 0.9857576076113532, 0.934102538238048, 0.8747048217139769, 0.9989709199893445, 0.9991666066902836, 0.9905198089415276, 0.9993500109107425, 0.9984733544120528]",8,train,1
0.98,45,4,1,0,50,21,1,1,1,0,0,0,21,1,1,1,0,0,0,"(array([0.82900482, 0.98715997, 0.86680984, 0.87575954, 0.39378363,
       0.45991388, 0.92434561, 0.87597913, 0.73585504, 0.94721866,
       0.93270415, 0.97854382, 0.90284449]), array([0.74897254, 0.54651749, 0.61336935, 0.69037658, 0.81379086,
       0.78729773, 0.62181455, 0.68637431, 0.78186339, 0.60077393,
       0.62016189, 0.55888128, 0.65470475]), array([0.24258325, 0.44011423, 0.3757754 , 0.29975721, 0.17764343,
       0.20447963, 0.36668763, 0.3037205 , 0.20986871, 0.38718429,
       0.36822075, 0.42805746, 0.33463663]), array([0.18160121, 0.02297023, 0.14271103, 0.13476662, 0.61630094,
       0.55062878, 0.08590366, 0.13452879, 0.27518648, 0.06315087,
       0.07765934, 0.03166753, 0.10769294]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'QRM (8B)']","[0.008330450899746175, 0.9999895700223391, 0.9998966041685319, 0.9999895700223391, 0.9999895700223391, 0.9998961058379596, 0.9985376742614205, 0.9999895700223391, 0.6964247270105679, 0.9999895700223391, 0.9998961058379596, 0.9984473257918074, 0.07722299719995634, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9985376742614205, 0.9999514623007384, 0.9999967567535981, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9999967567535981, 9.952655557193149e-06, 0.9998966041685319, 0.9998966041685319, 0.9998961058379596, 0.9998966041685319, 0.9999895700223391, 0.9998966041685319, 0.009258729468589159, 0.9998966041685319, 0.9998966041685319, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9998966041685319, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9999895700223391, 0.9998961058379596, 0.9998530168770472, 0.9998966041685319, 0.9999678465619117]",9,train,9
