sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.92,0,46,4,0,50,25,0,0,0,0,1,0,8,0,1,0,1,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.7199504660841761, 0.1079212435323642, 0.00035252033254108223, 0.006246342312396106, 0.010867591109611939, 0.00035252033254108223, 0.467445520863165, 0.1079212435323642, 1.8840116372539113e-07, 0.006741496146503505, 0.1079212435323642, 0.0002655018095197363, 8.523884226804584e-06, 0.1079212435323642, 0.002915678131326544, 0.0001519095267162831, 0.0002655018095197363, 0.006741496146503505, 0.0001519095267162831, 0.1079212435323642, 0.1079212435323642, 0.1079212435323642, 0.006246342312396106, 0.006741496146503505, 0.1079212435323642, 0.8042717323671071, 0.1079212435323642, 0.006246342312396106, 0.1079212435323642, 0.6804263289015943, 0.006246342312396106, 0.7199504660841761, 0.00016403129116300015, 0.006246342312396106, 0.07382998686288962, 0.0005705245129179666, 0.00035252033254108223, 0.1079212435323642, 0.1079212435323642, 3.202569044902122e-05, 0.007438047352621678, 0.1079212435323642, 0.05850458726572945, 0.1079212435323642, 0.002915678131326544, 0.1079212435323642, 0.002915678131326544, 0.006246342312396106, 0.006741496146503505, 1.4899324913581709e-05]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.9999997345162953, 0.9999979367986589, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999986924599998, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999998812508214, 0.9999997345162953, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999986924599998, 0.9823689431395877, 0.9999998812508214, 0.9999998812508214, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999998812508214, 0.9999997345162953, 0.9999997345162953, 0.9999998812508214, 0.9999998812508214, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999970767793334, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999995902985473, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953]",1,train,9
0.98,49,0,0,1,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9977253442997371, 0.9999997345162953, 0.0008617940788655251, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999997345162953, 0.9999970767793334, 0.9999997345162953, 0.9998721091792104, 0.9999997345162953, 0.9999997345162953]",2,train,9
0.7,35,0,0,15,50,43,1,1,1,0,0,0,43,1,1,1,0,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.025848922670522346, 0.9999980738044932, 0.9999970767793334, 0.9999899145447793, 0.9999990840440199, 0.0012227411948074732, 0.9999997345162953, 0.9987295373118205, 0.016329921743586762, 0.9999990840440199, 0.9999268302915404, 0.9999980738044932, 0.4640750460295509, 0.9977253442997371, 0.0012227411948074732, 0.002729519373769611, 0.0008617940788655251, 0.9999661005342032, 0.12238227273150344, 0.000982426470196651, 0.023020153055834002, 0.9999990840440199, 0.9999997345162953, 0.9999997345162953, 0.9947362058466553, 0.9999886423499408, 0.9999991384241654, 6.955515379428556e-05, 0.023020153055834002, 0.99994701930706, 0.9999995902985473, 0.9999967080368067, 0.9977539224897826, 0.9999997345162953, 0.9996314326086774, 0.9999899145447793, 0.9750279137839867, 0.004761373580356019, 0.9999761158799698, 0.0012227411948074732, 0.9725073887656097, 0.9999997345162953, 0.9999858607541283, 0.9999998812508214, 0.9999995902985473, 0.4936214100006419, 0.9999970767793334, 0.9985517831369193, 0.9999997345162953, 0.9999990840440199]",3,train,9
0.6,22,8,7,13,50,28,1,1,1,0,0,0,14,0,1,0,1,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.001376769049034107, 0.9999990840440199, 0.9999927894079528, 0.9999485545581095, 0.9586038801142707, 0.6777389668211564, 0.9998001459346434, 0.9998027034168093, 0.9999019897994116, 0.0019246359510606003, 0.9999838796534398, 0.9999953275750924, 0.014953438673833603, 0.9998027034168093, 2.348999241801026e-07, 0.0008617940788655251, 0.9999176012076386, 0.0013370116185643457, 2.6634828822288873e-06, 0.9999954888153076, 0.22611019437060678, 0.9966023815552909, 0.9999995902985473, 0.9998225282716707, 0.03445456000609104, 0.016329921743586762, 0.9996619320383178, 0.9999995902985473, 0.9999997345162953, 0.0019246359510606003, 0.0747697082822016, 0.004592988346898937, 0.9999838796534398, 4.111408201188664e-05, 0.9260392771047812, 0.9999838796534398, 0.9998830517305524, 0.03445456000609104, 0.9999995902985473, 0.016329921743586762, 0.0008617940788655251, 0.9999997345162953, 8.784463063112941e-05, 0.9999953275750924, 3.6260917683462587e-06, 0.22611019437060678, 0.6988605638876253, 0.002135351396420883, 0.9999997345162953, 0.9999995902985473]",4,train,6
0.72,35,1,5,9,50,32,1,1,1,0,0,0,32,1,1,1,0,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.9985517831369193, 0.9999990840440199, 0.9999491850247504, 0.9999491850247504, 0.6734058316145456, 0.9999886423499408, 0.0045787189448828385, 0.0004614768344962832, 0.9999491850247504, 0.052480782870393664, 0.9999491850247504, 0.9875129865798468, 0.9999967080368067, 2.3987403877272225e-05, 0.9999967080368067, 0.9999837868677174, 0.9725073887656097, 0.006246342312396106, 0.9985333416834449, 0.9999967080368067, 0.999080285836209, 0.9999491850247504, 0.8777839399835322, 0.999998527523262, 0.9980731936008727, 0.048206403206350404, 0.9751152004868303, 0.9994407632133575, 0.9998749556734211, 0.9999967080368067, 0.9999491850247504, 0.9903717192662445, 0.9999995902985473, 0.9993434408981655, 0.9999491850247504, 0.9999491850247504, 0.9999967080368067, 0.9876682843761473, 0.9985333416834449, 0.00020646829541156797, 0.9928178655820903, 0.9725073887656097, 0.9985333416834449, 0.014953438673833603, 0.9999491850247504, 0.048206403206350404, 0.9875129865798468, 0.999824702926437, 0.010178905635250242, 0.9999967080368067]",5,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.9999998812508214, 0.9989812803178033, 0.7800258464140256, 0.9999997345162953, 0.9999998812508214, 0.9999997345162953, 0.99994701930706, 0.9999998812508214, 0.9999970767793334, 0.8349901214018898, 0.99994701930706, 0.9998612380188155, 0.9999998812508214, 0.99994701930706, 0.9999998812508214, 0.9989812803178033, 0.99994701930706, 0.9999998812508214, 0.9999998812508214, 0.9999998812508214, 0.9999998812508214, 0.9999998812508214, 0.9999998812508214, 0.5840381326737512, 0.9999998812508214, 0.9999998812508214, 0.9999986924599998, 0.9999998812508214, 0.9989812803178033, 0.9999998812508214, 0.9999998812508214, 0.9999998812508214, 0.9643158847525115, 0.9999998812508214, 0.99994701930706, 0.9999998812508214, 0.9999997345162953, 0.9999998812508214, 0.9999997345162953, 0.9999997345162953, 0.9999986924599998, 0.9999998812508214, 0.9999998812508214, 0.99994701930706, 0.9999998812508214, 0.9724242294219956, 0.9999986924599998, 0.9999998812508214, 0.9999998812508214, 0.9999998812508214]",6,train,9
0.82,38,3,5,4,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.9999995902985473, 0.9999990840440199, 0.9999954888153076, 0.9999990840440199, 0.9973448121593486, 0.9999998812508214, 0.998127817773287, 0.999824702926437, 0.9999995902985473, 5.471235989055371e-05, 0.9998001459346434, 0.9989812803178033, 0.8867924904493939, 0.9999986924599998, 0.9595193805644561, 0.016329921743586762, 0.9999995902985473, 0.9999990840440199, 0.9765809144199776, 0.9998815605118722, 0.9999928816976357, 0.9977253442997371, 0.0017439815677206079, 0.998127817773287, 0.9999840859788813, 0.999824702926437, 0.9999995902985473, 0.9999990840440199, 0.9999995902985473, 0.9999995902985473, 0.004141520137105014, 0.05939740074620332, 0.9999949197639576, 0.9999769881289088, 0.9999995902985473, 0.9999995902985473, 0.00014999309657280367, 0.9986216774894575, 0.9999928816976357, 0.9158526879814788, 0.9999995902985473, 0.9999927894079528, 0.9999899145447793, 0.9997199912561805, 0.9887260606300022, 0.9999990840440199, 0.9999840859788813, 0.9977253442997371, 0.9999954888153076, 0.0012227411948074732]",7,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.9999998812508214, 0.9999997345162953, 0.9999998812508214, 0.9999769881289088, 0.9999998812508214, 0.9999998812508214, 0.9999986924599998, 0.9999997345162953, 0.9999970767793334, 0.9999998812508214, 0.9999997345162953, 0.9999986924599998, 0.9999997345162953, 0.9999979100488579, 0.9999997345162953, 0.9999998812508214, 0.9989812803178033, 0.9999986924599998, 0.9999997345162953, 0.9999970767793334, 0.9999998812508214, 0.9999998812508214, 0.9999997345162953, 0.9999970767793334, 0.9999986924599998, 0.9999997345162953, 0.9999998812508214, 0.9999997345162953, 0.9999998812508214, 0.9999998812508214, 0.9999997345162953, 0.9999998812508214, 0.9999998812508214, 0.9999997345162953, 0.9999997345162953, 0.9750279137839867, 0.9999970767793334, 0.9999998812508214, 0.9999998812508214, 0.9999997345162953, 0.9999998812508214, 0.9999998812508214, 0.9999997345162953, 0.9999998812508214, 0.9989812803178033, 0.9999998812508214, 0.9999997345162953, 0.9999953275750924, 0.9999998812508214, 0.9999970767793334]",8,train,9
0.68,26,8,0,16,50,26,1,1,1,0,0,0,28,0,1,0,1,0,0,"(array([0.78624892, 0.95355755, 0.85373634, 0.86450416, 0.43841642,
       0.34909987, 0.86180294, 0.86461848, 0.64974695, 0.91224569,
       0.92429435, 0.94398206, 0.97508264, 0.87412614]), array([0.77193886, 0.6067403 , 0.65812004, 0.73654968, 0.81093502,
       0.80191547, 0.71726722, 0.73896664, 0.79392391, 0.66232175,
       0.65134871, 0.62356073, 0.57522666, 0.72605228]), array([0.22027023, 0.38154829, 0.33243746, 0.25504932, 0.18087801,
       0.19006602, 0.27405855, 0.25270939, 0.19801252, 0.32745185,
       0.33802167, 0.36514977, 0.41220272, 0.26532519]), array([0.22221263, 0.05452877, 0.15349494, 0.14369218, 0.56970507,
       0.65881956, 0.14611278, 0.14365529, 0.3590602 , 0.09586866,
       0.08381376, 0.06418463, 0.03289073, 0.13420039]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'DeepSeekLlama (70B)', 'EurusPRMStage2_min_scores (7.62B)', 'EurusPRMStage1_min_scores (7.62B)', 'QRM (8B)']","[0.016329921743586762, 0.0001575045002771557, 0.9999995902985473, 0.00017727146558338503, 0.5840381326737512, 0.0012227411948074732, 0.9458418735676642, 0.1079212435323642, 0.9990683726497401, 0.9999980738044932, 0.032824412306459404, 0.9999990840440199, 0.9999954888153076, 0.9999990840440199, 0.9999990840440199, 0.9999990840440199, 0.9771159158514829, 0.0021937163926667234, 0.0028695088720671552, 3.6260917683462587e-06, 0.9999990840440199, 3.3158020664260328e-06, 0.00012490321659997712, 0.9999990840440199, 0.467445520863165, 0.1079212435323642, 0.9999998812508214, 0.9999998812508214, 1.220467644526652e-08, 0.0001656043753243081, 0.9999990840440199, 3.6260917683462587e-06, 0.9999990840440199, 0.9999990840440199, 3.63598965637272e-07, 1.220467644526652e-08, 0.9999997345162953, 0.9999970767793334, 0.9758124143722304, 0.023020153055834002, 0.9999986924599998, 0.38576069174966626, 0.38576069174966626, 6.955515379428556e-05, 0.9999995902985473, 0.9999995902985473, 0.9888961668892475, 0.4936214100006419, 0.9999995902985473, 0.0539591818084837]",9,train,8
