sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.8071492673631151, 0.991757558608183, 0.9454790318327518, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.9463461634729557, 0.991757558608183, 0.9667108489451967, 0.991757558608183, 0.9463461634729557, 0.9454790318327518, 0.8071492673631151, 0.9463461634729557, 0.9667108489451967, 0.9667108489451967, 0.7176794107368212, 0.9667108489451967, 0.8071492673631151, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.991757558608183, 0.9667108489451967, 0.9454790318327518, 0.9463461634729557, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.9454790318327518, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.8071492673631151, 0.9667108489451967, 0.6786393885065776, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.9667108489451967, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.9667108489451967]",0,train,9
0.92,46,0,0,4,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.776630690104089, 0.3338245955718773, 0.991757558608183, 0.6749318563895249, 0.935090701773108, 0.991757558608183, 0.935090701773108, 0.9454790318327518, 0.991757558608183, 0.776630690104089, 0.935090701773108, 0.776630690104089, 0.38023885954412995, 0.991757558608183, 0.935090701773108, 0.991757558608183, 0.991757558608183, 0.776630690104089, 0.9454790318327518, 0.991757558608183, 0.935090701773108, 0.6749318563895249, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.935090701773108, 0.9667108489451967, 0.935090701773108, 0.935090701773108, 0.935090701773108, 0.935090701773108, 0.9463461634729557, 0.3376043895347398, 0.9667108489451967, 0.935090701773108, 0.776630690104089, 0.935090701773108, 0.6749318563895249, 0.991757558608183, 0.9454790318327518, 0.776630690104089, 0.935090701773108, 0.935090701773108, 0.3338245955718773, 0.776630690104089, 0.9667108489451967, 0.935090701773108, 0.935090701773108, 0.6749318563895249, 0.776630690104089]",1,train,9
1.0,50,0,0,0,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.8071492673631151, 0.9667108489451967, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.8071492673631151, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.8071492673631151, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.9454790318327518, 0.8071492673631151, 0.9667108489451967, 0.8071492673631151, 0.9463461634729557, 0.8071492673631151, 0.8071492673631151, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967]",2,train,9
0.56,22,6,17,5,50,4,1,1,1,0,0,0,4,1,1,1,0,0,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.3338245955718773, 0.9667108489451967, 0.9667108489451967, 0.776630690104089, 0.991757558608183, 0.3376043895347398, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.3376043895347398, 0.9667108489451967, 0.3376043895347398, 0.3376043895347398, 0.9667108489451967, 0.776630690104089, 0.776630690104089, 0.3338245955718773, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.3376043895347398, 0.776630690104089, 0.9667108489451967, 0.776630690104089, 0.3338245955718773, 0.3338245955718773, 0.9454790318327518, 0.9667108489451967, 0.9667108489451967, 0.776630690104089, 0.9667108489451967, 0.9667108489451967, 0.3338245955718773, 0.776630690104089, 0.3376043895347398, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.8071492673631151, 0.776630690104089, 0.9667108489451967, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.9667108489451967, 0.8097738271897883]",3,train,5
0.86,43,0,6,1,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9667108489451967, 0.9463461634729557, 0.991757558608183, 0.9667108489451967, 0.9463461634729557, 0.9463461634729557, 0.991757558608183, 0.991757558608183, 0.8097738271897883, 0.8097738271897883, 0.8097738271897883, 0.9463461634729557, 0.991757558608183, 0.991757558608183, 0.9667108489451967, 0.9463461634729557, 0.9463461634729557, 0.8097738271897883, 0.8097738271897883, 0.8097738271897883, 0.9454790318327518, 0.9463461634729557, 0.991757558608183, 0.9463461634729557, 0.9463461634729557, 0.9463461634729557, 0.6786393885065776, 0.8097738271897883, 0.9463461634729557, 0.9463461634729557, 0.9463461634729557, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.38023885954412995, 0.8097738271897883, 0.991757558608183, 0.9463461634729557, 0.991757558608183, 0.9667108489451967, 0.8071492673631151, 0.9463461634729557, 0.8097738271897883, 0.9463461634729557, 0.9463461634729557, 0.9667108489451967, 0.776630690104089, 0.8097738271897883, 0.9667108489451967, 0.8071492673631151]",4,train,8
0.6,17,13,20,0,50,9,1,1,1,0,0,0,9,1,1,1,0,0,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.6749318563895249, 0.776630690104089, 0.935090701773108, 0.3376043895347398, 0.776630690104089, 0.3376043895347398, 0.935090701773108, 0.9667108489451967, 0.776630690104089, 0.991757558608183, 0.991757558608183, 0.3376043895347398, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.9667108489451967, 0.776630690104089, 0.3376043895347398, 0.3376043895347398, 0.935090701773108, 0.991757558608183, 0.3376043895347398, 0.776630690104089, 0.776630690104089, 0.776630690104089, 0.9454790318327518, 0.991757558608183, 0.776630690104089, 0.991757558608183, 0.9667108489451967, 0.3376043895347398, 0.991757558608183, 0.9463461634729557, 0.776630690104089, 0.991757558608183, 0.776630690104089, 0.3376043895347398, 0.3338245955718773, 0.776630690104089, 0.991757558608183, 0.3376043895347398, 0.776630690104089, 0.9463461634729557, 0.3376043895347398, 0.776630690104089, 0.06842974815403297, 0.776630690104089, 0.3376043895347398, 0.8097738271897883, 0.991757558608183]",5,train,3
1.0,50,0,0,0,50,4,1,1,1,0,0,0,4,1,1,1,0,0,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.991757558608183, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.9667108489451967, 0.776630690104089, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.991757558608183, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.8097738271897883]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.9463461634729557, 0.991757558608183, 0.991757558608183, 0.9454790318327518, 0.991757558608183, 0.991757558608183, 0.9463461634729557, 0.9463461634729557, 0.9454790318327518, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.9463461634729557, 0.991757558608183, 0.991757558608183, 0.9454790318327518, 0.991757558608183, 0.7176794107368212, 0.991757558608183, 0.991757558608183, 0.9463461634729557, 0.991757558608183, 0.9454790318327518, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.9463461634729557, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.9463461634729557, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.9463461634729557, 0.7176794107368212]",7,train,9
0.2,8,2,40,0,50,3,0,1,0,0,0,1,3,1,0,0,0,1,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.3338245955718773, 0.9667108489451967, 0.6749318563895249, 0.991757558608183, 0.991757558608183, 0.776630690104089, 0.776630690104089, 0.9667108489451967, 0.8071492673631151, 0.776630690104089, 0.9454790318327518, 0.935090701773108, 0.991757558608183, 0.9454790318327518, 0.6749318563895249, 0.935090701773108, 0.6749318563895249, 0.9667108489451967, 0.991757558608183, 0.991757558608183, 0.991757558608183, 0.8071492673631151, 0.991757558608183, 0.6749318563895249, 0.991757558608183, 0.9667108489451967, 0.776630690104089, 0.8071492673631151, 0.3338245955718773, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.776630690104089, 0.9454790318327518, 0.776630690104089, 0.935090701773108, 0.991757558608183, 0.991757558608183, 0.9667108489451967, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.9454790318327518, 0.9454790318327518, 0.8071492673631151, 0.935090701773108, 0.9454790318327518, 0.9454790318327518, 0.9667108489451967]",8,train,1
0.9,45,0,5,0,50,20,1,1,1,0,0,0,20,1,1,1,0,0,0,"(array([0.7437607 , 0.79507762, 0.84353524, 0.53110498]), array([0.74207157, 0.64113617, 0.55739039, 0.78190154]), array([0.25106889, 0.34918556, 0.4302153 , 0.20996   ]), array([0.26319841, 0.2103983 , 0.16020514, 0.47735348]))","['QwenPRM_min_scores (7.63B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.776630690104089, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.776630690104089, 0.9667108489451967, 0.776630690104089, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.776630690104089, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.776630690104089, 0.991757558608183, 0.991757558608183, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.991757558608183, 0.776630690104089, 0.8071492673631151, 0.8071492673631151, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.8071492673631151, 0.776630690104089, 0.8071492673631151, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.8071492673631151, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.9667108489451967, 0.776630690104089, 0.8071492673631151, 0.9454790318327518]",9,train,9
