sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
1.0,0,50,0,0,50,29,0,0,0,0,1,0,4,0,1,0,1,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.015805054920115656, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 4.792447732107124e-05, 0.0005761905384986252, 0.005402161322911808, 0.0005761905384986252, 0.0007245331413100042, 0.0005761905384986252, 0.0005761905384986252, 0.001333205991297817, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 0.015805054920115656, 4.792447732107124e-05, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 0.015805054920115656, 0.02313186598078223, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 0.22169773298930606, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 0.00045132122198011194, 4.792447732107124e-05, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 4.792447732107124e-05, 0.0005761905384986252, 0.0005761905384986252, 0.015805054920115656, 0.0005761905384986252, 0.015805054920115656, 0.015805054920115656, 0.0005761905384986252, 0.0005761905384986252, 0.0005761905384986252, 4.792447732107124e-05]",0,train,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999846177390842, 0.9998877936954934, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9999294673114243, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999941361845572, 0.9999846177390842, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999294673114243, 0.9948932660743198, 0.9999941361845572, 0.9999941361845572, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9999941361845572, 0.9999846177390842, 0.9999846177390842, 0.9999941361845572, 0.9999941361845572, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9998149944606786, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9999692849154618, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842]",1,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9992414519120785, 0.9999846177390842, 0.8325969804214457, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9999846177390842, 0.9998149944606786, 0.9999846177390842, 0.9992414519120785, 0.9999846177390842, 0.9999846177390842]",2,train,9
0.92,46,0,0,4,50,43,1,1,1,0,0,0,43,1,1,1,0,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.880007285489171, 0.9998551002862702, 0.9998149944606786, 0.9990316629383195, 0.9999194298677336, 0.19751175225262718, 0.9999846177390842, 0.8449912837859199, 0.8325969804214457, 0.9999194298677336, 0.9909509483718997, 0.9998551002862702, 0.8523174894573575, 0.9992414519120785, 0.19751175225262718, 0.947325260753038, 0.8325969804214457, 0.997436026164208, 0.5202961030045837, 0.8244939296365162, 0.8727041278035179, 0.9999194298677336, 0.9999846177390842, 0.9995717086947697, 0.9992414519120785, 0.9989642000007019, 0.9999447588825706, 0.2787618426705315, 0.8727041278035179, 0.9997107036171208, 0.9999692849154618, 0.9998020945250345, 0.9867137646725986, 0.9999846177390842, 0.9661644885061539, 0.9990316629383195, 0.9997107036171208, 0.5992079627952006, 0.9981386063524345, 0.19751175225262718, 0.9903259627873809, 0.9999846177390842, 0.9984891313405446, 0.9999941361845572, 0.9999692849154618, 0.8727041278035179, 0.9998149944606786, 0.8523174894573575, 0.9999846177390842, 0.9999194298677336]",3,train,9
0.8,33,7,8,2,50,28,1,1,1,0,0,0,28,1,1,1,0,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.880007285489171, 0.9999194298677336, 0.9994554640226433, 0.9967285516888224, 0.7951098650013042, 0.24391498910497575, 0.9819403566780864, 0.9805430044158516, 0.9997057054782778, 0.9288111676108983, 0.9985727932993781, 0.9997272238154916, 0.9887918162652668, 0.9805430044158516, 0.0010743118310736859, 0.8325969804214457, 0.9903259627873809, 0.2787618426705315, 0.1970952632928518, 0.9996306459642537, 0.9887918162652668, 0.9903259627873809, 0.9999692849154618, 0.9830978433559281, 0.8325969804214457, 0.8325969804214457, 0.998460346322067, 0.9999692849154618, 0.9999846177390842, 0.9288111676108983, 0.9236227303419314, 0.024911721261403768, 0.9985727932993781, 0.821742004546124, 0.8102231749561056, 0.9617130217674307, 0.9867137646725986, 0.8325969804214457, 0.9999692849154618, 0.8325969804214457, 0.8325969804214457, 0.9999846177390842, 0.018719253782432256, 0.9997272238154916, 0.019796469311587368, 0.9887918162652668, 0.23507932364312134, 0.3630251758488134, 0.9999846177390842, 0.9999692849154618]",4,train,6
0.82,39,2,4,5,50,32,1,1,1,0,0,0,32,1,1,1,0,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.8523174894573575, 0.9999194298677336, 0.9962965482246093, 0.9962965482246093, 0.23169753246076555, 0.9989642000007019, 0.3630251758488134, 0.002813310483079797, 0.9962965482246093, 0.2787618426705315, 0.9962965482246093, 0.996290021823495, 0.9998020945250345, 0.002813310483079797, 0.9998020945250345, 0.9990931322497517, 0.9903259627873809, 0.015805054920115656, 0.9903259627873809, 0.9998020945250345, 0.9944925148689467, 0.9962965482246093, 0.9571261023675592, 0.9999245486555516, 0.8102231749561056, 0.8727041278035179, 0.842499360446579, 0.9571985641122756, 0.9876808470862186, 0.9998020945250345, 0.9962965482246093, 0.5388699529327348, 0.9999692849154618, 0.996290021823495, 0.9962965482246093, 0.9962965482246093, 0.9998020945250345, 0.9380408564038563, 0.9903259627873809, 0.0010743118310736859, 0.9571261023675592, 0.9903259627873809, 0.9903259627873809, 0.9887918162652668, 0.9962965482246093, 0.8727041278035179, 0.996290021823495, 0.9809003601878864, 0.5992079627952006, 0.9998020945250345]",5,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999941361845572, 0.9997107036171208, 0.9965310524780223, 0.9999846177390842, 0.9999941361845572, 0.9999846177390842, 0.9997107036171208, 0.9999941361845572, 0.9998149944606786, 0.9418453344833194, 0.9997107036171208, 0.9994554640226433, 0.9999941361845572, 0.9997107036171208, 0.9999941361845572, 0.9997107036171208, 0.9997107036171208, 0.9999941361845572, 0.9999941361845572, 0.9999941361845572, 0.9999941361845572, 0.9999941361845572, 0.9999941361845572, 0.9956975700210483, 0.9999941361845572, 0.9999941361845572, 0.9999294673114243, 0.9999941361845572, 0.9997107036171208, 0.9999941361845572, 0.9999941361845572, 0.9999941361845572, 0.9956975700210483, 0.9999941361845572, 0.9997107036171208, 0.9999941361845572, 0.9999846177390842, 0.9999941361845572, 0.9999846177390842, 0.9999846177390842, 0.9999294673114243, 0.9999941361845572, 0.9999941361845572, 0.9997107036171208, 0.9999941361845572, 0.9956975700210483, 0.9999294673114243, 0.9999941361845572, 0.9999941361845572, 0.9999941361845572]",6,train,9
0.84,39,3,5,3,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999692849154618, 0.9999194298677336, 0.9996306459642537, 0.9999194298677336, 0.9896809081634842, 0.9999941361845572, 0.9924925512496897, 0.9809003601878864, 0.9999692849154618, 0.00023447746772074798, 0.9819403566780864, 0.9997107036171208, 0.7432839086854558, 0.9999294673114243, 0.9997107036171208, 0.8325969804214457, 0.9999692849154618, 0.9999194298677336, 0.2841204328468106, 0.9992414519120785, 0.9994125201256397, 0.9992414519120785, 0.2787618426705315, 0.9924925512496897, 0.998460346322067, 0.9809003601878864, 0.9999692849154618, 0.9999194298677336, 0.9999692849154618, 0.9999692849154618, 0.40538532825645285, 0.26743785503734063, 0.9996048969864308, 0.966322511657996, 0.9999692849154618, 0.9999692849154618, 0.019796469311587368, 0.8836575183994214, 0.9994125201256397, 0.660656098074944, 0.9999692849154618, 0.9994554640226433, 0.9990316629383195, 0.9733761414820084, 0.998798276495585, 0.9999194298677336, 0.998460346322067, 0.9992414519120785, 0.9996306459642537, 0.8727041278035179]",7,train,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.9999941361845572, 0.9999846177390842, 0.9999941361845572, 0.9987503853468499, 0.9999941361845572, 0.9999941361845572, 0.9999294673114243, 0.9999846177390842, 0.9998149944606786, 0.9999941361845572, 0.9999846177390842, 0.9999294673114243, 0.9999846177390842, 0.9998959994232198, 0.9999846177390842, 0.9999941361845572, 0.9997107036171208, 0.9999294673114243, 0.9999846177390842, 0.9998149944606786, 0.9999941361845572, 0.9999941361845572, 0.9999846177390842, 0.9998149944606786, 0.9999294673114243, 0.9999846177390842, 0.9999941361845572, 0.9999846177390842, 0.9999941361845572, 0.9999941361845572, 0.9999846177390842, 0.9999941361845572, 0.9999941361845572, 0.9999846177390842, 0.9999846177390842, 0.9997107036171208, 0.9998149944606786, 0.9999941361845572, 0.9999941361845572, 0.9999846177390842, 0.9999941361845572, 0.9999941361845572, 0.9999846177390842, 0.9999941361845572, 0.9997107036171208, 0.9999941361845572, 0.9999846177390842, 0.9997272238154916, 0.9999941361845572, 0.9998149944606786]",8,train,9
0.86,35,8,0,7,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.79137266, 0.89777201, 0.88071889, 0.89938939, 0.56498569,
       0.39481893, 0.95823216, 0.90132296, 0.84855908, 0.72216016]), array([0.77445054, 0.64002526, 0.6273548 , 0.69300109, 0.79862666,
       0.79692268, 0.58344418, 0.68448931, 0.76484382, 0.78378886]), array([0.21841037, 0.34997907, 0.3626923 , 0.29806128, 0.19375667,
       0.1954499 , 0.40467316, 0.30638179, 0.22818126, 0.20890526]), array([0.21806429, 0.10995207, 0.1266409 , 0.10926799, 0.44457227,
       0.61366969, 0.04959834, 0.10722841, 0.1603529 , 0.28759387]))","['QwenPRM_min_scores (7.63B)', 'EurusPRMStage2_avg_scores (7.62B)', 'GPM (8B)', 'DeepSeekQwen (32B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_max_scores (7.63B)', 'QwenPRM_avg_scores (7.63B)', 'Qwen72B_scores (72B)', 'Skyworks (8B)']","[0.8325969804214457, 0.48447035912440783, 0.9999692849154618, 0.4891924409136954, 0.9956975700210483, 0.8727041278035179, 0.9992414519120785, 0.0005761905384986252, 0.9948932660743198, 0.9998551002862702, 0.9956975700210483, 0.9999194298677336, 0.9996306459642537, 0.9999194298677336, 0.9999194298677336, 0.9999194298677336, 0.9948932660743198, 0.9249454883344876, 0.2787618426705315, 0.0007245331413100042, 0.9977605887134187, 0.2637510711291268, 0.4099495439027426, 0.9999194298677336, 0.005402161322911808, 0.015805054920115656, 0.9999941361845572, 0.9999941361845572, 0.0010743118310736859, 0.019796469311587368, 0.9999194298677336, 0.019796469311587368, 0.9999194298677336, 0.9999194298677336, 6.0271031199986286e-05, 0.0010743118310736859, 0.9999846177390842, 0.9998149944606786, 0.8606034380079969, 0.8727041278035179, 0.9999294673114243, 0.9887918162652668, 0.9887918162652668, 0.2787618426705315, 0.9999692849154618, 0.9999692849154618, 0.9965310524780223, 0.8727041278035179, 0.9999692849154618, 0.880007285489171]",9,train,8
