sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,problem,set,difficulty
0.96,48,0,0,2,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[0.9999226227572314, 0.9896018039175913, 0.9031200423232139, 0.9999304933736318, 0.9999924202893223, 0.9995002331395669, 0.6866806616566464, 0.9999977142210121, 0.9999924202893223, 0.9999790382951403, 0.9787484552546439, 0.9999766645580844, 0.9999226227572314, 0.0979628015046841, 0.9999924202893223, 0.9999924202893223, 0.17673291240946762, 0.9999924202893223, 0.9999226227572314, 0.9999849707052413, 0.9999924202893223, 0.9999924202893223, 0.9925563559050288, 0.9999977142210121, 0.9999304933736318, 0.9031200423232139, 0.6866806616566464, 0.9999790382951403, 0.9999924202893223, 0.9999924202893223, 0.9999766645580844, 0.9999924202893223, 0.9999924202893223, 0.9999924202893223, 0.9997746315529024, 0.9999226227572314, 0.9999924202893223, 0.7623211983982245, 0.9999304933736318, 0.9999924202893223, 0.9996967894600164, 0.9999304933736318, 0.9996842662877937, 0.9999924202893223, 0.9999924202893223, 0.9999790382951403, 0.9999924202893223, 0.9999924202893223, 0.9999790382951403, 0.9999924202893223]",0,train,9
0.92,46,0,0,4,50,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[0.999921969481471, 0.9012410160121624, 0.9999983611321305, 0.9997598048143838, 0.9998363033672221, 0.9999994080018507, 0.9999764675323327, 0.9999766645580844, 0.9999983611321305, 0.999921969481471, 0.0349641405508995, 0.999921969481471, 0.060801379780128645, 0.9999849707052413, 0.9999764675323327, 0.9999983611321305, 0.9999559776411255, 0.0028217393430729084, 0.9999832687525734, 0.9999983611321305, 0.9999764675323327, 0.995394032605985, 0.9999983611321305, 0.9996842662877937, 0.9999994080018507, 0.9999764675323327, 0.9998076036277644, 0.9929529887001189, 0.9999764675323327, 0.9999764675323327, 0.9996990890165642, 0.9864706440206612, 0.0023840757982411917, 0.9999945654575676, 0.9999764675323327, 0.999921969481471, 0.999525318443761, 0.9997598048143838, 0.9999994080018507, 0.9999939562162472, 0.9984276622021605, 0.999525318443761, 0.9363120019398288, 0.9841768361828762, 0.999921969481471, 0.9999945654575676, 0.9999914993927216, 0.995485330098807, 0.9997598048143838, 0.999921969481471]",1,train,9
0.98,49,0,0,1,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[0.9999924202893223, 0.9999924202893223, 0.9999924202893223, 0.9999924202893223, 0.9999924202893223, 0.9999226227572314, 0.9999226227572314, 0.9999924202893223, 0.9999977142210121, 0.9999924202893223, 0.9999924202893223, 0.9999226227572314, 0.9999977142210121, 0.9999924202893223, 0.9999924202893223, 0.9999226227572314, 0.9999924202893223, 0.9999924202893223, 0.9999226227572314, 0.9999924202893223, 0.9999977142210121, 0.9999924202893223, 0.9999924202893223, 0.9999924202893223, 0.9999924202893223, 0.9999226227572314, 0.9999924202893223, 0.9999924202893223, 0.9999924202893223, 0.9999226227572314, 0.9999226227572314, 0.9999924202893223, 0.9999226227572314, 0.9999924202893223, 0.9999226227572314, 0.9999226227572314, 0.9999924202893223, 0.9999924202893223, 0.9999766645580844, 0.9999226227572314, 0.9999924202893223, 0.9999226227572314, 0.3620878049924507, 0.9999226227572314, 0.9999226227572314, 0.9999226227572314, 0.9999924202893223, 0.9999924202893223, 0.9999924202893223, 0.9999924202893223]",2,train,9
0.88,21,23,0,6,50,4,1,1,1,0,0,0,24,0,1,0,1,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[1.8479884818520516e-05, 0.9999790168418472, 0.9996715428758655, 0.22066168872311498, 0.9999936721448807, 0.016427547056137873, 0.058451451306221605, 0.00018192077675095717, 0.05626282577424739, 0.00018192077675095717, 0.035083382103039545, 0.05201872063533675, 0.003949051018593895, 4.6700265390592463e-07, 0.9996853779350776, 0.20032153303503908, 4.862968345258546e-07, 0.9999790168418472, 0.995501158989755, 0.00018192077675095717, 0.5178485698188622, 0.00018192077675095717, 0.0007020546709980717, 0.0016658569954597214, 5.993410976087298e-09, 0.00018192077675095717, 0.9996853779350776, 0.00018192077675095717, 1.7822254471903798e-05, 0.0013236311430411636, 0.9990319997259264, 0.993711617881801, 0.9996715428758655, 0.003492200886120147, 0.9999790168418472, 0.9999790168418472, 0.9558977011259341, 0.00018192077675095717, 2.5416561395183177e-06, 0.00018192077675095717, 0.8951654610380464, 0.9996987811350028, 0.9997858205122667, 0.0007020546709980717, 0.9995960183072661, 0.03257685344240265, 0.39340984149249697, 0.8219570702532623, 0.9998076036277644, 0.7824687206337155]",3,train,5
0.8,37,3,3,7,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[0.9999790168418472, 0.6866806616566464, 0.9999936721448807, 0.9999790168418472, 0.6866806616566464, 0.9787484552546439, 0.9999419724078216, 0.9999849707052413, 0.932834723124242, 0.042205904293502766, 0.39792295553417395, 0.6866806616566464, 0.9999977142210121, 0.9996842662877937, 0.9999790168418472, 0.034982185196313534, 0.6866806616566464, 0.39792295553417395, 0.03317696935135811, 0.029438791589477542, 0.9994079021740566, 0.3620878049924507, 0.9990921654750093, 0.6866806616566464, 0.6866806616566464, 0.6866806616566464, 0.7623211983982245, 0.932834723124242, 0.00924583762008537, 0.6866806616566464, 0.6866806616566464, 0.9996715428758655, 0.9999790168418472, 0.998912760185893, 0.576344305749208, 0.39792295553417395, 0.9896018039175913, 0.6866806616566464, 0.9896018039175913, 0.9999924202893223, 0.9997858205122667, 0.6866806616566464, 0.932834723124242, 0.6866806616566464, 0.6866806616566464, 0.9999790168418472, 0.9978083713495638, 0.0029219375399811226, 0.9999790168418472, 0.9999226227572314]",4,train,8
0.82,15,26,7,2,50,26,1,1,1,0,0,0,43,0,1,0,1,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[0.022455143487769426, 0.06605002669090278, 0.6989897676845813, 2.425734012635592e-06, 0.0026138965578027112, 3.493758048062925e-05, 0.01148739146075844, 0.9999790168418472, 0.003492200886120147, 0.9999936721448807, 0.9999419724078216, 0.004101612474402216, 0.06605002669090278, 1.9354071365679515e-05, 0.1318759866093253, 0.9998076036277644, 0.003492200886120147, 4.895012883505735e-05, 0.011780204047650322, 0.2096833251534198, 0.9999936721448807, 0.05817743350691223, 0.9667512029729911, 0.9996987811350028, 0.05201872063533675, 0.9999354015414276, 0.9999977142210121, 0.08170096172166842, 0.9999936721448807, 0.9999790168418472, 3.493758048062925e-05, 0.9999936721448807, 0.6788323371036172, 0.6064522941979889, 0.9999936721448807, 0.3252451746512188, 5.075630050718046e-05, 0.5070936749712562, 0.5821331595001005, 0.9999936721448807, 4.45703136929562e-07, 0.9667512029729911, 0.3620878049924507, 1.3059419709118083e-07, 0.9164231860591597, 2.281765946013319e-07, 0.00016673743925874954, 1.893849640551971e-06, 0.15737092934531857, 0.9999936721448807]",5,train,3
0.98,49,0,0,1,50,48,1,1,1,0,0,0,48,1,1,1,0,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[0.9999304933736318, 0.9998076036277644, 0.9998076036277644, 0.9999790168418472, 0.9999936721448807, 0.9998076036277644, 0.9998076036277644, 0.9997858205122667, 0.9999936721448807, 0.9999936721448807, 0.9998076036277644, 0.9998076036277644, 0.9999790168418472, 0.9999924202893223, 0.9999226227572314, 0.9999790168418472, 0.9963074107212285, 0.9980392645245628, 0.9998076036277644, 0.9998076036277644, 0.9998076036277644, 0.9995960183072661, 0.9999790168418472, 0.9999936721448807, 0.9998076036277644, 0.9471824800078891, 0.9999790168418472, 0.9998076036277644, 0.9999304933736318, 0.9999790168418472, 0.9998076036277644, 0.998912760185893, 0.9997858205122667, 0.9999790168418472, 0.9999924202893223, 0.9998076036277644, 0.9999790168418472, 0.9998076036277644, 0.9999790168418472, 0.9999790168418472, 0.9963074107212285, 0.9999790168418472, 0.9999790168418472, 0.9997858205122667, 0.9999419724078216, 0.9997858205122667, 0.9999790168418472, 0.9999790168418472, 0.9999977142210121, 0.39792295553417395]",6,train,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[0.9999994080018507, 0.9996842662877937, 0.9999994080018507, 0.9896018039175913, 0.9999994080018507, 0.9999994080018507, 0.6866806616566464, 0.9999983611321305, 0.9999849707052413, 0.9999766645580844, 0.9999994080018507, 0.9999994080018507, 0.9787484552546439, 0.6866806616566464, 0.9999766645580844, 0.9999983611321305, 0.9996842662877937, 0.9999994080018507, 0.9787484552546439, 0.9956771839530357, 0.9996842662877937, 0.9999939562162472, 0.9999994080018507, 0.8185504822216683, 0.9996842662877937, 0.9999849707052413, 0.6866806616566464, 0.9996842662877937, 0.9999939562162472, 0.9999994080018507, 0.9999983611321305, 0.9999994080018507, 0.6866806616566464, 0.9996842662877937, 0.999988598214813, 0.9999994080018507, 0.9999994080018507, 0.9999454794284943, 0.9999849707052413, 0.6866806616566464, 0.9999849707052413, 0.9939538139974224, 0.9999849707052413, 0.9999849707052413, 0.9999994080018507, 0.9999849707052413, 0.9999849707052413, 0.9999994080018507, 0.6866806616566464, 0.8771791263855969]",7,train,9
0.4,8,12,30,0,50,24,1,1,1,0,0,0,24,1,1,1,0,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[1.6334562876945472e-05, 0.9030336525515402, 0.9997598048143838, 0.9985161103301794, 0.999900926470348, 0.0036584777079245157, 0.9130664075048437, 0.938389484767649, 0.9966568340022495, 0.0016658569954597214, 0.985054931150935, 0.9791065796203118, 0.999900926470348, 0.8778586933783961, 0.02326446308129878, 0.9999091441588397, 0.9997598048143838, 0.5038466352156645, 0.999900926470348, 0.9985161103301794, 0.9991303834663156, 0.09047074352625288, 0.9999936721448807, 2.812398652337691e-06, 0.9999983611321305, 0.9030336525515402, 0.03257685344240265, 0.9520994524633714, 0.4986761975313342, 0.9971221068940685, 0.9996715428758655, 0.9994914474472836, 0.03113731932738616, 0.13573784513938894, 0.0036205967964168624, 0.0006030037979185376, 0.9999983611321305, 0.9985161103301794, 0.9998076036277644, 0.9686342111944078, 0.9473390196621382, 0.9996715428758655, 0.9686342111944078, 0.8778586933783961, 0.7515473241757009, 0.9980392645245628, 0.999525318443761, 0.9793237281711309, 0.9996355590589134, 0.9971221068940685]",8,train,1
0.98,45,4,1,0,50,3,1,1,1,0,0,0,27,0,1,0,1,0,0,"(array([0.88111299, 0.98246139, 0.87867725, 0.8711139 , 0.8328194 ,
       0.93799257, 0.38582629, 0.46206847, 0.93190944, 0.72726339,
       0.94250351, 0.97282481, 0.5574261 , 0.93184477]), array([0.68948525, 0.53862756, 0.6848076 , 0.61130989, 0.74716586,
       0.61883795, 0.81039298, 0.79065204, 0.62121016, 0.77473795,
       0.59310013, 0.55051804, 0.75214797, 0.61016041]), array([0.30051318, 0.44793111, 0.30516911, 0.37772539, 0.2442497 ,
       0.36942813, 0.181044  , 0.20103613, 0.36716476, 0.21695773,
       0.39478165, 0.43634939, 0.2398859 , 0.37807971]), array([0.12910758, 0.02720558, 0.13146541, 0.13809223, 0.17741928,
       0.07211016, 0.6238488 , 0.54802066, 0.07813045, 0.28318545,
       0.06738156, 0.03689202, 0.4526591 , 0.07808129]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)', 'DeepSeekLlama (70B)', 'InternLM2 (7B)', 'EurusPRMStage2_max_scores (7.62B)', 'QwenPRM_avg_scores (7.63B)', 'Skyworks (8B)', 'ArmorRM (8B)', 'EurusPRMStage2_min_scores (7.62B)', 'LDLReward (27.2B)', 'SkyT1 (32B)']","[0.003492200886120147, 0.9999790168418472, 0.9999445205451925, 0.9999945654575676, 0.9999945654575676, 0.9999501638852902, 0.9992848647777282, 0.9999790168418472, 0.8104510462874995, 0.9999945654575676, 0.9999501638852902, 0.9992202265804935, 0.03113731932738616, 0.9999945654575676, 0.9999945654575676, 0.9999945654575676, 0.9999790168418472, 0.9999945654575676, 0.9999945654575676, 0.9992848647777282, 0.9999743389219501, 0.9999936721448807, 0.9999945654575676, 0.9999945654575676, 0.9999945654575676, 0.9999945654575676, 0.9999936721448807, 5.252154669003293e-06, 0.9997858205122667, 0.9999445205451925, 0.9999501638852902, 0.9999445205451925, 0.9999945654575676, 0.9997858205122667, 0.0036584777079245157, 0.9999445205451925, 0.9999445205451925, 0.9999790168418472, 0.9999945654575676, 0.9999945654575676, 0.9999945654575676, 0.9999445205451925, 0.9999945654575676, 0.9999945654575676, 0.9999945654575676, 0.9999945654575676, 0.9999501638852902, 0.999921969481471, 0.9997858205122667, 0.9999832687525734]",9,train,9
