dataset_path,k,alpha,beta,gamma,test_select_accuracy,train_select_accuracy,test_sample_accuracy,train_sample_accuracy,num_verifiers,verifiers,train_file,test_file,dataset_name,dataset_type,model_size,greedy_score
wfang11/math500-llama70b-10-10-80-dev,5,1.0,0.25,0.25,0.92,0.92,0.9086,0.9086,5,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), Qwen72B_scores (72B), EurusPRMStage2_max_scores (7.62B), QwenPRM_min_scores (7.63B)",results/math500-llama70b/weaver_train_k5_b0.25_g0.25.csv,results/math500-llama70b/weaver_test_k5_b0.25_g0.25.csv,math500-llama70b,MATH-500,70B,3.665849929225708
wfang11/math500-llama70b-10-10-80-dev,5,1.0,0.25,0.5,0.94,0.94,0.906,0.906,5,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), EurusPRMStage2_max_scores (7.62B), QwenPRM_min_scores (7.63B), GPM (8B)",results/math500-llama70b/weaver_train_k5_b0.25_g0.5.csv,results/math500-llama70b/weaver_test_k5_b0.25_g0.5.csv,math500-llama70b,MATH-500,70B,3.604767267410323
wfang11/math500-llama70b-10-10-80-dev,5,1.0,0.25,1.0,0.94,0.94,0.9064,0.9064,5,"QwenPRM_avg_scores (7.63B), EurusPRMStage2_avg_scores (7.62B), EurusPRMStage2_max_scores (7.62B), DeepSeekQwen (32B), GPM (8B)",results/math500-llama70b/weaver_train_k5_b0.25_g1.0.csv,results/math500-llama70b/weaver_test_k5_b0.25_g1.0.csv,math500-llama70b,MATH-500,70B,3.5139961538085887
wfang11/math500-llama70b-10-10-80-dev,5,1.0,0.5,0.25,0.92,0.92,0.8802000000000001,0.8802000000000001,5,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), GPM (8B), EurusPRMStage2_max_scores (7.62B), QwenPRM_max_scores (7.63B)",results/math500-llama70b/weaver_train_k5_b0.5_g0.25.csv,results/math500-llama70b/weaver_test_k5_b0.5_g0.25.csv,math500-llama70b,MATH-500,70B,3.4316627547251075
wfang11/math500-llama70b-10-10-80-dev,5,1.0,0.5,0.5,0.92,0.92,0.8802000000000001,0.8802000000000001,5,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), GPM (8B), EurusPRMStage2_max_scores (7.62B), QwenPRM_max_scores (7.63B)",results/math500-llama70b/weaver_train_k5_b0.5_g0.5.csv,results/math500-llama70b/weaver_test_k5_b0.5_g0.5.csv,math500-llama70b,MATH-500,70B,3.3940084337374534
wfang11/math500-llama70b-10-10-80-dev,5,1.0,0.5,1.0,0.92,0.92,0.8478,0.8478,5,"QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_avg_scores (7.62B), EurusPRMStage2_max_scores (7.62B), InternLM2 (7B)",results/math500-llama70b/weaver_train_k5_b0.5_g1.0.csv,results/math500-llama70b/weaver_test_k5_b0.5_g1.0.csv,math500-llama70b,MATH-500,70B,3.2489821104360423
wfang11/math500-llama70b-10-10-80-dev,5,1.0,1.0,0.25,0.92,0.92,0.8802000000000001,0.8802000000000001,5,"DeepSeekQwen (32B), GPM (8B), EurusPRMStage2_avg_scores (7.62B), LDLReward (27.2B), QwenPRM_max_scores (7.63B)",results/math500-llama70b/weaver_train_k5_b1.0_g0.25.csv,results/math500-llama70b/weaver_test_k5_b1.0_g0.25.csv,math500-llama70b,MATH-500,70B,3.0748778206841525
wfang11/math500-llama70b-10-10-80-dev,5,1.0,1.0,0.5,0.92,0.92,0.8802000000000001,0.8802000000000001,5,"DeepSeekQwen (32B), GPM (8B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_max_scores (7.63B), LDLReward (27.2B)",results/math500-llama70b/weaver_train_k5_b1.0_g0.5.csv,results/math500-llama70b/weaver_test_k5_b1.0_g0.5.csv,math500-llama70b,MATH-500,70B,3.0248778206841522
wfang11/math500-llama70b-10-10-80-dev,5,1.0,1.0,1.0,0.92,0.92,0.8478,0.8478,5,"QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_avg_scores (7.62B), LDLReward (27.2B), EurusPRMStage2_max_scores (7.62B)",results/math500-llama70b/weaver_train_k5_b1.0_g1.0.csv,results/math500-llama70b/weaver_test_k5_b1.0_g1.0.csv,math500-llama70b,MATH-500,70B,2.879005836293229
wfang11/math500-llama70b-10-10-80-dev,10,1.0,0.25,0.25,0.94,0.94,0.9312,0.9312,10,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), Qwen72B_scores (72B), EurusPRMStage2_max_scores (7.62B), QwenPRM_min_scores (7.63B), GPM (8B), DeepSeekLlama (70B), QwenPRM_max_scores (7.63B), InternLM2 (7B), QwenPRM_avg_scores (7.63B)",results/math500-llama70b/weaver_train_k10_b0.25_g0.25.csv,results/math500-llama70b/weaver_test_k10_b0.25_g0.25.csv,math500-llama70b,MATH-500,70B,6.909015376009378
wfang11/math500-llama70b-10-10-80-dev,10,1.0,0.25,0.5,0.94,0.94,0.9312,0.9312,10,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), EurusPRMStage2_max_scores (7.62B), QwenPRM_min_scores (7.63B), GPM (8B), Qwen72B_scores (72B), QwenPRM_max_scores (7.63B), InternLM2 (7B), DeepSeekLlama (70B), QwenPRM_avg_scores (7.63B)",results/math500-llama70b/weaver_train_k10_b0.25_g0.5.csv,results/math500-llama70b/weaver_test_k10_b0.25_g0.5.csv,math500-llama70b,MATH-500,70B,6.771663213294612
wfang11/math500-llama70b-10-10-80-dev,10,1.0,0.25,1.0,0.94,0.94,0.907,0.907,10,"QwenPRM_avg_scores (7.63B), EurusPRMStage2_avg_scores (7.62B), EurusPRMStage2_max_scores (7.62B), DeepSeekQwen (32B), GPM (8B), InternLM2 (7B), QwenPRM_max_scores (7.63B), QwenPRM_min_scores (7.63B), Skyworks (8B), Qwen72B_scores (72B)",results/math500-llama70b/weaver_train_k10_b0.25_g1.0.csv,results/math500-llama70b/weaver_test_k10_b0.25_g1.0.csv,math500-llama70b,MATH-500,70B,6.514066449724868
wfang11/math500-llama70b-10-10-80-dev,10,1.0,0.5,0.25,0.94,0.94,0.9306,0.9306,10,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), GPM (8B), EurusPRMStage2_max_scores (7.62B), QwenPRM_max_scores (7.63B), Qwen72B_scores (72B), InternLM2 (7B), QwenPRM_min_scores (7.63B), DeepSeekLlama (70B), LDLReward (27.2B)",results/math500-llama70b/weaver_train_k10_b0.5_g0.25.csv,results/math500-llama70b/weaver_test_k10_b0.5_g0.25.csv,math500-llama70b,MATH-500,70B,6.079978639210145
wfang11/math500-llama70b-10-10-80-dev,10,1.0,0.5,0.5,0.94,0.94,0.9306,0.9306,10,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), GPM (8B), EurusPRMStage2_max_scores (7.62B), QwenPRM_max_scores (7.63B), InternLM2 (7B), QwenPRM_min_scores (7.63B), Qwen72B_scores (72B), LDLReward (27.2B), DeepSeekLlama (70B)",results/math500-llama70b/weaver_train_k10_b0.5_g0.5.csv,results/math500-llama70b/weaver_test_k10_b0.5_g0.5.csv,math500-llama70b,MATH-500,70B,5.929361355259529
wfang11/math500-llama70b-10-10-80-dev,10,1.0,0.5,1.0,0.94,0.94,0.915,0.915,10,"QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_avg_scores (7.62B), EurusPRMStage2_max_scores (7.62B), InternLM2 (7B), DeepSeekQwen (32B), QwenPRM_max_scores (7.63B), LDLReward (27.2B), Qwen72B_scores (72B), Skyworks (8B)",results/math500-llama70b/weaver_train_k10_b0.5_g1.0.csv,results/math500-llama70b/weaver_test_k10_b0.5_g1.0.csv,math500-llama70b,MATH-500,70B,5.584872787849649
wfang11/math500-llama70b-10-10-80-dev,10,1.0,1.0,0.25,0.94,0.94,0.9306,0.9306,10,"DeepSeekQwen (32B), GPM (8B), EurusPRMStage2_avg_scores (7.62B), LDLReward (27.2B), QwenPRM_max_scores (7.63B), EurusPRMStage2_max_scores (7.62B), InternLM2 (7B), Qwen72B_scores (72B), QwenPRM_min_scores (7.63B), DeepSeekLlama (70B)",results/math500-llama70b/weaver_train_k10_b1.0_g0.25.csv,results/math500-llama70b/weaver_test_k10_b1.0_g0.25.csv,math500-llama70b,MATH-500,70B,4.627372734136516
wfang11/math500-llama70b-10-10-80-dev,10,1.0,1.0,0.5,0.94,0.94,0.8880000000000001,0.8880000000000001,10,"DeepSeekQwen (32B), GPM (8B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_max_scores (7.63B), LDLReward (27.2B), EurusPRMStage2_max_scores (7.62B), InternLM2 (7B), QwenPRM_min_scores (7.63B), Qwen72B_scores (72B), EurusPRMStage1_avg_scores (7.62B)",results/math500-llama70b/weaver_train_k10_b1.0_g0.5.csv,results/math500-llama70b/weaver_test_k10_b1.0_g0.5.csv,math500-llama70b,MATH-500,70B,4.488605388336958
wfang11/math500-llama70b-10-10-80-dev,10,1.0,1.0,1.0,0.94,0.94,0.8888000000000001,0.8888000000000001,10,"QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_avg_scores (7.62B), LDLReward (27.2B), EurusPRMStage2_max_scores (7.62B), QwenPRM_max_scores (7.63B), InternLM2 (7B), DeepSeekQwen (32B), Qwen72B_scores (72B), EurusPRMStage1_avg_scores (7.62B)",results/math500-llama70b/weaver_train_k10_b1.0_g1.0.csv,results/math500-llama70b/weaver_test_k10_b1.0_g1.0.csv,math500-llama70b,MATH-500,70B,4.075718456778563
wfang11/math500-llama70b-10-10-80-dev,15,1.0,0.25,0.25,0.94,0.94,0.9202,0.9202,15,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), Qwen72B_scores (72B), EurusPRMStage2_max_scores (7.62B), QwenPRM_min_scores (7.63B), GPM (8B), DeepSeekLlama (70B), QwenPRM_max_scores (7.63B), InternLM2 (7B), QwenPRM_avg_scores (7.63B), Skyworks (8B), ArmorRM (8B), EurusPRMStage2_min_scores (7.62B), LDLReward (27.2B), QRM (8B)",results/math500-llama70b/weaver_train_k15_b0.25_g0.25.csv,results/math500-llama70b/weaver_test_k15_b0.25_g0.25.csv,math500-llama70b,MATH-500,70B,9.66563375975558
wfang11/math500-llama70b-10-10-80-dev,15,1.0,0.25,0.5,0.94,0.94,0.9202,0.9202,15,"DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), EurusPRMStage2_max_scores (7.62B), QwenPRM_min_scores (7.63B), GPM (8B), Qwen72B_scores (72B), QwenPRM_max_scores (7.63B), InternLM2 (7B), DeepSeekLlama (70B), QwenPRM_avg_scores (7.63B), Skyworks (8B), ArmorRM (8B), EurusPRMStage2_min_scores (7.62B), QRM (8B), LDLReward (27.2B)",results/math500-llama70b/weaver_train_k15_b0.25_g0.5.csv,results/math500-llama70b/weaver_test_k15_b0.25_g0.5.csv,math500-llama70b,MATH-500,70B,9.492479127905014
