dataset_path,k,alpha,beta,gamma,test_select_accuracy,train_select_accuracy,test_sample_accuracy,train_sample_accuracy,num_verifiers,verifiers,train_file,test_file,dataset_name,dataset_type,model_size,greedy_score
wfang11/math500-llama8b-10-10-80-dev,5,1.0,0.25,0.25,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k5_b0.25_g0.25.csv,results/math500-llama8b/weaver_test_k5_b0.25_g0.25.csv,math500-llama8b,MATH-500,8B,2.7319906880435996
wfang11/math500-llama8b-10-10-80-dev,5,1.0,0.25,0.5,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k5_b0.25_g0.5.csv,results/math500-llama8b/weaver_test_k5_b0.25_g0.5.csv,math500-llama8b,MATH-500,8B,1.9389722441331239
wfang11/math500-llama8b-10-10-80-dev,5,1.0,0.25,1.0,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k5_b0.25_g1.0.csv,results/math500-llama8b/weaver_test_k5_b0.25_g1.0.csv,math500-llama8b,MATH-500,8B,0.42675571869032136
wfang11/math500-llama8b-10-10-80-dev,5,1.0,0.5,0.25,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k5_b0.5_g0.25.csv,results/math500-llama8b/weaver_test_k5_b0.5_g0.25.csv,math500-llama8b,MATH-500,8B,2.2409742432654114
wfang11/math500-llama8b-10-10-80-dev,5,1.0,0.5,0.5,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k5_b0.5_g0.5.csv,results/math500-llama8b/weaver_test_k5_b0.5_g0.5.csv,math500-llama8b,MATH-500,8B,1.5548149937108802
wfang11/math500-llama8b-10-10-80-dev,5,1.0,0.5,1.0,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k5_b0.5_g1.0.csv,results/math500-llama8b/weaver_test_k5_b0.5_g1.0.csv,math500-llama8b,MATH-500,8B,0.07194623201876282
wfang11/math500-llama8b-10-10-80-dev,5,1.0,1.0,0.25,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k5_b1.0_g0.25.csv,results/math500-llama8b/weaver_test_k5_b1.0_g0.25.csv,math500-llama8b,MATH-500,8B,1.6232562487121833
wfang11/math500-llama8b-10-10-80-dev,5,1.0,1.0,0.5,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k5_b1.0_g0.5.csv,results/math500-llama8b/weaver_test_k5_b1.0_g0.5.csv,math500-llama8b,MATH-500,8B,1.1856595897696842
wfang11/math500-llama8b-10-10-80-dev,5,1.0,1.0,1.0,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k5_b1.0_g1.0.csv,results/math500-llama8b/weaver_test_k5_b1.0_g1.0.csv,math500-llama8b,MATH-500,8B,-0.31434041023031567
wfang11/math500-llama8b-10-10-80-dev,10,1.0,0.25,0.25,0.82,0.82,0.7576,0.7576,20,"ArmorRM (8B), GPM (8B), InternLM2 (7B), GRM_LLama32 (3B), OffsetBias (8B), GRM_GEMMA (2B), Skyworks (8B), URM (8B), QRM (8B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/math500-llama8b/weaver_train_k10_b0.25_g0.25.csv,results/math500-llama8b/weaver_test_k10_b0.25_g0.25.csv,math500-llama8b,MATH-500,8B,4.472450224849014
