dataset_path,k,alpha,beta,gamma,test_select_accuracy,train_select_accuracy,test_sample_accuracy,train_sample_accuracy,num_verifiers,verifiers,train_file,test_file,dataset_name,dataset_type,model_size,greedy_score
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.25,0.25,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k5_b0.25_g0.25.csv,results/mmlu-llama8b/weaver_test_k5_b0.25_g0.25.csv,mmlu-llama8b,MMLU,8B,2.276608815405501
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.25,0.5,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k5_b0.25_g0.5.csv,results/mmlu-llama8b/weaver_test_k5_b0.25_g0.5.csv,mmlu-llama8b,MMLU,8B,1.362986736105991
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.25,1.0,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k5_b0.25_g1.0.csv,results/mmlu-llama8b/weaver_test_k5_b0.25_g1.0.csv,mmlu-llama8b,MMLU,8B,-0.26201326389400903
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.5,0.25,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k5_b0.5_g0.25.csv,results/mmlu-llama8b/weaver_test_k5_b0.5_g0.25.csv,mmlu-llama8b,MMLU,8B,2.0126607326739205
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.5,0.5,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k5_b0.5_g0.5.csv,results/mmlu-llama8b/weaver_test_k5_b0.5_g0.5.csv,mmlu-llama8b,MMLU,8B,1.2214126837342114
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.5,1.0,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k5_b0.5_g1.0.csv,results/mmlu-llama8b/weaver_test_k5_b0.5_g1.0.csv,mmlu-llama8b,MMLU,8B,-0.48446469260050745
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,1.0,0.25,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k5_b1.0_g0.25.csv,results/mmlu-llama8b/weaver_test_k5_b1.0_g0.25.csv,mmlu-llama8b,MMLU,8B,1.9069288605764971
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,1.0,0.5,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k5_b1.0_g0.5.csv,results/mmlu-llama8b/weaver_test_k5_b1.0_g0.5.csv,mmlu-llama8b,MMLU,8B,1.3723647775368328
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,1.0,1.0,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k5_b1.0_g1.0.csv,results/mmlu-llama8b/weaver_test_k5_b1.0_g1.0.csv,mmlu-llama8b,MMLU,8B,-0.5651352224631672
wfang11/mmlu-llama8b-10-10-80-dev,10,1.0,0.25,0.25,0.8450704225352113,0.8450704225352113,0.6595774647887324,0.6595774647887324,20,"InternLM2 (7B), GRM_LLama32 (3B), GRM_GEMMA (2B), GRM (8B), URM (8B), QRM (8B), ArmorRM (8B), GPM (8B), OffsetBias (8B), Skyworks (8B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), weaver_scores",results/mmlu-llama8b/weaver_train_k10_b0.25_g0.25.csv,results/mmlu-llama8b/weaver_test_k10_b0.25_g0.25.csv,mmlu-llama8b,MMLU,8B,3.8076533111184903
