k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB,num_verifiers,total_param_GB
5,1.0,0.25,0.25,2.276608815405501,0.3752335094382523,"QwenPRM_min_scores, GRMGemma_scores, QwenPRM_max_scores, QwenPRM_avg_scores, EurusPRMStage1_max_scores","7.0, 2.0, 7.0, 7.0, 7.0",5,30.0
5,1.0,0.25,0.5,1.362986736105991,0.16059485775990812,"GRMGemma_scores, QwenPRM_min_scores, QwenPRM_max_scores, GRMLlama32_scores, QwenPRM_avg_scores","2.0, 7.0, 7.0, 3.0, 7.0",5,26.0
5,1.0,0.25,1.0,-0.26201326389400903,-0.2769051422400919,"GRMGemma_scores, GRMLlama32_scores, QwenPRM_min_scores, QwenPRM_max_scores, QwenPRM_avg_scores","2.0, 3.0, 7.0, 7.0, 7.0",5,26.0
5,1.0,0.5,0.25,2.0126607326739205,0.2935269158116306,"QwenPRM_min_scores, GRMGemma_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores","7.0, 2.0, 7.0, 7.0, 7.0",5,30.0
5,1.0,0.5,0.5,1.2214126837342114,0.03476073940721969,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores","2.0, 7.0, 7.0, 7.0, 7.0",5,30.0
5,1.0,0.5,1.0,-0.48446469260050745,-0.37172435398231907,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GRMLlama32_scores, EurusPRMStage2_max_scores","2.0, 7.0, 7.0, 3.0, 7.0",5,26.0
5,1.0,1.0,0.25,1.9069288605764971,0.1834824088457751,"QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores, GRMGemma_scores, QwenPRM_max_scores","7.0, 8.0, 7.0, 2.0, 7.0",5,31.0
5,1.0,1.0,0.5,1.3723647775368328,-0.03219191199849253,"GRMGemma_scores, GPM_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores","2.0, 8.0, 7.0, 7.0, 7.0",5,31.0
5,1.0,1.0,1.0,-0.5651352224631672,-0.46969191199849253,"GRMGemma_scores, GPM_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores","2.0, 8.0, 7.0, 7.0, 7.0",5,31.0
10,1.0,0.25,0.25,3.8076533111184903,0.2617032621019512,"QwenPRM_min_scores, GRMGemma_scores, QwenPRM_max_scores, QwenPRM_avg_scores, EurusPRMStage1_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, EurusPRMStage2_avg_scores, GRMLlama32_scores, EurusPRMStage1_min_scores","7.0, 2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0",10,61.0
