dataset_path,k,alpha,beta,gamma,test_select_accuracy,train_select_accuracy,test_sample_accuracy,train_sample_accuracy,num_verifiers,verifiers,train_file,test_file,dataset_name,dataset_type,model_size,greedy_score
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.25,0.25,0.8450704225352113,0.8450704225352113,0.6939436619718309,0.6939436619718309,5,"QwenPRM_min_scores (7.63B), GRM_GEMMA (2B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_max_scores (7.62B)",results/mmlu-llama8b/weaver_train_k5_b0.25_g0.25.csv,results/mmlu-llama8b/weaver_test_k5_b0.25_g0.25.csv,mmlu-llama8b,MMLU,8B,2.276608815405501
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.25,0.5,0.8450704225352113,0.8450704225352113,0.6939436619718309,0.6939436619718309,5,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), GRM_LLama32 (3B), QwenPRM_avg_scores (7.63B)",results/mmlu-llama8b/weaver_train_k5_b0.25_g0.5.csv,results/mmlu-llama8b/weaver_test_k5_b0.25_g0.5.csv,mmlu-llama8b,MMLU,8B,1.362986736105991
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.25,1.0,0.8450704225352113,0.8450704225352113,0.6939436619718309,0.6939436619718309,5,"GRM_GEMMA (2B), GRM_LLama32 (3B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B)",results/mmlu-llama8b/weaver_train_k5_b0.25_g1.0.csv,results/mmlu-llama8b/weaver_test_k5_b0.25_g1.0.csv,mmlu-llama8b,MMLU,8B,-0.26201326389400903
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.5,0.25,0.8169014084507042,0.8169014084507042,0.6743661971830986,0.6743661971830986,5,"QwenPRM_min_scores (7.63B), GRM_GEMMA (2B), EurusPRMStage2_max_scores (7.62B), QwenPRM_max_scores (7.63B), EurusPRMStage1_max_scores (7.62B)",results/mmlu-llama8b/weaver_train_k5_b0.5_g0.25.csv,results/mmlu-llama8b/weaver_test_k5_b0.5_g0.25.csv,mmlu-llama8b,MMLU,8B,2.0126607326739205
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.5,0.5,0.8450704225352113,0.8450704225352113,0.6847887323943662,0.6847887323943662,5,"GRM_GEMMA (2B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), EurusPRMStage2_max_scores (7.62B), QwenPRM_max_scores (7.63B)",results/mmlu-llama8b/weaver_train_k5_b0.5_g0.5.csv,results/mmlu-llama8b/weaver_test_k5_b0.5_g0.5.csv,mmlu-llama8b,MMLU,8B,1.2214126837342114
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,0.5,1.0,0.8450704225352113,0.8450704225352113,0.652394366197183,0.652394366197183,5,"GRM_GEMMA (2B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), GRM_LLama32 (3B), EurusPRMStage2_max_scores (7.62B)",results/mmlu-llama8b/weaver_train_k5_b0.5_g1.0.csv,results/mmlu-llama8b/weaver_test_k5_b0.5_g1.0.csv,mmlu-llama8b,MMLU,8B,-0.48446469260050745
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,1.0,0.25,0.8591549295774648,0.8591549295774648,0.6638028169014085,0.6638028169014085,5,"QwenPRM_min_scores (7.63B), GPM (8B), EurusPRMStage2_max_scores (7.62B), GRM_GEMMA (2B), QwenPRM_max_scores (7.63B)",results/mmlu-llama8b/weaver_train_k5_b1.0_g0.25.csv,results/mmlu-llama8b/weaver_test_k5_b1.0_g0.25.csv,mmlu-llama8b,MMLU,8B,1.9069288605764971
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,1.0,0.5,0.8873239436619719,0.8873239436619719,0.6240845070422536,0.6240845070422536,5,"GRM_GEMMA (2B), GPM (8B), QwenPRM_avg_scores (7.63B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage1_min_scores (7.62B)",results/mmlu-llama8b/weaver_train_k5_b1.0_g0.5.csv,results/mmlu-llama8b/weaver_test_k5_b1.0_g0.5.csv,mmlu-llama8b,MMLU,8B,1.3723647775368328
wfang11/mmlu-llama8b-10-10-80-dev,5,1.0,1.0,1.0,0.8873239436619719,0.8873239436619719,0.6240845070422536,0.6240845070422536,5,"GRM_GEMMA (2B), GPM (8B), QwenPRM_avg_scores (7.63B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage1_min_scores (7.62B)",results/mmlu-llama8b/weaver_train_k5_b1.0_g1.0.csv,results/mmlu-llama8b/weaver_test_k5_b1.0_g1.0.csv,mmlu-llama8b,MMLU,8B,-0.5651352224631672
wfang11/mmlu-llama8b-10-10-80-dev,10,1.0,0.25,0.25,0.9014084507042254,0.9014084507042254,0.6422535211267607,0.6422535211267607,10,"QwenPRM_min_scores (7.63B), GRM_GEMMA (2B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_max_scores (7.62B), InternLM2 (7B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), GRM_LLama32 (3B), EurusPRMStage1_min_scores (7.62B)",results/mmlu-llama8b/weaver_train_k10_b0.25_g0.25.csv,results/mmlu-llama8b/weaver_test_k10_b0.25_g0.25.csv,mmlu-llama8b,MMLU,8B,3.8076533111184903
