k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB
5,1.0,0.25,0.25,3.679923577466213,0.6818082785940913,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, QwenPRM_min_scores, GPM_scores","32.0, 7.0, 72.0, 7.0, 8.0"
5,1.0,0.25,0.5,3.617816852324413,0.6759060657072001,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores","32.0, 7.0, 7.0, 8.0, 7.0"
5,1.0,0.25,1.0,3.529727945297436,0.6672640903985582,"QwenPRM_min_scores, EurusPRMStage2_avg_scores, GPM_scores, DeepSeekQwen32B_verdicts, EurusPRMStage2_max_scores","7.0, 7.0, 8.0, 32.0, 7.0"
5,1.0,0.5,0.25,3.436879921180456,0.608234562983687,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores","32.0, 7.0, 8.0, 7.0, 7.0"
5,1.0,0.5,0.5,3.3992256001928016,0.6039135753293661,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores","32.0, 7.0, 8.0, 7.0, 7.0"
5,1.0,0.5,1.0,3.2607638154149328,0.5597065699680772,"QwenPRM_min_scores, GPM_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores","7.0, 8.0, 7.0, 7.0, 7.0"
5,1.0,1.0,0.25,3.0912394310521676,0.4968688639361032,"DeepSeekQwen32B_verdicts, GPM_scores, URM_scores, LDLRewardGemma_scores, QwenPRM_max_scores","32.0, 8.0, 8.0, 27.0, 7.0"
5,1.0,1.0,0.5,3.0406221471015504,0.48939461865425604,"DeepSeekQwen32B_verdicts, GPM_scores, URM_scores, QwenPRM_max_scores, LDLRewardGemma_scores","32.0, 8.0, 8.0, 7.0, 27.0"
5,1.0,1.0,1.0,2.9980894818615518,0.4376531273740969,"QwenPRM_min_scores, LDLRewardGemma_scores, GPM_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores","7.0, 27.0, 8.0, 7.0, 7.0"
10,1.0,0.25,0.25,6.924399591270385,0.6075657217409698,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores, DeepSeekLlama70B_verdicts, InternLM2Reward7B_scores, QwenPRM_max_scores, QwenPRM_avg_scores","32.0, 7.0, 72.0, 7.0, 8.0, 7.0, 70.0, 7.0, 7.0, 7.0"
