k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB
5,1.0,0.25,0.25,3.7054612767998605,0.6849789230975517,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, GPM_scores, QwenPRM_min_scores","32.0, 7.0, 72.0, 8.0, 7.0"
5,1.0,0.25,0.5,3.627683499022082,0.6655500715617922,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, QwenPRM_min_scores, Qwen72B_scores","32.0, 7.0, 8.0, 7.0, 72.0"
5,1.0,0.25,1.0,3.5158022261321458,0.6383065041493108,"QwenPRM_min_scores, EurusPRMStage2_avg_scores, GPM_scores, DeepSeekQwen32B_verdicts, InternLM2Reward7B_scores","7.0, 7.0, 8.0, 32.0, 7.0"
5,1.0,0.5,0.25,3.4257857021557694,0.5797874761196866,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores","32.0, 8.0, 7.0, 7.0, 7.0"
5,1.0,0.5,0.5,3.3881313811681157,0.5754664884653656,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores","32.0, 8.0, 7.0, 7.0, 7.0"
5,1.0,0.5,1.0,3.241641747601256,0.5500320747621206,"QwenPRM_min_scores, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores","7.0, 8.0, 7.0, 7.0, 7.0"
5,1.0,1.0,0.25,3.121824094688112,0.4538541772835853,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, QwenPRM_max_scores","32.0, 8.0, 7.0, 27.0, 7.0"
5,1.0,1.0,0.5,3.0718240946881123,0.4495331896292643,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, QwenPRM_max_scores","32.0, 8.0, 7.0, 27.0, 7.0"
5,1.0,1.0,1.0,3.0453724263295827,0.3939382712343089,"QwenPRM_min_scores, LDLRewardGemma_scores, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores","7.0, 27.0, 8.0, 7.0, 7.0"
10,1.0,0.25,0.25,6.9160602547672525,0.6055628622335664,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, GPM_scores, QwenPRM_min_scores, DeepSeekLlama70B_verdicts, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, QwenPRM_avg_scores","32.0, 7.0, 72.0, 8.0, 7.0, 70.0, 7.0, 7.0, 7.0, 7.0"
10,1.0,0.25,0.5,6.777788649828981,0.6012418745792454,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, QwenPRM_min_scores, Qwen72B_scores, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, DeepSeekLlama70B_verdicts, QwenPRM_avg_scores","32.0, 7.0, 8.0, 7.0, 72.0, 7.0, 7.0, 7.0, 70.0, 7.0"
10,1.0,0.25,1.0,6.528023793611657,0.5752279013569619,"QwenPRM_min_scores, EurusPRMStage2_avg_scores, GPM_scores, DeepSeekQwen32B_verdicts, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, QwenPRM_avg_scores, Qwen72B_scores, Skyworks_scores","7.0, 7.0, 8.0, 32.0, 7.0, 7.0, 7.0, 7.0, 72.0, 8.0"
10,1.0,0.5,0.25,6.1017682383652865,0.49587281554949714,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, LDLRewardGemma_scores, DeepSeekLlama70B_verdicts","32.0, 8.0, 7.0, 7.0, 7.0, 72.0, 7.0, 7.0, 27.0, 70.0"
10,1.0,0.5,0.5,5.951150954414671,0.45266293900628723,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, Qwen72B_scores, LDLRewardGemma_scores, DeepSeekLlama70B_verdicts","32.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 72.0, 27.0, 70.0"
